s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1,ZONE_2
 5.5500000E+001, 0.0000000E+000, 0.0000000E+000,-4.8417018E-004,-3.1261624E-003, 0.0000000E+000,-4.3286602E-003, 0.0000000E+000,-1.5216716E-002,-7.9389928E-003, 0.0000000E+000, 0.0000000E+000,-9.2451972E+000, 9.0213941E+001
 5.5875000E+001, 0.0000000E+000, 0.0000000E+000,-4.8366238E-004,-3.1117741E-003, 0.0000000E+000,-4.3197054E-003, 0.0000000E+000,-1.5185132E-002,-7.9151419E-003, 0.0000000E+000, 0.0000000E+000,-9.2513972E+000, 9.0207845E+001
 5.6125000E+001, 0.0000000E+000, 0.0000000E+000,-4.8319109E-004,-3.0973393E-003, 0.0000000E+000,-4.3109593E-003, 0.0000000E+000,-1.5154213E-002,-7.8914896E-003, 0.0000000E+000, 0.0000000E+000,-9.2555220E+000, 9.0203789E+001
 5.6500000E+001, 0.0000000E+000, 0.0000000E+000,-4.8276238E-004,-3.0828411E-003, 0.0000000E+000,-4.3024699E-003, 0.0000000E+000,-1.5124241E-002,-7.8680734E-003, 0.0000000E+000, 0.0000000E+000,-9.2616969E+000, 9.0197715E+001
 5.6750000E+001, 0.0000000E+000, 0.0000000E+000,-4.8236277E-004,-3.0682826E-003, 0.0000000E+000,-4.2941406E-003, 0.0000000E+000,-1.5094865E-002,-7.8447860E-003, 0.0000000E+000, 0.0000000E+000,-9.2658054E+000, 9.0193673E+001
 5.7000000E+001, 0.0000000E+000, 0.0000000E+000,-4.8205977E-004,-3.0565548E-003, 0.0000000E+000,-4.2875538E-003, 0.0000000E+000,-1.5071677E-002,-7.8261684E-003, 0.0000000E+000, 0.0000000E+000,-9.2699076E+000, 9.0189637E+001
 5.7375000E+001, 0.0000000E+000, 0.0000000E+000,-4.8169814E-004,-3.0417501E-003, 0.0000000E+000,-4.2793735E-003, 0.0000000E+000,-1.5042893E-002,-7.8028217E-003, 0.0000000E+000, 0.0000000E+000,-9.2760492E+000, 9.0183595E+001
 5.7625000E+001, 0.0000000E+000, 0.0000000E+000,-4.8134743E-004,-3.0268559E-003, 0.0000000E+000,-4.2712274E-003, 0.0000000E+000,-1.5014261E-002,-7.7794308E-003, 0.0000000E+000, 0.0000000E+000,-9.2801359E+000, 9.0179575E+001
 5.8000000E+001, 0.0000000E+000, 0.0000000E+000,-4.8099363E-004,-3.0120753E-003, 0.0000000E+000,-4.2630786E-003, 0.0000000E+000,-1.4985595E-002,-7.7561476E-003, 0.0000000E+000, 0.0000000E+000,-9.2862542E+000, 9.0173557E+001
 5.8250000E+001, 0.0000000E+000, 0.0000000E+000,-4.8063174E-004,-2.9975244E-003, 0.0000000E+000,-4.2549662E-003, 0.0000000E+000,-1.4957060E-002,-7.7331224E-003, 0.0000000E+000, 0.0000000E+000,-9.2903253E+000, 9.0169552E+001
 5.8500000E+001, 0.0000000E+000, 0.0000000E+000,-4.8033913E-004,-2.9859914E-003, 0.0000000E+000,-4.2485106E-003, 0.0000000E+000,-1.4934367E-002,-7.7148411E-003, 0.0000000E+000, 0.0000000E+000,-9.2943901E+000, 9.0165553E+001
 5.8875000E+001, 0.0000000E+000, 0.0000000E+000,-4.7996880E-004,-2.9716212E-003, 0.0000000E+000,-4.2404346E-003, 0.0000000E+000,-1.4906001E-002,-7.6920246E-003, 0.0000000E+000, 0.0000000E+000,-9.3004758E+000, 9.0159565E+001
 5.9125000E+001, 0.0000000E+000, 0.0000000E+000,-4.7958750E-004,-2.9573216E-003, 0.0000000E+000,-4.2323129E-003, 0.0000000E+000,-1.4877501E-002,-7.6692220E-003, 0.0000000E+000, 0.0000000E+000,-9.3045251E+000, 9.0155581E+001
 5.9500000E+001, 0.0000000E+000, 0.0000000E+000,-4.7919200E-004,-2.9431211E-003, 0.0000000E+000,-4.2241376E-003, 0.0000000E+000,-1.4848803E-002,-7.6464507E-003, 0.0000000E+000, 0.0000000E+000,-9.3105875E+000, 9.0149617E+001
 5.9750000E+001, 0.0000000E+000, 0.0000000E+000,-4.7878139E-004,-2.9290141E-003, 0.0000000E+000,-4.2159067E-003, 0.0000000E+000,-1.4819938E-002,-7.6237022E-003, 0.0000000E+000, 0.0000000E+000,-9.3146213E+000, 9.0145649E+001
 6.0000000E+001, 0.0000000E+000, 0.0000000E+000,-4.7843830E-004,-2.9178877E-003, 0.0000000E+000,-4.2092762E-003, 0.0000000E+000,-1.4796638E-002,-7.6056021E-003, 0.0000000E+000, 0.0000000E+000,-9.3186487E+000, 9.0141687E+001
