s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1,ZONE_2,ZONE_3
 0.0000000E+000, 0.0000000E+000,-1.1379743E-003,-2.7959863E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1382539E-003, 0.0000000E+000, 0.0000000E+000,-1.1758870E+000,-1.1758870E+000,-1.1758870E+000
 2.0412415E-001, 0.0000000E+000,-2.2258530E-005,-5.0811500E-001, 0.0000000E+000, 0.0000000E+000, 1.1847963E+001, 0.0000000E+000, 0.0000000E+000, 1.1339826E+001, 0.0000000E+000, 1.0000000E-001,-1.1758870E+000,-1.1758870E+000,-1.1758870E+000
 4.0824831E-001, 0.0000000E+000,-4.9668788E-003,-5.0811580E-001,-1.4882863E-003, 0.0000000E+000, 1.1847493E+001, 0.0000000E+000, 1.1339033E+001, 1.1332922E+001, 0.0000000E+000, 1.0000000E-001, 3.9134428E+001,-1.1758801E+000,-1.1758804E+000
 6.1237246E-001, 0.0000000E+000,-9.9064373E-003,-5.0811282E-001,-3.7319736E-003, 0.0000000E+000, 1.1844610E+001, 0.0000000E+000, 1.1329630E+001, 1.1322858E+001, 0.0000000E+000, 1.0000000E-001, 7.9435549E+001,-1.1758669E+000,-1.1758793E+000
 8.1649661E-001, 0.0000000E+000,-1.4341932E-002,-5.0810907E-001,-6.3880953E-003, 0.0000000E+000, 1.1841625E+001, 0.0000000E+000, 1.1319331E+001, 1.1312786E+001, 0.0000000E+000, 1.0000000E-001, 1.1972636E+002,-1.1758211E+000,-1.1758228E+000
 1.0206207E+000, 0.0000000E+000,-1.9270692E-002,-5.0810519E-001,-9.3519877E-003, 0.0000000E+000, 1.1838512E+001, 0.0000000E+000, 1.1309214E+001, 1.1301784E+001, 0.0000000E+000, 1.0000000E-001, 1.6000696E+002,-1.1757271E+000,-1.1756822E+000
 1.2247449E+000, 0.0000000E+000,-2.4193632E-002,-5.0810183E-001,-1.2567259E-002, 0.0000000E+000, 1.1835204E+001, 0.0000000E+000, 1.1297999E+001, 1.1290341E+001, 0.0000000E+000, 1.0000000E-001, 2.0027631E+002,-1.1755956E+000,-1.1754628E+000
 1.4288690E+000, 0.0000000E+000,-2.8092780E-002,-5.0809958E-001,-1.5996021E-002, 0.0000000E+000, 1.1832029E+001, 0.0000000E+000, 1.1286447E+001, 1.1279840E+001, 0.0000000E+000, 1.0000000E-001, 2.4053419E+002,-1.1754440E+000,-1.1751842E+000
 1.6329932E+000, 0.0000000E+000,-3.3004276E-002,-5.0809871E-001,-1.9610059E-002, 0.0000000E+000, 1.1828803E+001, 0.0000000E+000, 1.1276036E+001, 1.1268090E+001, 0.0000000E+000, 1.0000000E-001, 2.8078182E+002,-1.1752889E+000,-1.1748712E+000
 1.8371173E+000, 0.0000000E+000,-3.7909595E-002,-5.0809919E-001,-2.3387852E-002, 0.0000000E+000, 1.1825336E+001, 0.0000000E+000, 1.1263962E+001, 1.1255939E+001, 0.0000000E+000, 1.0000000E-001, 3.2101774E+002,-1.1751450E+000,-1.1745514E+000
 2.0412414E+000, 0.0000000E+000,-4.1272710E-002,-5.0810074E-001,-2.7313162E-002, 0.0000000E+000, 1.1822139E+001, 0.0000000E+000, 1.1251685E+001, 1.1245453E+001, 0.0000000E+000, 1.0000000E-001, 3.6124184E+002,-1.1750178E+000,-1.1742446E+000
 2.2453656E+000, 0.0000000E+000,-4.6166328E-002,-5.0810293E-001,-3.1373824E-002, 0.0000000E+000, 1.1818908E+001, 0.0000000E+000, 1.1241377E+001, 1.1233265E+001, 0.0000000E+000, 1.0000000E-001, 4.0145611E+002,-1.1749048E+000,-1.1739612E+000
 2.4494898E+000, 0.0000000E+000,-5.1053388E-002,-5.0810529E-001,-3.5558299E-002, 0.0000000E+000, 1.1815120E+001, 0.0000000E+000, 1.1228389E+001, 1.1220403E+001, 0.0000000E+000, 1.0000000E-001, 4.4165796E+002,-1.1748004E+000,-1.1737056E+000
 2.6536138E+000, 0.0000000E+000,-5.3925717E-002,-5.0810737E-001,-3.9857232E-002, 0.0000000E+000, 1.1811901E+001, 0.0000000E+000, 1.1215258E+001, 1.1210011E+001, 0.0000000E+000, 1.0000000E-001, 4.8184725E+002,-1.1746973E+000,-1.1734752E+000
 2.8577380E+000, 0.0000000E+000,-5.8800812E-002,-5.0810887E-001,-4.4263620E-002, 0.0000000E+000, 1.1808637E+001, 0.0000000E+000, 1.1205170E+001, 1.1197463E+001, 0.0000000E+000, 1.0000000E-001, 5.2202688E+002,-1.1745894E+000,-1.1732633E+000
 3.0618622E+000, 0.0000000E+000,-6.3669332E-002,-5.0810962E-001,-4.8769518E-002, 0.0000000E+000, 1.1804925E+001, 0.0000000E+000, 1.1192147E+001, 1.1184376E+001, 0.0000000E+000, 1.0000000E-001, 5.6219396E+002,-1.1744741E+000,-1.1730630E+000
 3.2659864E+000, 0.0000000E+000,-6.6097244E-002,-5.0810963E-001,-5.3368673E-002, 0.0000000E+000, 1.1801650E+001, 0.0000000E+000, 1.1179000E+001, 1.1174074E+001, 0.0000000E+000, 1.0000000E-001, 6.0234832E+002,-1.1743518E+000,-1.1728675E+000
 3.4701104E+000, 0.0000000E+000,-7.0953884E-002,-5.0810904E-001,-5.8056655E-002, 0.0000000E+000, 1.1798331E+001, 0.0000000E+000, 1.1169136E+001, 1.1161211E+001, 0.0000000E+000, 1.0000000E-001, 6.4249310E+002,-1.1742246E+000,-1.1726710E+000
 3.6742346E+000, 0.0000000E+000,-7.5803799E-002,-5.0810808E-001,-6.2827045E-002, 0.0000000E+000, 1.1794488E+001, 0.0000000E+000, 1.1155751E+001, 1.1147749E+001, 0.0000000E+000, 1.0000000E-001, 6.8262487E+002,-1.1740959E+000,-1.1724700E+000
 3.8783588E+000, 0.0000000E+000,-7.8068900E-002,-5.0810700E-001,-6.7675072E-002, 0.0000000E+000, 1.1791126E+001, 0.0000000E+000, 1.1142257E+001, 1.1137275E+001, 0.0000000E+000, 1.0000000E-001, 7.2274350E+002,-1.1739683E+000,-1.1722623E+000
 4.0824828E+000, 0.0000000E+000,-8.2906736E-002,-5.0810604E-001,-7.2597884E-002, 0.0000000E+000, 1.1787736E+001, 0.0000000E+000, 1.1132262E+001, 1.1124125E+001, 0.0000000E+000, 1.0000000E-001, 7.6285238E+002,-1.1738432E+000,-1.1720465E+000
 4.2866073E+000, 0.0000000E+000,-8.7737717E-002,-5.0810537E-001,-7.7590308E-002, 0.0000000E+000, 1.1783811E+001, 0.0000000E+000, 1.1118565E+001, 1.1110377E+001, 0.0000000E+000, 1.0000000E-001, 8.0294794E+002,-1.1737209E+000,-1.1718225E+000
 4.4907312E+000, 0.0000000E+000,-8.9877789E-002,-5.0810508E-001,-8.2648786E-002, 0.0000000E+000, 1.1780402E+001, 0.0000000E+000, 1.1104778E+001, 1.1099770E+001, 0.0000000E+000, 1.0000000E-001, 8.4303012E+002,-1.1736007E+000,-1.1715907E+000
