s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1,ZONE_2
 5.6750000E+001, 0.0000000E+000, 0.0000000E+000,-4.6854289E-004,-3.0258058E-003, 0.0000000E+000,-4.1995775E-003, 0.0000000E+000,-1.4764307E-002,-7.6939262E-003, 0.0000000E+000, 0.0000000E+000,-9.2992178E+000, 9.0926155E+001
 5.7000000E+001, 0.0000000E+000, 0.0000000E+000,-4.6435295E-004,-2.9879711E-003, 0.0000000E+000,-4.1370819E-003, 0.0000000E+000,-1.4637940E-002,-7.5894059E-003, 0.0000000E+000, 0.0000000E+000,-9.2802979E+000, 9.0667730E+001
 5.7375000E+001, 0.0000000E+000, 0.0000000E+000,-4.6950689E-004,-2.9892415E-003, 0.0000000E+000,-4.1872387E-003, 0.0000000E+000,-1.4741737E-002,-7.6459871E-003, 0.0000000E+000, 0.0000000E+000,-9.2719855E+000, 9.0502812E+001
 5.7625000E+001, 0.0000000E+000, 0.0000000E+000,-4.6161118E-004,-2.9761614E-003, 0.0000000E+000,-4.1346241E-003, 0.0000000E+000,-1.4565864E-002,-7.5723966E-003, 0.0000000E+000, 0.0000000E+000,-9.3271636E+000, 9.1068449E+001
 5.8000000E+001, 0.0000000E+000, 0.0000000E+000,-4.6410587E-004,-2.9503062E-003, 0.0000000E+000,-4.1211972E-003, 0.0000000E+000,-1.4599110E-002,-7.5356093E-003, 0.0000000E+000, 0.0000000E+000,-9.2960267E+000, 9.0650429E+001
 5.8250000E+001, 0.0000000E+000, 0.0000000E+000,-4.6700359E-004,-2.9545562E-003, 0.0000000E+000,-4.1618233E-003, 0.0000000E+000,-1.4637370E-002,-7.5833831E-003, 0.0000000E+000, 0.0000000E+000,-9.3226816E+000, 9.0898761E+001
 5.8500000E+001, 0.0000000E+000, 0.0000000E+000,-4.6303955E-004,-2.9165185E-003, 0.0000000E+000,-4.1001187E-003, 0.0000000E+000,-1.4506131E-002,-7.4796768E-003, 0.0000000E+000, 0.0000000E+000,-9.3038577E+000, 9.0641833E+001
 5.8875000E+001, 0.0000000E+000, 0.0000000E+000,-4.6838801E-004,-2.9173717E-003, 0.0000000E+000,-4.1502323E-003, 0.0000000E+000,-1.4600946E-002,-7.5359920E-003, 0.0000000E+000, 0.0000000E+000,-9.2955724E+000, 9.0477858E+001
 5.9125000E+001, 0.0000000E+000, 0.0000000E+000,-4.6057147E-004,-2.9041592E-003, 0.0000000E+000,-4.0981057E-003, 0.0000000E+000,-1.4422372E-002,-7.4628364E-003, 0.0000000E+000, 0.0000000E+000,-9.3504361E+000, 9.1040423E+001
 5.9500000E+001, 0.0000000E+000, 0.0000000E+000,-4.6290446E-004,-2.8782290E-003, 0.0000000E+000,-4.0844879E-003, 0.0000000E+000,-1.4456339E-002,-7.4256214E-003, 0.0000000E+000, 0.0000000E+000,-9.3194535E+000, 9.0624757E+001
 5.9750000E+001, 0.0000000E+000, 0.0000000E+000,-4.6565683E-004,-2.8822739E-003, 0.0000000E+000,-4.1243127E-003, 0.0000000E+000,-1.4494958E-002,-7.4722434E-003, 0.0000000E+000, 0.0000000E+000,-9.3459514E+000, 9.0871776E+001
 6.0000000E+001, 0.0000000E+000, 0.0000000E+000,-4.6158656E-004,-2.8444851E-003, 0.0000000E+000,-4.0624725E-003, 0.0000000E+000,-1.4362118E-002,-7.3685441E-003, 0.0000000E+000, 0.0000000E+000,-9.3272171E+000, 9.0616279E+001
