s,kg,kg,kg,kg,kg
Time,Total,NITROGEN,OXYGEN,CARBON DIOXIDE,WATER VAPOR
 4.8620018E+001, 9.0867487E-003, 6.9283743E-003, 2.0990158E-003, 5.3744949E-006, 5.3984229E-005
 4.9252476E+001, 9.1104658E-003, 6.9464578E-003, 2.1044943E-003, 5.3885227E-006, 5.4125132E-005
 4.9805874E+001, 9.1341829E-003, 6.9645414E-003, 2.1099729E-003, 5.4025505E-006, 5.4266035E-005
 5.0438328E+001, 9.1579000E-003, 6.9826250E-003, 2.1154515E-003, 5.4165784E-006, 5.4406938E-005
 5.1070786E+001, 9.1831982E-003, 7.0019141E-003, 2.1212953E-003, 5.4315414E-006, 5.4557234E-005
 5.1624184E+001, 9.2069153E-003, 7.0199977E-003, 2.1267739E-003, 5.4455692E-006, 5.4698137E-005
 5.2256638E+001, 9.2306324E-003, 7.0380812E-003, 2.1322525E-003, 5.4595970E-006, 5.4839040E-005
 5.2810036E+001, 9.2543495E-003, 7.0561648E-003, 2.1377311E-003, 5.4736249E-006, 5.4979942E-005
 5.3442493E+001, 9.2780665E-003, 7.0742484E-003, 2.1432097E-003, 5.4876527E-006, 5.5120845E-005
 5.4074947E+001, 9.3033648E-003, 7.0935375E-003, 2.1490535E-003, 5.5026157E-006, 5.5271142E-005
 5.4628345E+001, 9.3270818E-003, 7.1116211E-003, 2.1545321E-003, 5.5166435E-006, 5.5412044E-005
 5.5260803E+001, 9.3507989E-003, 7.1297046E-003, 2.1600107E-003, 5.5306714E-006, 5.5552947E-005
 5.5814201E+001, 9.3745160E-003, 7.1477882E-003, 2.1654893E-003, 5.5446992E-006, 5.5693850E-005
 5.6446655E+001, 9.3982331E-003, 7.1658718E-003, 2.1709678E-003, 5.5587270E-006, 5.5834753E-005
 5.7000053E+001, 9.4219502E-003, 7.1839553E-003, 2.1764464E-003, 5.5727548E-006, 5.5975656E-005
 5.7632511E+001, 9.4456673E-003, 7.2020389E-003, 2.1819250E-003, 5.5867827E-006, 5.6116558E-005
 5.8264965E+001, 9.4709655E-003, 7.2213280E-003, 2.1877688E-003, 5.6017457E-006, 5.6266855E-005
 5.8818363E+001, 9.4946826E-003, 7.2394116E-003, 2.1932474E-003, 5.6157735E-006, 5.6407758E-005
 5.9450821E+001, 9.5183996E-003, 7.2574952E-003, 2.1987260E-003, 5.6298013E-006, 5.6548660E-005
 6.0004219E+001, 9.5421167E-003, 7.2755787E-003, 2.2042046E-003, 5.6438292E-006, 5.6689563E-005
 6.0636673E+001, 9.5625982E-003, 7.2911952E-003, 2.2089358E-003, 5.6559432E-006, 5.6811243E-005
 6.1269131E+001, 9.5711050E-003, 7.2976814E-003, 2.2109008E-003, 5.6609747E-006, 5.6861782E-005
 6.1822529E+001, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 6.2454983E+001, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 6.3008381E+001, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 6.3640839E+001, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 6.4273293E+001, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 6.4826691E+001, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 6.5459145E+001, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 6.6012543E+001, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 6.6645004E+001, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 6.7277458E+001, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
