s,Pa,Pa,Pa
Time,"pres_1","pres_2","pres_3"
 0.0000000E+000,-1.7723888E-005,-3.5161287E-005,-9.4614387E-005
 2.0412415E-001, 2.0157688E+001,-1.7800600E-003, 7.7118831E-005
 4.0824829E-001, 6.0460298E+001,-2.7241433E-003,-3.8842561E-004
 6.1237244E-001, 1.0075744E+002,-3.2017084E-003,-3.6340243E-004
 8.1649658E-001, 1.4104429E+002,-3.5718400E-003,-1.7658462E-004
 1.0206207E+000, 1.8132097E+002,-3.6903174E-003, 8.9664848E-005
 1.2247449E+000, 2.2158650E+002,-3.8026951E-003, 4.0058561E-004
 1.4288690E+000, 2.6184065E+002,-3.9346940E-003, 7.2211999E-004
 1.6329932E+000, 3.0208461E+002,-3.9668539E-003, 1.0296761E-003
 1.8371173E+000, 3.4231685E+002,-4.0290831E-003, 1.3080425E-003
 2.0412415E+000, 3.8253718E+002,-4.1111833E-003, 1.5555259E-003
 2.2453656E+000, 4.2274755E+002,-4.1186537E-003, 1.7800682E-003
 2.4494897E+000, 4.6294530E+002,-4.1191316E-003, 1.9904248E-003
 2.6536139E+000, 5.0313030E+002,-4.1048906E-003, 2.1959952E-003
 2.8577380E+000, 5.4330545E+002,-4.0321906E-003, 2.4038765E-003
 3.0618622E+000, 5.8346789E+002,-3.9485787E-003, 2.6172055E-003
 3.2659863E+000, 6.2361750E+002,-3.8605644E-003, 2.8368795E-003
 3.4701105E+000, 6.6375747E+002,-3.7546679E-003, 3.0623270E-003
 3.6742346E+000, 7.0388440E+002,-3.6549946E-003, 3.2919895E-003
 3.8783588E+000, 7.4399821E+002,-3.5631048E-003, 3.5245602E-003
 4.0824829E+000, 7.8410229E+002,-3.4653981E-003, 3.7592098E-003
 4.2866070E+000, 8.2419308E+002,-3.3718651E-003, 3.9953414E-003
 4.4907312E+000, 8.6427050E+002,-3.2793227E-003, 4.2326638E-003
 4.6948553E+000, 9.0433811E+002,-3.1771655E-003, 4.4709210E-003
 4.8989795E+000, 9.4439219E+002,-3.0716389E-003, 4.7096439E-003
 5.1031036E+000, 9.8443267E+002,-2.9623475E-003, 4.9482405E-003
 5.3072278E+000, 1.0244632E+003,-2.8447514E-003, 5.1860562E-003
 5.5113519E+000, 1.0644799E+003,-2.7252640E-003, 5.4224808E-003
 5.7154761E+000, 1.1044829E+003,-2.6044552E-003, 5.6573938E-003
 5.9196002E+000, 1.1444756E+003,-2.4813757E-003, 5.8901925E-003
 6.1237244E+000, 1.1844545E+003,-2.3603768E-003, 6.1212199E-003
 6.3278485E+000, 1.2244194E+003,-2.2397448E-003, 6.3516150E-003
 6.5319726E+000, 1.2643737E+003,-2.1178093E-003, 6.5817993E-003
 6.7360968E+000, 1.3043140E+003,-1.9966853E-003, 6.8124562E-003
 6.9402209E+000, 1.3442402E+003,-1.8760216E-003, 7.0441303E-003
 7.1443451E+000, 1.3841559E+003,-1.7540608E-003, 7.2771028E-003
 7.3484692E+000, 1.4240575E+003,-1.6321731E-003, 7.5113622E-003
 7.5525934E+000, 1.4639448E+003,-1.5103146E-003, 7.7466274E-003
 7.7567175E+000, 1.5038216E+003,-1.3876572E-003, 7.9824185E-003
 7.9608417E+000, 1.5436841E+003,-1.2650264E-003, 8.2181769E-003
 8.1649658E+000, 1.5835323E+003,-1.1423905E-003, 8.4533822E-003
 8.3690900E+000, 1.6233699E+003,-1.0192230E-003, 8.6876460E-003
 8.5732141E+000, 1.6631929E+003,-8.9593283E-004, 8.9207817E-003
 8.7773382E+000, 1.7030012E+003,-7.7246838E-004, 9.1528295E-003
 8.9814624E+000, 1.7427985E+003,-6.4856270E-004, 9.3839955E-003
 9.1855865E+000, 1.7825814E+003,-5.2452083E-004, 9.6146343E-003
 9.3897107E+000, 1.8223499E+003,-4.0043751E-004, 9.8451270E-003
 9.5938348E+000, 1.8621073E+003,-2.7624062E-004, 1.0075821E-002
 9.7979590E+000, 1.9018503E+003,-1.5219159E-004, 1.0306957E-002
 1.0002083E+001, 1.9415788E+003,-2.8364034E-005, 1.0538641E-002
 1.0206207E+001, 1.9812963E+003, 9.5310152E-005, 1.0770827E-002
 1.0410331E+001, 1.7542848E+003, 1.3622435E+002, 3.5959106E-002
 1.0614456E+001, 1.5718074E+003, 2.5028807E+002, 3.4678114E-002
 1.0818580E+001, 1.4255499E+003, 3.4621189E+002, 2.9558322E-002
 1.1022704E+001, 1.3088226E+003, 4.2728953E+002, 2.6228781E-002
 1.1226828E+001, 1.2161817E+003, 4.9621006E+002, 2.2992002E-002
 1.1430952E+001, 1.1431921E+003, 5.5518095E+002, 2.0151956E-002
 1.1635076E+001, 1.0862332E+003, 6.0600692E+002, 1.7707322E-002
 1.1839200E+001, 1.0423505E+003, 6.5016383E+002, 1.5564343E-002
 1.2043325E+001, 1.0091316E+003, 6.8885749E+002, 1.3653284E-002
 1.2247449E+001, 9.8460402E+002, 7.2306975E+002, 1.1930069E-002
 1.2451573E+001, 9.6715623E+002, 7.5360180E+002, 1.0368243E-002
 1.2655697E+001, 9.5547204E+002, 7.8110778E+002, 8.9524065E-003
 1.2859821E+001, 9.4847414E+002, 8.0611951E+002, 7.6742269E-003
 1.3063945E+001, 9.4528322E+002, 8.2907198E+002, 6.5302947E-003
 1.3268069E+001, 9.4518256E+002, 8.5032200E+002, 5.5231516E-003
 1.3472194E+001, 9.4758514E+002, 8.7015939E+002, 4.6634379E-003
 1.3676318E+001, 9.5201321E+002, 8.8882279E+002, 3.9767839E-003
 1.3880442E+001, 9.5807948E+002, 9.0651010E+002, 3.4962946E-003
 1.4084566E+001, 9.6546674E+002, 9.2338227E+002, 3.2607152E-003
 1.4288690E+001, 9.7391923E+002, 9.3957430E+002, 3.3063332E-003
 1.4492814E+001, 9.8323231E+002, 9.5520092E+002, 3.6585103E-003
 1.4696938E+001, 9.9323899E+002, 9.7035629E+002, 4.3229820E-003
 1.4901063E+001, 1.0038075E+003, 9.8512220E+002, 5.2852961E-003
 1.5105187E+001, 1.0148355E+003, 9.9957097E+002, 6.5095653E-003
 1.5309311E+001, 1.0262400E+003, 1.0137627E+003, 7.9399088E-003
 1.5513435E+001, 9.8830813E+002, 9.7809147E+002, 1.5018719E+002
 1.5717559E+001, 9.5921624E+002, 9.5084931E+002, 2.7468906E+002
 1.5921683E+001, 9.3731783E+002, 9.3045899E+002, 3.7822268E+002
 1.6125807E+001, 9.2127151E+002, 9.1564088E+002, 4.6462031E+002
 1.6329932E+001, 9.1001098E+002, 9.0538196E+002, 5.3702826E+002
 1.6534056E+001, 9.0266576E+002, 8.9885483E+002, 5.9801732E+002
 1.6738180E+001, 8.9852661E+002, 8.9538540E+002, 6.4968926E+002
 1.6942304E+001, 8.9701634E+002, 8.9442501E+002, 6.9376260E+002
 1.7146428E+001, 8.9766078E+002, 8.9552262E+002, 7.3163816E+002
 1.7350552E+001, 9.0007220E+002, 8.9830909E+002, 7.6445947E+002
 1.7554676E+001, 9.0393264E+002, 9.0248134E+002, 7.9315927E+002
 1.7758801E+001, 9.0897733E+002, 9.0778644E+002, 8.1849425E+002
 1.7962925E+001, 9.1498781E+002, 9.1401522E+002, 8.4108017E+002
 1.8167049E+001, 9.2178341E+002, 9.2099434E+002, 8.6141769E+002
 1.8371173E+001, 9.2921163E+002, 9.2857703E+002, 8.7991067E+002
 1.8575297E+001, 9.3714685E+002, 9.3664219E+002, 8.9688776E+002
 1.8779421E+001, 9.4548662E+002, 9.4509094E+002, 9.1261736E+002
 1.8983546E+001, 9.5414481E+002, 9.5384009E+002, 9.2731607E+002
 1.9187670E+001, 9.6305296E+002, 9.6282360E+002, 9.4116252E+002
 1.9391794E+001, 9.7215791E+002, 9.7199040E+002, 9.5430518E+002
 1.9595918E+001, 9.8141650E+002, 9.8129920E+002, 9.6686547E+002
 1.9800042E+001, 9.9079694E+002, 9.9071990E+002, 9.7894589E+002
 2.0004166E+001, 1.0002767E+003, 1.0002316E+003, 9.9063355E+002
 2.0208290E+001, 1.0098379E+003, 1.0098178E+003, 1.0020001E+003
 2.0412415E+001, 8.2442177E+002, 8.2429691E+002, 8.1812789E+002
 2.0616539E+001, 6.7331275E+002, 6.7318188E+002, 6.6816555E+002
 2.0820663E+001, 5.4988129E+002, 5.4974048E+002, 5.4569039E+002
 2.1024787E+001, 4.4905141E+002, 4.4888437E+002, 4.4565603E+002
 2.1228911E+001, 3.6633555E+002, 3.6596541E+002, 3.6373442E+002
 2.1433035E+001, 2.9903259E+002, 2.9867339E+002, 2.9699005E+002
 2.1637159E+001, 2.4405041E+002, 2.4373029E+002, 2.4247787E+002
 2.1841284E+001, 1.9913286E+002, 1.9887859E+002, 1.9796006E+002
 2.2045408E+001, 1.6243258E+002, 1.6226731E+002, 1.6160382E+002
 2.2249532E+001, 1.3244332E+002, 1.3238484E+002, 1.3191407E+002
 2.2453656E+001, 1.0793500E+002, 1.0799402E+002, 1.0766895E+002
 2.2657780E+001, 8.7904481E+001, 8.8084079E+001, 8.7871328E+001
 2.2861904E+001, 7.1532762E+001, 7.1828399E+001, 7.1705819E+001
 2.3066028E+001, 5.8153931E+001, 5.8554489E+001, 5.8509139E+001
 2.3270153E+001, 4.7222712E+001, 4.7711553E+001, 4.7736984E+001
 2.3474277E+001, 3.8295002E+001, 3.8851728E+001, 3.8945760E+001
