Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
     30,      1,     60,      1,     79,     17,     12,  0.43368087E-18,      1,     62,     21,      8,  0.98247866E-01
     31,      1,     61,      1,     79,     33,      1,  0.21684043E-18,      1,     62,     10,      8,  0.80577263E-01
     31,      1,     62,      1,     79,     31,      3,  0.21684043E-18,      1,     62,     10,      8,  0.10724646E+00
     32,      1,     63,      1,     79,     24,     15,  0.43368087E-18,      1,     70,     10,      8,  0.10450204E+00
     32,      1,     64,      1,     79,      4,      3,  0.21684043E-18,      1,     62,     10,      8,  0.11819787E+00
     33,      1,     65,      1,     79,     19,     13,  0.43368087E-18,      1,     70,     10,      8,  0.12353485E+00
     33,      1,     66,      1,     79,     47,     22,  0.43368087E-18,      1,     70,     10,      8,  0.13352925E+00
     34,      1,     67,      1,     79,     13,     13,  0.43368087E-18,      1,     62,     10,      8,  0.13436833E+00
     34,      1,     68,      1,     79,     18,     12,  0.43368087E-18,      1,     66,     16,      8,  0.17475324E+00
     35,      1,     69,      1,     79,     33,      1,  0.21684043E-18,      1,     70,     10,      8,  0.10721572E+00
     35,      1,     70,      1,     79,     14,     14,  0.43368087E-18,      1,     66,     16,      8,  0.22632310E+00
     36,      1,     71,      1,     79,     24,     11,  0.43368087E-18,      1,     68,     17,      9,  0.11473533E+00
     36,      1,     72,      1,     79,     24,     12,  0.43368087E-18,      1,     66,     16,      8,  0.20631927E+00
     37,      1,     73,      1,     79,     24,     13,  0.43368087E-18,      1,     70,     10,      8,  0.13433929E+00
     37,      1,     74,      1,     79,      4,      3,  0.21684043E-18,      1,     66,     19,      8,  0.19163236E+00
     38,      1,     75,      1,     79,     13,     11,  0.43368087E-18,      1,     70,     10,      8,  0.18545321E+00
     38,      1,     76,      1,     79,     18,     15,  0.43368087E-18,      1,     66,     19,      8,  0.20029515E+00
     39,      1,     77,      1,     79,     13,      3,  0.43368087E-18,      1,     68,     15,      8,  0.23337691E+00
     39,      1,     78,      1,     79,     18,      9,  0.21684043E-18,      1,     66,     19,      8,  0.23392081E+00
     40,      1,     79,      1,     79,     10,     11,  0.43368087E-18,      1,     64,     13,      8,  0.26273214E+00
     40,      1,     80,      1,     79,     17,     12,  0.43368087E-18,      1,     68,     15,      8,  0.24279496E+00
     41,      1,     81,      1,     79,     17,      3,  0.43368087E-18,      1,     66,     19,      8,  0.36091133E+00
     41,      1,     82,      1,     79,      7,      3,  0.21684043E-18,      1,     66,     19,      8,  0.24979119E+00
     42,      1,     83,      1,     79,     46,     22,  0.43368087E-18,      1,     64,     19,      8,  0.45629777E+00
     42,      1,     84,      1,     79,     22,      3,  0.43368087E-18,      1,     64,     19,      8,  0.37217337E+00
     43,      1,     85,      1,     79,     15,      3,  0.43368087E-18,      1,     64,     14,      8,  0.35498481E+00
     43,      1,     86,      1,     79,     19,     12,  0.43368087E-18,      1,     68,     19,      8,  0.39606088E+00
     44,      1,     87,      1,     79,     18,     15,  0.86736174E-18,      1,     64,     17,      8,  0.33975182E+00
