s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6396809E-003, 2.9284847E-001, 0.0000000E+000, 3.5182015E-002, 1.6774968E+001, 9.6381218E-003, 4.0000000E+000, 4.4000000E+001, 5.3288391E-001, 5.5759764E-009
 5.2793619E-003, 2.9173303E-001, 0.0000000E+000, 3.5442042E-002,-7.2780137E-002, 8.9766010E-003, 4.0000000E+000, 4.4000000E+001, 5.3286467E-001, 5.2047083E-009
 7.9190428E-003, 2.9015617E-001, 0.0000000E+000, 3.5608448E-002,-9.9704318E-002, 8.6804760E-003, 1.0000000E+000, 4.4000000E+001, 5.3342342E-001, 5.4632902E-009
 1.0558724E-002, 2.8839966E-001, 0.0000000E+000, 3.5755758E-002,-1.0541353E-001, 3.2435389E-003, 1.0000000E+000, 4.3000000E+001, 5.3590267E-001, 5.4510946E-009
 1.3462373E-002, 2.8638918E-001, 0.0000000E+000, 3.5927794E-002,-1.0611951E-001, 1.0919741E-003, 1.0000000E+000, 4.2000000E+001, 5.3763682E-001, 6.8802319E-009
 1.6366022E-002, 2.8431513E-001, 0.0000000E+000, 3.6114803E-002,-1.0609045E-001, 1.9780781E-003, 1.0000000E+000, 4.2000000E+001, 5.4051210E-001, 8.9231771E-009
 1.9560036E-002, 2.8192073E-001, 0.0000000E+000, 3.6328668E-002,-1.0723001E-001, 1.0013576E-003, 1.0000000E+000, 4.2000000E+001, 5.3975904E-001, 6.0812845E-009
 2.2754050E-002, 2.7937346E-001, 0.0000000E+000, 3.6543289E-002,-1.1007813E-001, 1.2265647E-004, 1.0000000E+000, 4.2000000E+001, 5.4142856E-001, 5.6732545E-009
 2.6267465E-002, 2.7638066E-001, 0.0000000E+000, 3.6777060E-002,-1.1342784E-001, 4.5048361E-004, 1.0000000E+000, 4.2000000E+001, 5.4217291E-001, 6.9121402E-009
 2.9780880E-002, 2.7319176E-001, 0.0000000E+000, 3.7009184E-002,-1.1718091E-001, 2.6564768E-004, 1.0000000E+000, 4.2000000E+001, 5.3989429E-001, 6.3065970E-009
 3.3645637E-002, 2.6946829E-001, 0.0000000E+000, 3.7264571E-002,-1.2049919E-001, 9.9055670E-005, 1.0000000E+000, 4.2000000E+001, 5.3631082E-001, 5.8302146E-009
 3.7510394E-002, 2.6552624E-001, 0.0000000E+000, 3.7520797E-002,-1.2407311E-001, 2.7009932E-004, 1.0000000E+000, 4.2000000E+001, 5.3290666E-001, 5.0610959E-009
 4.1375151E-002, 2.6137016E-001, 0.0000000E+000, 3.7777613E-002,-1.2752495E-001, 2.7094503E-004, 1.0000000E+000, 4.2000000E+001, 5.3120901E-001, 4.8888159E-009
 4.5239908E-002, 2.5700385E-001, 0.0000000E+000, 3.8034357E-002,-1.3091295E-001, 2.1036666E-004, 1.0000000E+000, 4.2000000E+001, 5.3033142E-001, 4.9603788E-009
 4.9491140E-002, 2.5196410E-001, 0.0000000E+000, 3.8316006E-002,-1.3405311E-001, 1.9245210E-004, 1.0000000E+000, 4.2000000E+001, 5.2952281E-001, 5.5007374E-009
 5.3742373E-002, 2.4374351E-001, 0.0000000E+000, 3.8037616E-002,-2.4324225E-001, 2.2090864E-003, 1.0000000E+000, 4.4000000E+001, 5.3389470E-001, 5.4916676E-009
 5.7993606E-002, 2.3503647E-001, 0.0000000E+000, 3.7668820E-002,-2.5737306E-001, 2.1104198E-003, 1.0000000E+000, 4.2000000E+001, 5.2771785E-001, 5.9202885E-009
 6.2244838E-002, 2.2621667E-001, 0.0000000E+000, 3.7289076E-002,-2.5836136E-001, 5.9858369E-004, 1.0000000E+000, 4.2000000E+001, 5.2619172E-001, 5.1275268E-009
 6.6921194E-002, 2.1631307E-001, 0.0000000E+000, 3.6843616E-002,-2.6182763E-001, 5.3760846E-004, 1.0000000E+000, 4.2000000E+001, 5.3075936E-001, 8.2692042E-009
 7.1597550E-002, 2.0634858E-001, 0.0000000E+000, 3.6388795E-002,-2.6145168E-001, 6.7757454E-004, 1.0000000E+000, 4.2000000E+001, 5.3030563E-001, 8.0634025E-009
 7.6273906E-002, 1.9649443E-001, 0.0000000E+000, 3.5950885E-002,-2.5603521E-001, 4.1770142E-004, 1.0000000E+000, 4.2000000E+001, 5.2790673E-001, 6.7301574E-009
 8.0950261E-002, 1.8647883E-001, 0.0000000E+000, 3.5474347E-002,-2.6005445E-001, 2.3618000E-004, 1.0000000E+000, 4.2000000E+001, 5.2996004E-001, 8.1306735E-009
 8.5626617E-002, 1.7647352E-001, 0.0000000E+000, 3.4983830E-002,-2.5913334E-001, 2.8649288E-004, 1.0000000E+000, 4.2000000E+001, 5.2814326E-001, 7.1644287E-009
 9.0302973E-002, 1.6665311E-001, 0.0000000E+000, 3.4508848E-002,-2.5304649E-001, 2.4271696E-004, 1.0000000E+000, 4.2000000E+001, 5.2731847E-001, 6.8474418E-009
