s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.2303746E-001, 8.9685746E-002, 0.0000000E+000, 2.9478741E-002,-3.0500132E-001, 4.2942760E-004, 1.0000000E+000, 3.0000000E+000, 1.0913430E-004, 4.7370977E-009
 1.2771382E-001, 7.8819054E-002, 0.0000000E+000, 2.8617238E-002,-3.0838110E-001, 2.7687048E-004, 1.0000000E+000, 3.0000000E+000, 1.1418905E-004, 5.5028113E-009
 1.3239018E-001, 6.8223357E-002, 0.0000000E+000, 2.7741241E-002,-3.0401171E-001, 1.9357370E-004, 1.0000000E+000, 3.0000000E+000, 1.1180511E-004, 5.1400360E-009
 1.3706653E-001, 5.8146293E-002, 0.0000000E+000, 2.6890477E-002,-2.9163401E-001, 1.8497941E-004, 1.0000000E+000, 3.0000000E+000, 1.0496674E-004, 4.2435017E-009
 1.4174289E-001, 4.8110239E-002, 0.0000000E+000, 2.5991776E-002,-2.9490519E-001, 2.1172155E-004, 1.0000000E+000, 3.0000000E+000, 1.1162953E-004, 5.1467328E-009
 1.4641924E-001, 3.8596809E-002, 0.0000000E+000, 2.5117513E-002,-2.8255174E-001, 1.9928795E-004, 1.0000000E+000, 3.0000000E+000, 1.0733223E-004, 4.5702070E-009
 1.5109560E-001, 2.9361782E-002, 0.0000000E+000, 2.4537379E-002,-2.7174398E-001, 1.1587111E-003, 1.0000000E+000, 4.0000000E+000, 1.1948437E-003, 8.3575948E-009
 1.5577195E-001, 2.1223036E-002, 0.0000000E+000, 2.5126205E-002,-2.1882671E-001, 5.1519828E-003, 1.0000000E+000, 4.0000000E+000, 9.3839139E-004, 5.6280201E-009
 1.6044831E-001, 1.3623816E-002, 0.0000000E+000, 2.5754486E-002,-2.0652281E-001, 2.9287066E-003, 1.0000000E+000, 4.0000000E+000, 1.2042446E-003, 7.9626666E-009
 1.6512467E-001, 6.1201337E-003, 0.0000000E+000, 2.6404660E-002,-2.0649936E-001, 5.0764930E-004, 1.0000000E+000, 3.0000000E+000, 1.2384687E-004, 6.9754070E-009
 1.6980102E-001,-1.0954260E-003, 0.0000000E+000, 2.7050573E-002,-2.0134514E-001, 1.1549604E-003, 1.0000000E+000, 3.0000000E+000, 1.2384752E-004, 6.9525947E-009
 1.7447738E-001,-7.8261615E-003, 0.0000000E+000, 2.7675429E-002,-1.9071780E-001, 1.0106715E-003, 1.0000000E+000, 3.0000000E+000, 1.1999282E-004, 6.3124528E-009
 1.7915373E-001,-1.4480230E-002, 0.0000000E+000, 2.8327254E-002,-1.9097436E-001, 4.8765109E-004, 1.0000000E+000, 3.0000000E+000, 1.1399016E-004, 5.4103571E-009
 1.8383009E-001,-2.0665107E-002, 0.0000000E+000, 2.8967063E-002,-1.8049866E-001, 3.5294357E-004, 1.0000000E+000, 3.0000000E+000, 1.2034783E-004, 6.3476502E-009
 1.8850644E-001,-2.6792651E-002, 0.0000000E+000, 2.9636836E-002,-1.8098125E-001, 4.2139799E-004, 1.0000000E+000, 3.0000000E+000, 1.2785854E-004, 7.6490175E-009
 1.9318280E-001,-3.2671807E-002, 0.0000000E+000, 3.0315975E-002,-1.7620356E-001, 4.1055849E-004, 1.0000000E+000, 3.0000000E+000, 1.0971060E-004, 4.8357580E-009
 1.9785916E-001,-3.8112850E-002, 0.0000000E+000, 3.0980527E-002,-1.6609912E-001, 3.4374586E-004, 1.0000000E+000, 3.0000000E+000, 1.2063311E-004, 6.4804839E-009
 2.0253551E-001,-4.4184289E-002, 0.0000000E+000, 3.1560338E-002,-1.8962471E-001, 2.8818546E-004, 1.0000000E+000, 4.0000000E+000, 1.1854010E-003, 7.5053834E-009
 2.0721187E-001,-5.0347819E-002, 0.0000000E+000, 3.2032506E-002,-1.9759037E-001, 4.4457946E-004, 1.0000000E+000, 4.0000000E+000, 1.1945737E-003, 7.8214490E-009
 2.1188822E-001,-5.6547585E-002, 0.0000000E+000, 3.2517822E-002,-2.0056326E-001, 2.9098061E-004, 1.0000000E+000, 3.0000000E+000, 1.1847145E-004, 6.4129956E-009
 2.1656458E-001,-6.2536606E-002, 0.0000000E+000, 3.3009260E-002,-1.9638442E-001, 4.7926009E-004, 1.0000000E+000, 3.0000000E+000, 1.1062326E-004, 5.2726295E-009
 2.2124094E-001,-6.8076785E-002, 0.0000000E+000, 3.3492295E-002,-1.8518422E-001, 6.2121205E-004, 1.0000000E+000, 3.0000000E+000, 1.1337724E-004, 5.7427144E-009
 2.2591729E-001,-7.3682960E-002, 0.0000000E+000, 3.3992264E-002,-1.8840047E-001, 5.9394643E-004, 1.0000000E+000, 3.0000000E+000, 1.1976114E-004, 6.8803952E-009
 2.3059365E-001,-7.8873279E-002, 0.0000000E+000, 3.4482394E-002,-1.7778655E-001, 4.9415810E-004, 1.0000000E+000, 3.0000000E+000, 1.0517527E-004, 4.7130275E-009
 2.3527000E-001,-8.4159726E-002, 0.0000000E+000, 3.4988130E-002,-1.8153429E-001, 4.7699234E-004, 1.0000000E+000, 3.0000000E+000, 1.1309838E-004, 5.9914650E-009
 2.3994636E-001,-8.9306517E-002, 0.0000000E+000, 3.5496881E-002,-1.7850756E-001, 5.0884906E-004, 1.0000000E+000, 3.0000000E+000, 1.0713914E-004, 5.1959186E-009
 2.4462271E-001,-9.4074141E-002, 0.0000000E+000, 3.5993946E-002,-1.6850825E-001, 5.2837231E-004, 1.0000000E+000, 3.0000000E+000, 1.0793154E-004, 5.4448770E-009
 2.4883113E-001,-9.8364031E-002, 0.0000000E+000, 3.6447660E-002,-1.6895580E-001, 3.9340241E-004, 1.0000000E+000, 3.0000000E+000, 1.1139841E-004, 5.5427013E-009
 2.5303955E-001,-9.3152599E-002, 0.0000000E+000, 3.7344428E-002, 1.5429297E-001, 3.5185912E-003, 1.0000000E+000, 4.0000000E+000, 9.2152537E-004, 5.0853317E-009
 2.5724797E-001,-8.4260303E-002, 0.0000000E+000, 3.8400269E-002, 2.8163078E-001, 3.8984719E-003, 1.0000000E+000, 4.0000000E+000, 9.7968146E-004, 4.4631638E-009
 2.6145638E-001,-7.5391034E-002, 0.0000000E+000, 3.9470212E-002, 2.8420192E-001, 1.5998086E-003, 1.0000000E+000, 3.0000000E+000, 1.2451769E-004, 8.4986470E-009
 2.6566480E-001,-6.6627486E-002, 0.0000000E+000, 4.0546381E-002, 2.8327479E-001, 6.3633159E-004, 1.0000000E+000, 3.0000000E+000, 1.0652957E-004, 5.5062915E-009
 2.6987322E-001,-5.7970358E-002, 0.0000000E+000, 4.1629997E-002, 2.8181900E-001, 9.9569846E-004, 1.0000000E+000, 3.0000000E+000, 1.0295074E-004, 5.1723260E-009
 2.7408164E-001,-4.9396801E-002, 0.0000000E+000, 4.2723603E-002, 2.8077233E-001, 6.4780103E-004, 1.0000000E+000, 3.0000000E+000, 1.0596053E-004, 5.8445279E-009
 2.7829005E-001,-4.0546803E-002, 0.0000000E+000, 4.3868953E-002, 2.9231505E-001, 6.8276059E-004, 1.0000000E+000, 3.0000000E+000, 1.2084524E-004, 9.0132199E-009
 2.8249847E-001,-3.2091276E-002, 0.0000000E+000, 4.4989406E-002, 2.7984752E-001, 7.7883305E-004, 1.0000000E+000, 3.0000000E+000, 1.0708401E-004, 6.4970339E-009
 2.8670689E-001,-2.3696254E-002, 0.0000000E+000, 4.6121030E-002, 2.7909986E-001, 7.7738128E-004, 1.0000000E+000, 3.0000000E+000, 9.5724772E-005, 4.8126711E-009
 2.9091531E-001,-1.5359741E-002, 0.0000000E+000, 4.7265674E-002, 2.7834238E-001, 7.9910044E-004, 1.0000000E+000, 3.0000000E+000, 9.4897071E-005, 4.8560784E-009
 2.9512372E-001,-7.0815974E-003, 0.0000000E+000, 4.8424129E-002, 2.7750695E-001, 8.9065649E-004, 1.0000000E+000, 3.0000000E+000, 9.5561212E-005, 5.1211776E-009
 2.9933214E-001, 1.1381716E-003, 0.0000000E+000, 4.9596904E-002, 2.7659177E-001, 1.0353879E-003, 1.0000000E+000, 3.0000000E+000, 9.5642167E-005, 5.2848078E-009
 3.0354056E-001, 8.2481731E-003, 0.0000000E+000, 5.0535182E-002, 2.3404165E-001, 9.3910337E-004, 1.0000000E+000, 4.0000000E+000, 1.0758115E-003, 8.4427590E-009
