s,m3/s,m3/s,m/s,
Time,"flow_in","flow_out","error","iter"
 0.0000000E+000, 2.0896396E-003, 2.1388555E-003, 0.0000000E+000, 0.0000000E+000
 1.2500000E-001, 1.5152478E-005, 2.2167460E-003, 9.7691611E-004, 3.0000000E+000
 2.5000000E-001, 1.2367747E-001, 1.6578833E-002, 3.5814494E-003, 1.0000000E+003
 3.7500000E-001, 2.4407189E-001, 9.2857275E-002, 4.5184285E-003, 1.0000000E+003
 5.0000000E-001, 3.5765873E-001, 2.3042441E-001, 3.7321615E-003, 1.0000000E+003
 6.2500000E-001, 4.6178646E-001, 4.0111274E-001, 1.7673165E-003, 1.0000000E+003
 7.5000000E-001, 5.5480842E-001, 5.7071457E-001, 9.9819371E-004, 1.4100000E+002
 8.7500000E-001, 6.3560978E-001, 7.1591535E-001, 2.4556271E-003, 1.0000000E+003
 1.0000000E+000, 7.0452640E-001, 8.1573004E-001, 3.3130666E-003, 1.0000000E+003
 1.1250000E+000, 7.6219754E-001, 8.6980917E-001, 3.2193176E-003, 1.0000000E+003
 1.2500000E+000, 8.0975061E-001, 8.8951005E-001, 2.3978351E-003, 1.0000000E+003
 1.3750000E+000, 8.4852464E-001, 8.9079763E-001, 1.2846535E-003, 1.0000000E+003
 1.5000000E+000, 8.8017064E-001, 8.8945313E-001, 9.6562861E-004, 1.0000000E+001
 1.6250000E+000, 9.0550126E-001, 8.8840938E-001, 9.9480354E-004, 2.4000000E+001
 1.7500000E+000, 9.2534114E-001, 8.9384069E-001, 9.9950531E-004, 2.6900000E+002
 1.8750000E+000, 9.4122343E-001, 9.0170190E-001, 9.9981600E-004, 1.5700000E+002
 2.0000000E+000, 9.5385701E-001, 9.1936902E-001, 1.0058706E-003, 1.0000000E+003
 2.1250000E+000, 9.6385413E-001, 9.3624948E-001, 9.9902501E-004, 7.4000000E+001
 2.2500000E+000, 9.7181027E-001, 9.5176695E-001, 9.8142802E-004, 1.2000000E+001
 2.3750000E+000, 9.7807472E-001, 9.6717564E-001, 9.0065626E-004, 1.4000000E+001
 2.4851842E+000, 9.7836731E-001, 9.8092492E-001, 9.8899751E-004, 1.1000000E+001
 2.5953684E+000, 9.8621668E-001, 9.9439155E-001, 9.2853305E-004, 1.2000000E+001
 2.7055526E+000, 9.8909391E-001, 1.0077935E+000, 9.9388803E-004, 1.4000000E+001
 2.8157368E+000, 9.9129329E-001, 1.0199387E+000, 9.9881804E-004, 2.4000000E+001
 2.9259210E+000, 9.9304694E-001, 1.0285855E+000, 9.9884402E-004, 5.3000000E+001
 3.0361052E+000, 9.9445433E-001, 1.0289118E+000, 9.9986597E-004, 5.4600000E+002
 3.1462894E+000, 9.9558641E-001, 1.0285235E+000, 9.9979841E-004, 7.2000000E+001
 3.2564736E+000, 9.9649734E-001, 1.0280007E+000, 9.9655657E-004, 2.5000000E+001
 3.3551744E+000, 9.9649617E-001, 1.0266081E+000, 9.9955566E-004, 1.0300000E+002
 3.4538753E+000, 9.9769159E-001, 1.0253474E+000, 9.8602059E-004, 1.8000000E+001
 3.5525761E+000, 9.9812753E-001, 1.0239658E+000, 9.9938826E-004, 1.6000000E+001
 3.6512770E+000, 9.9847236E-001, 1.0225003E+000, 9.7881534E-004, 1.3000000E+001
 3.7499779E+000, 9.9875084E-001, 1.0209270E+000, 9.3409960E-004, 1.1000000E+001
 3.8486787E+000, 9.9897779E-001, 1.0192099E+000, 9.0901317E-004, 9.0000000E+000
 3.9473796E+000, 9.9916216E-001, 1.0171481E+000, 9.3479110E-004, 9.0000000E+000
 4.0460804E+000, 9.9931048E-001, 1.0146712E+000, 9.1128740E-004, 9.0000000E+000
 4.1447813E+000, 9.9942684E-001, 1.0118048E+000, 9.7150760E-004, 8.0000000E+000
 4.2434821E+000, 9.9951321E-001, 1.0085519E+000, 9.8022092E-004, 7.0000000E+000
 4.3421830E+000, 9.9957257E-001, 1.0049523E+000, 8.0309039E-004, 8.0000000E+000
 4.4408839E+000, 9.9961049E-001, 1.0010737E+000, 7.6726657E-004, 8.0000000E+000
 4.5395847E+000, 9.9963669E-001, 9.9699131E-001, 7.1573647E-004, 8.0000000E+000
 4.6382856E+000, 9.9965874E-001, 9.9290026E-001, 8.6537696E-004, 8.0000000E+000
 4.7369864E+000, 9.9967960E-001, 9.8902317E-001, 9.2303903E-004, 8.0000000E+000
 4.8356873E+000, 9.9969790E-001, 9.8548973E-001, 9.2406289E-004, 8.0000000E+000
 4.9343882E+000, 9.9971043E-001, 9.8229024E-001, 9.5119563E-004, 8.0000000E+000
 5.0330890E+000, 9.9971665E-001, 9.7928755E-001, 9.6718133E-004, 1.0000000E+001
 5.1317899E+000, 9.9972259E-001, 9.7643029E-001, 9.8882248E-004, 1.0000000E+001
 5.2304907E+000, 9.9973600E-001, 9.7373423E-001, 9.7777295E-004, 1.2000000E+001
 5.3291916E+000, 9.9975646E-001, 9.7124256E-001, 9.5520990E-004, 1.4000000E+001
 5.4278924E+000, 9.9978117E-001, 9.6901738E-001, 9.3711661E-004, 1.6000000E+001
