s,m3/s,m3/s,m/s,
Time,"flow_in","flow_out","error","iter"
 6.8483529E+000, 9.9999672E-001, 9.9999672E-001, 2.2204460E-016, 1.0000000E+000
 6.9372073E+000, 9.9999775E-001, 9.9999775E-001, 2.2204460E-016, 1.0000000E+000
 7.0260618E+000, 9.9999811E-001, 9.9999811E-001, 4.4408921E-016, 1.0000000E+000
 7.1149163E+000, 9.9999842E-001, 9.9999842E-001, 2.2204460E-016, 1.0000000E+000
 7.2037708E+000, 9.9999868E-001, 9.9999868E-001, 2.2204460E-016, 1.0000000E+000
 7.2926252E+000, 9.9999889E-001, 9.9999889E-001, 2.2204460E-016, 1.0000000E+000
 7.3814797E+000, 9.9999907E-001, 9.9999907E-001, 2.2204460E-016, 1.0000000E+000
 7.4703342E+000, 9.9999922E-001, 9.9999922E-001, 4.4408921E-016, 1.0000000E+000
 7.5591886E+000, 9.9999935E-001, 9.9999935E-001, 2.2204460E-016, 1.0000000E+000
 7.6480431E+000, 9.9999946E-001, 9.9999946E-001, 2.2204460E-016, 1.0000000E+000
 7.7368976E+000, 9.9999954E-001, 9.9999954E-001, 2.2204460E-016, 1.0000000E+000
 7.8257521E+000, 9.9999962E-001, 9.9999962E-001, 2.2204460E-016, 1.0000000E+000
 7.9146065E+000, 9.9999968E-001, 9.9999968E-001, 4.4408921E-016, 1.0000000E+000
 8.0034610E+000, 9.9999973E-001, 9.9999973E-001, 2.2204460E-016, 1.0000000E+000
 8.0923155E+000, 9.9999978E-001, 9.9999978E-001, 4.4408921E-016, 1.0000000E+000
 8.1811700E+000, 9.9999981E-001, 9.9999981E-001, 2.2204460E-016, 1.0000000E+000
 8.2700244E+000, 9.9999984E-001, 9.9999984E-001, 2.2204460E-016, 1.0000000E+000
 8.3588789E+000, 9.9999987E-001, 9.9999987E-001, 2.2204460E-016, 1.0000000E+000
 8.4477334E+000, 9.9999989E-001, 9.9999989E-001, 2.2204460E-016, 1.0000000E+000
 8.5365878E+000, 9.9999991E-001, 9.9999991E-001, 2.2204460E-016, 1.0000000E+000
 8.6254423E+000, 9.9999992E-001, 9.9999992E-001, 2.2204460E-016, 1.0000000E+000
 8.7142968E+000, 9.9999994E-001, 9.9999994E-001, 2.2204460E-016, 1.0000000E+000
 8.8031513E+000, 9.9999995E-001, 9.9999995E-001, 2.2204460E-016, 1.0000000E+000
 8.8920057E+000, 9.9999995E-001, 9.9999995E-001, 4.4408921E-016, 1.0000000E+000
 8.9808602E+000, 9.9999996E-001, 9.9999996E-001, 2.2204460E-016, 1.0000000E+000
 9.0697147E+000, 9.9999997E-001, 9.9999997E-001, 2.2204460E-016, 1.0000000E+000
 9.1585692E+000, 9.9999997E-001, 9.9999997E-001, 2.2204460E-016, 1.0000000E+000
 9.2474236E+000, 9.9999998E-001, 9.9999998E-001, 2.2204460E-016, 1.0000000E+000
 9.3362781E+000, 9.9999998E-001, 9.9999998E-001, 2.2204460E-016, 1.0000000E+000
 9.4251326E+000, 9.9999998E-001, 9.9999998E-001, 2.2204460E-016, 1.0000000E+000
 9.5139870E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000
 9.6028415E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000
 9.6916960E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000
 9.7805505E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000
 9.8694049E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000
 9.9582594E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000
 1.0047114E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.0135968E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.0224823E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.0313677E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.0402532E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.0491386E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.0580241E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.0669095E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.0757950E+001, 1.0000000E+000, 1.0000000E+000, 4.4408921E-016, 1.0000000E+000
 1.0846804E+001, 1.0000000E+000, 1.0000000E+000, 4.4408921E-016, 1.0000000E+000
 1.0935659E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.1024513E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.1113368E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.1202222E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.1291077E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.1379931E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.1468785E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.1557640E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.1646494E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.1735349E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.1824203E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.1913058E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.2001912E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.2090767E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.2179621E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.2268476E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.2357330E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.2446185E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.2535039E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.2623894E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.2712748E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.2801603E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.2890457E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.2979311E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.3068166E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.3157020E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.3245875E+001, 1.0000000E+000, 1.0000000E+000, 4.4408921E-016, 1.0000000E+000
 1.3334729E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.3423584E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.3512438E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
