s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 1.1452667E-001, 5.7108692E-002, 9.9825355E-006, 1.2000000E+001, 1.1553252E+001
 1.1683549E-001, 5.7085869E-002, 9.9808099E-006, 1.0000000E+001, 1.1783194E+001
 1.1914431E-001, 5.7056630E-002, 9.9970461E-006, 1.0000000E+001, 1.1997775E+001
 1.2145313E-001, 5.7023816E-002, 9.9733968E-006, 1.1000000E+001, 1.2185540E+001
 1.2376194E-001, 5.6989752E-002, 9.9972033E-006, 1.0000000E+001, 1.2388243E+001
 1.2607076E-001, 5.6956246E-002, 9.9888277E-006, 1.1000000E+001, 1.2587458E+001
 1.2837958E-001, 5.6921220E-002, 9.9812976E-006, 1.1000000E+001, 1.3258132E+001
 1.3043229E-001, 5.6897928E-002, 9.9813037E-006, 9.0000000E+000, 1.3497229E+001
 1.3248500E-001, 5.6867587E-002, 9.9641361E-006, 1.0000000E+001, 1.3884143E+001
 1.3453771E-001, 5.6836205E-002, 9.9776804E-006, 9.0000000E+000, 1.4089983E+001
 1.3659041E-001, 5.6803536E-002, 9.9646984E-006, 1.0000000E+001, 1.4464097E+001
 1.3864312E-001, 5.6769780E-002, 9.9920802E-006, 9.0000000E+000, 1.4660674E+001
 1.4069583E-001, 5.6736999E-002, 9.9854922E-006, 1.0000000E+001, 1.4862956E+001
 1.4274854E-001, 5.6700920E-002, 9.9832222E-006, 1.0000000E+001, 1.5051516E+001
 1.4480124E-001, 5.6666170E-002, 9.9883593E-006, 1.0000000E+001, 1.5254017E+001
 1.4662679E-001, 5.6641262E-002, 9.9618836E-006, 9.0000000E+000, 1.5468749E+001
 1.4845234E-001, 5.6611856E-002, 9.9921946E-006, 8.0000000E+000, 1.5661199E+001
 1.5027789E-001, 5.6581444E-002, 9.9881377E-006, 9.0000000E+000, 1.5856714E+001
 1.5210343E-001, 5.6550200E-002, 9.9627088E-006, 9.0000000E+000, 1.6051417E+001
 1.5392898E-001, 5.6515717E-002, 9.9607955E-006, 9.0000000E+000, 1.6234762E+001
 1.5575453E-001, 5.6482986E-002, 9.9557313E-006, 9.0000000E+000, 1.6385128E+001
 1.5758008E-001, 5.6449298E-002, 9.9578780E-006, 9.0000000E+000, 1.6569306E+001
 1.5940562E-001, 5.6414855E-002, 9.9677107E-006, 9.0000000E+000, 1.7045990E+001
 1.6123117E-001, 5.6382036E-002, 9.9735757E-006, 9.0000000E+000, 1.7449728E+001
 1.6305672E-001, 5.6345974E-002, 9.9987749E-006, 9.0000000E+000, 1.7696156E+001
 1.6469529E-001, 5.6322102E-002, 9.9856735E-006, 8.0000000E+000, 1.8196627E+001
 1.6633387E-001, 5.6293135E-002, 9.9864620E-006, 8.0000000E+000, 1.8407360E+001
 1.6797244E-001, 5.6263512E-002, 9.9837740E-006, 8.0000000E+000, 1.8590744E+001
 1.6961102E-001, 5.6233134E-002, 9.9811818E-006, 8.0000000E+000, 1.8737482E+001
 1.7124959E-001, 5.6199456E-002, 9.9949812E-006, 8.0000000E+000, 1.8880983E+001
 1.7288816E-001, 5.6167961E-002, 9.9518792E-006, 9.0000000E+000, 1.9074152E+001
 1.7452674E-001, 5.6133185E-002, 9.9586971E-006, 8.0000000E+000, 1.9250616E+001
 1.7616531E-001, 5.6100556E-002, 9.9831815E-006, 8.0000000E+000, 1.9442419E+001
 1.7780389E-001, 5.6067161E-002, 9.9593473E-006, 9.0000000E+000, 1.9623804E+001
 1.7944246E-001, 5.6033343E-002, 9.9706115E-006, 8.0000000E+000, 1.9770353E+001
 1.8108104E-001, 5.6001435E-002, 9.9510488E-006, 9.0000000E+000, 1.9945824E+001
 1.8271961E-001, 5.5966240E-002, 9.9753371E-006, 8.0000000E+000, 2.0140152E+001
 1.8435819E-001, 5.5933143E-002, 9.9670101E-006, 9.0000000E+000, 2.0325306E+001
 1.8583062E-001, 5.5907313E-002, 9.9679397E-006, 7.0000000E+000, 2.0556988E+001
 1.8730306E-001, 5.5878750E-002, 9.9549491E-006, 8.0000000E+000, 2.0689045E+001
 1.8877549E-001, 5.5846866E-002, 9.9680796E-006, 7.0000000E+000, 2.1174299E+001
 1.9024793E-001, 5.5817482E-002, 9.9950341E-006, 7.0000000E+000, 2.1436449E+001
 1.9172036E-001, 5.5787297E-002, 9.9712191E-006, 8.0000000E+000, 2.1802082E+001
 1.9319280E-001, 5.5753849E-002, 9.9831878E-006, 7.0000000E+000, 2.1947456E+001
 1.9466523E-001, 5.5722912E-002, 9.9692975E-006, 8.0000000E+000, 2.2155001E+001
 1.9613767E-001, 5.5691325E-002, 9.9765279E-006, 7.0000000E+000, 2.2342405E+001
 1.9761010E-001, 5.5659094E-002, 9.9699686E-006, 8.0000000E+000, 2.2534779E+001
 1.9908254E-001, 5.5626457E-002, 9.9844399E-006, 7.0000000E+000, 2.2663939E+001
 2.0055497E-001, 5.5593260E-002, 9.9854757E-006, 8.0000000E+000, 2.2869137E+001
 2.0202741E-001, 5.5559732E-002, 9.9619715E-006, 8.0000000E+000, 2.3043251E+001
 2.0349984E-001, 5.5525821E-002, 9.9947039E-006, 7.0000000E+000, 2.3237782E+001
 2.0497228E-001, 5.5494126E-002, 9.9984620E-006, 8.0000000E+000, 2.3370127E+001
 2.0644471E-001, 5.5459088E-002, 9.9868057E-006, 8.0000000E+000, 2.3572975E+001
 2.0791715E-001, 5.5423915E-002, 9.9859350E-006, 8.0000000E+000, 2.3755264E+001
 2.0938958E-001, 5.5391191E-002, 9.9789882E-006, 8.0000000E+000, 2.3901470E+001
 2.1071431E-001, 5.5365587E-002, 9.9599554E-006, 7.0000000E+000, 2.4106873E+001
 2.1203903E-001, 5.5337073E-002, 9.9881903E-006, 6.0000000E+000, 2.4588034E+001
 2.1336375E-001, 5.5307968E-002, 9.9543224E-006, 8.0000000E+000, 2.5363691E+001
 2.1468847E-001, 5.5272359E-002, 9.9434745E-006, 3.0000000E+000, 2.5517792E+001
 2.1601319E-001, 5.5248425E-002, 9.9917747E-006, 1.0000000E+001, 2.5708515E+001
 2.1733791E-001, 5.5205310E-002, 9.9245129E-006, 3.0000000E+000, 2.5876492E+001
 2.1866263E-001, 5.5182621E-002, 9.9602937E-006, 1.0000000E+001, 2.6012375E+001
 2.1998736E-001, 5.5142682E-002, 9.8930093E-006, 3.0000000E+000, 2.6181406E+001
 2.2131208E-001, 5.5116025E-002, 9.9687319E-006, 1.0000000E+001, 2.6315813E+001
 2.2263680E-001, 5.5079080E-002, 9.8978152E-006, 3.0000000E+000, 2.6486918E+001
 2.2396152E-001, 5.5054614E-002, 9.9736009E-006, 1.0000000E+001, 2.6662249E+001
 2.2528624E-001, 5.5013374E-002, 9.9285876E-006, 3.0000000E+000, 2.6789877E+001
 2.2661096E-001, 5.4988726E-002, 9.9650442E-006, 1.1000000E+001, 2.7537798E+001
 2.2793569E-001, 5.4947019E-002, 9.9004890E-006, 3.0000000E+000, 2.7732432E+001
 2.2926041E-001, 5.4922035E-002, 9.9508689E-006, 1.1000000E+001, 2.7877699E+001
 2.3058513E-001, 5.4883187E-002, 9.8771344E-006, 3.0000000E+000, 2.8567822E+001
 2.3190985E-001, 5.4857115E-002, 9.9894324E-006, 1.0000000E+001, 2.8752979E+001
 2.3323457E-001, 5.4817471E-002, 9.9452143E-006, 3.0000000E+000, 2.8882170E+001
 2.3455929E-001, 5.4793758E-002, 9.9944886E-006, 1.1000000E+001, 2.9062357E+001
 2.3588401E-001, 5.4753270E-002, 9.9222104E-006, 3.0000000E+000, 2.9806790E+001
 2.3720874E-001, 5.4725779E-002, 9.9900590E-006, 1.1000000E+001, 2.9969376E+001
 2.3853346E-001, 5.4684765E-002, 9.9245778E-006, 3.0000000E+000, 3.0150320E+001
 2.3985818E-001, 5.4659707E-002, 9.9875462E-006, 1.1000000E+001, 3.0330179E+001
 2.4104847E-001, 5.4629003E-002, 9.8876960E-006, 3.0000000E+000, 3.0489447E+001
 2.4223875E-001, 5.4605502E-002, 9.9655835E-006, 9.0000000E+000, 3.0685515E+001
 2.4342904E-001, 5.4566674E-002, 9.9196478E-006, 3.0000000E+000, 3.1304995E+001
 2.4461933E-001, 5.4546244E-002, 9.9783502E-006, 9.0000000E+000, 3.1458931E+001
 2.4580962E-001, 5.4506518E-002, 9.9138870E-006, 3.0000000E+000, 3.1631456E+001
 2.4699991E-001, 5.4481949E-002, 9.9775592E-006, 9.0000000E+000, 3.1761944E+001
 2.4819019E-001, 5.4441861E-002, 9.9123917E-006, 3.0000000E+000, 3.1930084E+001
 2.4938048E-001, 5.4416812E-002, 9.9758216E-006, 9.0000000E+000, 3.2097725E+001
 2.5057077E-001, 5.4376204E-002, 9.9096762E-006, 3.0000000E+000, 3.2222950E+001
 2.5176106E-001, 5.4350713E-002, 9.9753791E-006, 9.0000000E+000, 3.2393593E+001
 2.5295135E-001, 5.4309650E-002, 9.9096257E-006, 3.0000000E+000, 3.2519001E+001
 2.5414163E-001, 5.4287237E-002, 9.9642272E-006, 9.0000000E+000, 3.2692410E+001
 2.5533192E-001, 5.4245432E-002, 9.8963328E-006, 3.0000000E+000, 3.2833889E+001
 2.5652221E-001, 5.4219020E-002, 9.9698282E-006, 9.0000000E+000, 3.2965565E+001
 2.5771250E-001, 5.4177025E-002, 9.9068551E-006, 3.0000000E+000, 3.3913395E+001
 2.5890279E-001, 5.4153880E-002, 9.9699162E-006, 9.0000000E+000, 3.4075722E+001
 2.6009307E-001, 5.4111218E-002, 9.9075982E-006, 3.0000000E+000, 3.4255539E+001
 2.6128336E-001, 5.4087617E-002, 9.9766376E-006, 9.0000000E+000, 3.4441689E+001
 2.6247365E-001, 5.4044500E-002, 9.9166034E-006, 3.0000000E+000, 3.4567860E+001
 2.6366394E-001, 5.4020549E-002, 9.9901437E-006, 9.0000000E+000, 3.4743923E+001
 2.6485423E-001, 5.3977012E-002, 9.9335063E-006, 3.0000000E+000, 3.4869000E+001
 2.6604451E-001, 5.3952756E-002, 9.9622490E-006, 1.0000000E+001, 3.5039684E+001
 2.6723480E-001, 5.3908862E-002, 9.8808588E-006, 3.0000000E+000, 3.5947468E+001
 2.6842509E-001, 5.3884351E-002, 9.9673351E-006, 9.0000000E+000, 3.6099152E+001
 2.6961538E-001, 5.3839980E-002, 9.9194184E-006, 3.0000000E+000, 3.6265175E+001
 2.7080566E-001, 5.3815057E-002, 9.9621617E-006, 1.0000000E+001, 3.6398869E+001
 2.7318624E-001, 5.3757863E-002, 9.9340265E-006, 6.0000000E+000, 3.7159916E+001
 2.7437653E-001, 5.3704159E-002, 9.9210036E-006, 3.0000000E+000, 3.7411579E+001
 2.7675710E-001, 5.3657244E-002, 9.9280285E-006, 6.5000000E+000, 3.7662008E+001
 2.7889306E-001, 5.3601654E-002, 9.9390886E-006, 5.5000000E+000, 3.8783688E+001
 2.8102902E-001, 5.3542677E-002, 9.9692575E-006, 5.0000000E+000, 3.9084278E+001
 2.8209699E-001, 5.3502121E-002, 9.9888715E-006, 8.0000000E+000, 3.9317917E+001
 2.8423295E-001, 5.3446376E-002, 9.9513330E-006, 5.5000000E+000, 3.9540356E+001
 2.8636891E-001, 5.3383371E-002, 9.9352166E-006, 5.0000000E+000, 3.9832123E+001
 2.8850486E-001, 5.3318993E-002, 9.9592014E-006, 5.5000000E+000, 4.0379835E+001
 2.9064082E-001, 5.3253971E-002, 9.9421385E-006, 5.0000000E+000, 4.0796543E+001
 2.9277677E-001, 5.3188253E-002, 9.9690005E-006, 5.5000000E+000, 4.1083958E+001
 2.9491273E-001, 5.3122040E-002, 9.9366178E-006, 5.5000000E+000, 4.1383595E+001
 2.9704869E-001, 5.3055355E-002, 9.9377250E-006, 5.0000000E+000, 4.1675482E+001
 2.9811666E-001, 5.3004679E-002, 9.9329759E-006, 3.0000000E+000, 4.1899780E+001
 3.0025262E-001, 5.2957611E-002, 9.9551017E-006, 5.5000000E+000, 4.2639460E+001
