s,Pa,m/s,
Time,"pres","error","iter"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528471E-003, 5.7933749E-002, 8.9473925E-005, 1.1000000E+001
 7.9056942E-003, 5.7927390E-002, 9.4465335E-005, 2.0000000E+000
 1.1858541E-002, 5.7919221E-002, 9.3526026E-005, 1.0000000E+000
 1.5811388E-002, 5.7909244E-002, 9.6644982E-005, 1.0000000E+000
 1.9764235E-002, 5.7897460E-002, 9.8521615E-005, 1.0000000E+000
 2.3717082E-002, 5.7883871E-002, 9.9136511E-005, 1.0000000E+000
 2.7669930E-002, 5.7868477E-002, 6.2261473E-005, 2.0000000E+000
 3.1622777E-002, 5.7851282E-002, 7.5573564E-005, 1.0000000E+000
 3.5575624E-002, 5.7832286E-002, 9.7630644E-005, 1.0000000E+000
 3.9528471E-002, 5.7811493E-002, 6.1669370E-005, 2.0000000E+000
 4.3481318E-002, 5.7788905E-002, 9.6781713E-005, 1.0000000E+000
 4.7434165E-002, 5.7764525E-002, 7.0525060E-005, 2.0000000E+000
 5.1387012E-002, 5.7738356E-002, 6.7795005E-005, 2.0000000E+000
 5.5339859E-002, 5.7710402E-002, 6.7861785E-005, 2.0000000E+000
 5.9292706E-002, 5.7680664E-002, 7.5826727E-005, 2.0000000E+000
 6.3245553E-002, 5.7649149E-002, 8.5896833E-005, 2.0000000E+000
 6.7198400E-002, 5.7615858E-002, 9.6231534E-005, 2.0000000E+000
 7.1151247E-002, 5.7580797E-002, 5.6085611E-005, 3.0000000E+000
 7.5104094E-002, 5.7543970E-002, 9.6162160E-005, 2.0000000E+000
 7.9056942E-002, 5.7505381E-002, 6.0750297E-005, 3.0000000E+000
 8.2487903E-002, 5.7479937E-002, 8.2716721E-005, 2.0000000E+000
 8.5918865E-002, 5.7444105E-002, 9.9478643E-005, 2.0000000E+000
 8.9349826E-002, 5.7406955E-002, 5.4561371E-005, 3.0000000E+000
 9.2360941E-002, 5.7381878E-002, 7.1353736E-005, 2.0000000E+000
 9.5372056E-002, 5.7347466E-002, 8.5118187E-005, 2.0000000E+000
 9.8383171E-002, 5.7312046E-002, 8.9906432E-005, 2.0000000E+000
 1.0139429E-001, 5.7275620E-002, 9.3089578E-005, 2.0000000E+000
 1.0402230E-001, 5.7251908E-002, 7.5298729E-005, 2.0000000E+000
 1.0665032E-001, 5.7218759E-002, 7.3175905E-005, 2.0000000E+000
 1.0927834E-001, 5.7184850E-002, 7.3913366E-005, 2.0000000E+000
 1.1190636E-001, 5.7150181E-002, 7.5846798E-005, 2.0000000E+000
 1.1453438E-001, 5.7114756E-002, 7.8040330E-005, 2.0000000E+000
 1.1684322E-001, 5.7091361E-002, 6.3534057E-005, 2.0000000E+000
 1.1915206E-001, 5.7059195E-002, 6.6697978E-005, 2.0000000E+000
 1.2146090E-001, 5.7026449E-002, 6.1331303E-005, 2.0000000E+000
 1.2376973E-001, 5.6993124E-002, 6.2276546E-005, 2.0000000E+000
 1.2607857E-001, 5.6959220E-002, 6.4033661E-005, 2.0000000E+000
 1.2838741E-001, 5.6924740E-002, 6.5593174E-005, 2.0000000E+000
 1.3044007E-001, 5.6901090E-002, 5.4163179E-005, 2.0000000E+000
 1.3249273E-001, 5.6869614E-002, 5.7249604E-005, 2.0000000E+000
 1.3454539E-001, 5.6837685E-002, 5.7803799E-005, 2.0000000E+000
 1.3659805E-001, 5.6805304E-002, 5.2566705E-005, 2.0000000E+000
 1.3865071E-001, 5.6772473E-002, 5.7838759E-005, 2.0000000E+000
 1.4070337E-001, 5.6739192E-002, 5.3542906E-005, 2.0000000E+000
 1.4275602E-001, 5.6705463E-002, 5.8930874E-005, 2.0000000E+000
 1.4480868E-001, 5.6671286E-002, 5.4748237E-005, 2.0000000E+000
 1.4663448E-001, 5.6647949E-002, 4.7145453E-005, 2.0000000E+000
 1.4846028E-001, 5.6616911E-002, 4.7925865E-005, 2.0000000E+000
 1.5028608E-001, 5.6585521E-002, 4.7902662E-005, 2.0000000E+000
 1.5211188E-001, 5.6553780E-002, 4.8092900E-005, 2.0000000E+000
 1.5393768E-001, 5.6521689E-002, 4.8337519E-005, 2.0000000E+000
 1.5576348E-001, 5.6489250E-002, 4.8352993E-005, 2.0000000E+000
 1.5758928E-001, 5.6456461E-002, 4.8254983E-005, 2.0000000E+000
 1.5941508E-001, 5.6423325E-002, 4.8253482E-005, 2.0000000E+000
 1.6124088E-001, 5.6389843E-002, 4.8427948E-005, 2.0000000E+000
