Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 1.596E+01, 2.239E+01, 8.355E+00, 3.345E+01, 1.262E+01, 2.099E+01, 2.826E+01, 0.000E+00, 7.778E+00, 0.000E+00, 7.825E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.576E+02
    1, 1.600E+01, 2.428E+01, 8.310E+00, 3.354E+01, 1.284E+01, 2.234E+01, 2.819E+01, 0.000E+00, 7.741E+00, 0.000E+00, 4.389E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.576E+02
    2, 1.817E+01, 2.382E+01, 8.268E+00, 3.309E+01, 1.267E+01, 2.211E+01, 2.611E+01, 0.000E+00, 7.706E+00, 0.000E+00, 5.688E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.576E+02
    3, 1.409E+01, 2.320E+01, 8.265E+00, 3.286E+01, 1.235E+01, 2.201E+01, 3.023E+01, 0.000E+00, 7.712E+00, 0.000E+00, 6.917E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.576E+02
