s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.2284857E-001, 9.0139530E-002, 0.0000000E+000, 2.9523700E-002,-3.0482199E-001, 1.9922711E-003, 1.0000000E+000, 1.0000000E+001, 7.6214166E-002, 1.2455957E-009
 1.2753393E-001, 7.9248417E-002, 0.0000000E+000, 2.8662009E-002,-3.0832651E-001, 2.0869735E-003, 1.0000000E+000, 1.0000000E+001, 7.6179544E-002, 1.2959960E-009
 1.3221930E-001, 6.8631413E-002, 0.0000000E+000, 2.7786933E-002,-3.0388949E-001, 2.1325385E-003, 1.0000000E+000, 1.0000000E+001, 7.6181490E-002, 1.3326123E-009
 1.3690466E-001, 5.8535785E-002, 0.0000000E+000, 2.6937668E-002,-2.9148619E-001, 2.1051236E-003, 1.0000000E+000, 1.0000000E+001, 7.6231803E-002, 1.3499601E-009
 1.4159003E-001, 4.8479527E-002, 0.0000000E+000, 2.6039109E-002,-2.9484300E-001, 2.2011735E-003, 1.0000000E+000, 1.0000000E+001, 7.6178403E-002, 1.4000079E-009
 1.4627539E-001, 3.8709023E-002, 0.0000000E+000, 2.5127931E-002,-2.9030446E-001, 2.2481874E-003, 1.0000000E+000, 1.0000000E+001, 7.6157238E-002, 1.4367344E-009
 1.5096076E-001, 2.9660619E-002, 0.0000000E+000, 2.4527107E-002,-2.6626739E-001, 1.9021539E-003, 1.0000000E+000, 1.0000000E+001, 7.6585746E-002, 1.3307624E-009
 1.5564612E-001, 2.1503875E-002, 0.0000000E+000, 2.5117941E-002,-2.1910930E-001, 1.7385341E-003, 1.0000000E+000, 1.0000000E+001, 7.6466664E-002, 1.4031673E-009
 1.6033149E-001, 1.3674809E-002, 0.0000000E+000, 2.5741129E-002,-2.1298143E-001, 1.7966380E-003, 1.0000000E+000, 1.0000000E+001, 7.6264973E-002, 1.5079777E-009
 1.6501685E-001, 6.3522616E-003, 0.0000000E+000, 2.6351754E-002,-2.0202915E-001, 1.8533730E-003, 1.0000000E+000, 1.0000000E+001, 7.6263203E-002, 1.5364987E-009
 1.6970222E-001,-8.7735613E-004, 0.0000000E+000, 2.6991532E-002,-2.0213882E-001, 1.9745711E-003, 1.0000000E+000, 1.0000000E+001, 7.6201735E-002, 1.5854584E-009
