s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.2307134E-001, 8.9411081E-002, 0.0000000E+000, 2.9442263E-002,-3.1279521E-001, 3.5571613E-006, 1.0000000E+000, 7.0000000E+000, 6.3540394E-002, 3.8538514E-009
 1.2774898E-001, 7.8787948E-002, 0.0000000E+000, 2.8617501E-002,-3.0033715E-001, 3.4161785E-006, 1.0000000E+000, 7.0000000E+000, 6.3761799E-002, 4.1036378E-009
 1.3242662E-001, 6.8190241E-002, 0.0000000E+000, 2.7741469E-002,-3.0397613E-001, 3.4723507E-006, 1.0000000E+000, 7.0000000E+000, 6.3664410E-002, 4.1800929E-009
 1.3710427E-001, 5.8115440E-002, 0.0000000E+000, 2.6892086E-002,-2.9141532E-001, 3.8887609E-006, 1.0000000E+000, 7.0000000E+000, 6.3884141E-002, 4.5539558E-009
 1.4178191E-001, 4.8075492E-002, 0.0000000E+000, 2.5991944E-002,-2.9497778E-001, 3.9740182E-006, 1.0000000E+000, 7.0000000E+000, 6.3807802E-002, 4.6171661E-009
 1.4645955E-001, 3.8322265E-002, 0.0000000E+000, 2.5079838E-002,-2.9037489E-001, 4.2470088E-006, 1.0000000E+000, 7.0000000E+000, 6.3867597E-002, 4.8700313E-009
 1.5113720E-001, 2.9337127E-002, 0.0000000E+000, 2.4547076E-002,-2.6350426E-001, 6.8733903E-006, 1.0000000E+000, 7.0000000E+000, 6.2126391E-002, 7.1455345E-009
 1.5581484E-001, 2.1207121E-002, 0.0000000E+000, 2.5164863E-002,-2.1835071E-001, 1.4615357E-005, 1.0000000E+000, 8.0000000E+000, 6.9474616E-002, 3.1619299E-009
 1.6049248E-001, 1.3395398E-002, 0.0000000E+000, 2.5791720E-002,-2.1250712E-001, 1.4973635E-005, 1.0000000E+000, 8.0000000E+000, 6.9476477E-002, 3.2383276E-009
 1.6517012E-001, 6.0891737E-003, 0.0000000E+000, 2.6403041E-002,-2.0150635E-001, 1.5073511E-005, 1.0000000E+000, 8.0000000E+000, 6.9469672E-002, 3.2668764E-009
 1.6984777E-001,-1.1283139E-003, 0.0000000E+000, 2.7044200E-002,-2.0180041E-001, 1.5669989E-005, 1.0000000E+000, 8.0000000E+000, 6.9482462E-002, 3.3861981E-009
 1.7452541E-001,-7.8550263E-003, 0.0000000E+000, 2.7670082E-002,-1.9096195E-001, 1.5865822E-005, 1.0000000E+000, 8.0000000E+000, 6.9477430E-002, 3.4206268E-009
 1.7920305E-001,-1.4509632E-002, 0.0000000E+000, 2.8325971E-002,-1.9144366E-001, 1.6532290E-005, 1.0000000E+000, 8.0000000E+000, 6.9491147E-002, 3.5463694E-009
 1.8388070E-001,-2.0892749E-002, 0.0000000E+000, 2.8989496E-002,-1.8634520E-001, 1.7013073E-005, 1.0000000E+000, 8.0000000E+000, 6.9496672E-002, 3.6319283E-009
 1.8855834E-001,-2.6813644E-002, 0.0000000E+000, 2.9637821E-002,-1.7585133E-001, 1.7305158E-005, 1.0000000E+000, 8.0000000E+000, 6.9494215E-002, 3.6768025E-009
 1.9323598E-001,-3.2692694E-002, 0.0000000E+000, 3.0316170E-002,-1.7669787E-001, 1.8040673E-005, 1.0000000E+000, 8.0000000E+000, 6.9509386E-002, 3.8144280E-009
 1.9791363E-001,-3.8130906E-002, 0.0000000E+000, 3.0979271E-002,-1.6647298E-001, 1.8383665E-005, 1.0000000E+000, 8.0000000E+000, 6.9508589E-002, 3.8680264E-009
 2.0259127E-001,-4.4209877E-002, 0.0000000E+000, 3.1556864E-002,-1.9042861E-001, 1.6846197E-005, 1.0000000E+000, 8.0000000E+000, 6.9533701E-002, 3.5329480E-009
 2.0726891E-001,-5.0622259E-002, 0.0000000E+000, 3.2042015E-002,-2.0530671E-001, 1.5412779E-005, 1.0000000E+000, 8.0000000E+000, 6.9556091E-002, 3.2195131E-009
 2.1194656E-001,-5.6559931E-002, 0.0000000E+000, 3.2516904E-002,-1.9365441E-001, 1.5884556E-005, 1.0000000E+000, 8.0000000E+000, 6.9554543E-002, 3.2984357E-009
 2.1662420E-001,-6.2543775E-002, 0.0000000E+000, 3.3009952E-002,-1.9674078E-001, 1.6464073E-005, 1.0000000E+000, 8.0000000E+000, 6.9579170E-002, 3.4039923E-009
