Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
     21,      1,     60,      1,      1,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.31452165E+03
     21,      1,     61,      1,      1,     17,      2,  0.13877788E-16,      5,     13,     13,      4,  0.34215865E+03
     22,      1,     62,      1,      2,     17,      1,  0.13877788E-16,      5,     13,     13,      4,  0.31321450E+03
     22,      1,     63,      1,     14,     17,     10,  0.27755576E-16,      5,     13,     13,      4,  0.35571801E+03
     23,      1,     64,      1,      1,     17,      1,  0.13877788E-16,      5,     13,     13,      4,  0.32238362E+03
     23,      1,     65,      1,      1,     17,      1,  0.13877788E-16,      5,     13,     13,      4,  0.36716443E+03
     24,      1,     66,      1,      2,     17,      1,  0.13877788E-16,      5,     13,     13,      4,  0.33355015E+03
     24,      1,     67,      1,     12,     17,      3,  0.13877788E-16,      5,     13,     13,      4,  0.38009765E+03
     25,      1,     68,      1,      2,     17,      2,  0.13877788E-16,      5,     13,     13,      4,  0.34574725E+03
     25,      1,     69,      1,      3,     17,      2,  0.13877788E-16,      5,     13,     13,      4,  0.39333344E+03
     26,      1,     70,      1,      1,     17,      1,  0.13877788E-16,      5,     13,     13,      4,  0.35541499E+03
     26,      1,     71,      1,     17,      1,     11,  0.13877788E-16,      5,     13,     13,      4,  0.40531411E+03
     27,      1,     72,      1,      2,     17,      2,  0.27755576E-16,      2,      4,     13,     13,  0.58213742E+03
     27,      1,     73,      1,      8,     17,      1,  0.27755576E-16,      2,      4,     13,     13,  0.61002344E+03
     28,      1,     74,      2,      2,     17,      9,  0.27755576E-16,      2,      4,     13,     13,  0.59223224E+03
     28,      1,     75,      5,     11,     17,      2,  0.27755576E-16,      2,      4,     13,     13,  0.61922153E+03
     29,      1,     76,      2,      1,     17,      9,  0.27755576E-16,      2,      4,     13,     13,  0.63106212E+03
     29,      1,     77,      1,     11,     17,     15,  0.27755576E-16,      2,      4,     13,     13,  0.66032686E+03
     30,      1,     78,      1,      7,      8,     17,  0.27755576E-16,      2,      4,     13,     13,  0.63393918E+03
     30,      1,     79,      1,     10,     17,      1,  0.27755576E-16,      2,      4,     13,     13,  0.66305303E+03
     31,      1,     80,      1,     11,     17,     10,  0.27755576E-16,      2,      4,     13,     13,  0.59781387E+03
     31,      1,     81,      1,      1,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.62400029E+03
     32,      1,     82,      1,      9,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.63538724E+03
     32,      1,     83,      1,      9,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.66389508E+03
     33,      1,     84,      1,     17,      1,     11,  0.13877788E-16,      2,      4,     13,     13,  0.63827387E+03
     33,      1,     85,      1,     17,      1,     11,  0.13877788E-16,      2,      4,     13,     13,  0.66689607E+03
     34,      1,     86,      1,     10,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.60231406E+03
     34,      1,     87,      1,      1,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.62829706E+03
     35,      1,     88,      1,      5,     17,     10,  0.27755576E-16,      2,      4,     13,     13,  0.64005383E+03
     35,      1,     89,      1,      8,     17,      1,  0.27755576E-16,      2,      4,     13,     13,  0.66853745E+03
     36,      1,     90,      1,     17,      6,     13,  0.13877788E-16,      2,      4,     13,     13,  0.64300108E+03
     36,      1,     91,      1,     10,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.67179636E+03
     37,      1,     92,      1,     11,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.38369441E+03
     37,      1,     93,      1,     11,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.39857777E+03
     38,      1,     94,      1,      4,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.97904505E+03
     38,      1,     95,      1,      6,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.10699354E+04
     39,      1,     96,      1,      2,     17,      2,  0.13877788E-16,      1,     13,     13,     13,  0.10316965E+04
     39,      1,     97,      1,     17,     14,     12,  0.13877788E-16,      1,     13,     13,     13,  0.11276399E+04
     40,      1,     98,      1,     17,      2,     12,  0.27755576E-16,      1,     13,     13,     13,  0.10330859E+04
     40,      1,     99,      1,     17,     13,      1,  0.13877788E-16,      1,     13,     13,     13,  0.11286800E+04
     41,      1,    100,      1,     17,     14,     11,  0.13877788E-16,      1,     13,     13,     13,  0.10679411E+04
     41,      1,    101,      1,     17,      2,     12,  0.13877788E-16,      1,     13,     13,     13,  0.11648070E+04
     42,      1,    102,      1,     17,     13,     12,  0.13877788E-16,      1,     13,     13,     13,  0.10840910E+04
     42,      1,    103,      1,     17,      2,     10,  0.13877788E-16,      1,     13,     13,     13,  0.11817775E+04
     43,      1,    104,      1,     17,     14,     11,  0.13877788E-16,      1,     13,     13,     13,  0.10807048E+04
     43,      1,    105,      1,     17,     14,     11,  0.13877788E-16,      1,     13,     13,     13,  0.11785207E+04
     44,      1,    106,      1,     17,      2,     11,  0.13877788E-16,      1,     13,     13,     13,  0.11157873E+04
     44,      1,    107,      1,      6,     17,     13,  0.27755576E-16,      1,     13,     13,     13,  0.12161589E+04
