s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 2.3982923E-001, 5.4659184E-002, 1.3877788E-017, 1.0000000E+000, 1.3366538E+002, 4.4000000E+001, 7.9560847E-009, 4.9728087E-001
 2.4101947E-001, 5.4635134E-002, 1.3877788E-017, 1.0000000E+000, 1.3464716E+002, 4.4000000E+001, 8.3420749E-009, 4.9772482E-001
 2.4220970E-001, 5.4604023E-002, 1.3877788E-017, 1.0000000E+000, 1.3588074E+002, 4.4000000E+001, 9.9137388E-009, 4.9958957E-001
 2.4339994E-001, 5.4572783E-002, 1.3877788E-017, 1.0000000E+000, 1.3721206E+002, 4.5000000E+001, 4.2535883E-009, 4.9781401E-001
 2.4459017E-001, 5.4541415E-002, 1.3877788E-017, 1.0000000E+000, 1.3788450E+002, 4.5000000E+001, 4.2466468E-009, 4.9770763E-001
 2.4578041E-001, 5.4509920E-002, 1.3877788E-017, 1.0000000E+000, 1.3917747E+002, 4.5000000E+001, 4.5088980E-009, 4.9828289E-001
 2.4697064E-001, 5.4478298E-002, 1.3877788E-017, 1.0000000E+000, 1.3985035E+002, 4.5000000E+001, 4.8973087E-009, 4.9911110E-001
 2.4816088E-001, 5.4446549E-002, 1.3877788E-017, 1.0000000E+000, 1.4118558E+002, 4.5000000E+001, 5.4093171E-009, 5.0012786E-001
 2.4935111E-001, 5.4414674E-002, 1.3877788E-017, 1.0000000E+000, 1.4242480E+002, 4.5000000E+001, 5.5494589E-009, 5.0032528E-001
 2.5054135E-001, 5.4382673E-002, 1.3877788E-017, 1.0000000E+000, 1.4315323E+002, 4.5000000E+001, 5.2388887E-009, 4.9959901E-001
 2.5173158E-001, 5.4350546E-002, 1.3877788E-017, 1.0000000E+000, 1.4439252E+002, 4.5000000E+001, 4.5762244E-009, 4.9801419E-001
 2.5292182E-001, 5.4318294E-002, 2.7755576E-017, 1.0000000E+000, 1.4512089E+002, 4.5000000E+001, 7.6940166E-009, 5.0371137E-001
 2.5411205E-001, 5.4285916E-002, 2.7755576E-017, 1.0000000E+000, 1.4635758E+002, 4.5000000E+001, 9.2541844E-009, 5.0569620E-001
 2.5530229E-001, 5.4253414E-002, 2.7755576E-017, 1.0000000E+000, 1.4766106E+002, 4.6000000E+001, 4.1509756E-009, 5.0429606E-001
 2.5649252E-001, 5.4220788E-002, 2.7755576E-017, 1.0000000E+000, 1.4833901E+002, 4.6000000E+001, 3.5484852E-009, 5.0249684E-001
 2.5768276E-001, 5.4188037E-002, 1.3877788E-017, 1.0000000E+000, 1.4972402E+002, 4.6000000E+001, 3.9749116E-009, 5.0365533E-001
 2.5887299E-001, 5.4155163E-002, 0.0000000E+000, 1.0000000E+000, 1.5040204E+002, 4.6000000E+001, 3.7033274E-009, 5.0279889E-001
 2.6006322E-001, 5.4122165E-002, 0.0000000E+000, 1.0000000E+000, 1.5174051E+002, 4.6000000E+001, 4.6764698E-009, 5.0527339E-001
 2.6125346E-001, 5.4089044E-002, 0.0000000E+000, 1.0000000E+000, 1.5298276E+002, 4.6000000E+001, 4.9534849E-009, 5.0582401E-001
 2.6244369E-001, 5.4055801E-002, 0.0000000E+000, 1.0000000E+000, 1.5371577E+002, 4.6000000E+001, 4.8122918E-009, 5.0542468E-001
 2.6363393E-001, 5.4022435E-002, 0.0000000E+000, 1.0000000E+000, 1.5495844E+002, 4.6000000E+001, 6.1217562E-009, 5.0799455E-001
 2.6482416E-001, 5.3988947E-002, 0.0000000E+000, 1.0000000E+000, 1.5569086E+002, 4.6000000E+001, 6.0205703E-009, 5.0772946E-001
 2.6601440E-001, 5.3955338E-002, 0.0000000E+000, 1.0000000E+000, 1.5697504E+002, 4.6000000E+001, 6.6648127E-009, 5.0877191E-001
