s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 1.3051111E-001, 5.6899957E-002, 1.5696277E-004, 1.0000000E+000, 6.4553156E+001, 3.5000000E+001, 5.2393253E-009, 4.2222097E-001
 1.3256552E-001, 5.6868437E-002, 1.6506633E-004, 1.0000000E+000, 6.6119509E+001, 3.5000000E+001, 5.0197903E-009, 4.2135457E-001
 1.3461994E-001, 5.6836464E-002, 1.7755806E-004, 1.0000000E+000, 6.7542254E+001, 3.5000000E+001, 4.7630939E-009, 4.2037466E-001
 1.3667435E-001, 5.6804038E-002, 1.8121522E-004, 1.0000000E+000, 6.9023440E+001, 3.5000000E+001, 4.6964674E-009, 4.1986208E-001
 1.3872877E-001, 5.6771161E-002, 1.8087200E-004, 1.0000000E+000, 7.0452166E+001, 3.5000000E+001, 4.5056952E-009, 4.1902910E-001
 1.4078319E-001, 5.6737834E-002, 1.8146979E-004, 1.0000000E+000, 7.1965395E+001, 3.5000000E+001, 4.7289951E-009, 4.1927921E-001
 1.4283760E-001, 5.6704057E-002, 1.8369182E-004, 1.0000000E+000, 7.3421389E+001, 3.5000000E+001, 4.5482312E-009, 4.1848940E-001
 1.4489202E-001, 5.6669832E-002, 1.8601990E-004, 1.0000000E+000, 7.4902003E+001, 3.5000000E+001, 4.7266797E-009, 4.1863172E-001
 1.4671868E-001, 5.6646497E-002, 1.3448482E-004, 1.0000000E+000, 7.6681719E+001, 3.5000000E+001, 4.6143819E-009, 4.1806522E-001
 1.4854535E-001, 5.6615427E-002, 1.3807513E-004, 1.0000000E+000, 7.8201067E+001, 3.5000000E+001, 4.4403076E-009, 4.1733649E-001
 1.5037202E-001, 5.6584006E-002, 1.4588723E-004, 1.0000000E+000, 7.9622637E+001, 3.5000000E+001, 4.4185266E-009, 4.1701007E-001
 1.5219868E-001, 5.6552233E-002, 1.4809115E-004, 1.0000000E+000, 8.1133051E+001, 3.5000000E+001, 4.5764906E-009, 4.1716463E-001
 1.5402535E-001, 5.6520110E-002, 1.4842522E-004, 1.0000000E+000, 8.2555308E+001, 3.5000000E+001, 4.7841605E-009, 4.1743449E-001
 1.5585202E-001, 5.6487638E-002, 1.5007777E-004, 1.0000000E+000, 8.4027422E+001, 3.5000000E+001, 4.7385309E-009, 4.1706532E-001
 1.5767868E-001, 5.6454816E-002, 1.5284343E-004, 1.0000000E+000, 8.4935130E+001, 3.5000000E+001, 5.0079599E-009, 4.1747315E-001
 1.5950535E-001, 5.6421647E-002, 1.5509285E-004, 1.0000000E+000, 8.6407412E+001, 3.5000000E+001, 4.8160261E-009, 4.1675922E-001
 1.6133201E-001, 5.6388131E-002, 1.5583658E-004, 1.0000000E+000, 8.7866168E+001, 3.5000000E+001, 5.2465302E-009, 4.1753493E-001
 1.6315868E-001, 5.6354269E-002, 1.5525344E-004, 1.0000000E+000, 8.9424159E+001, 3.5000000E+001, 5.2807249E-009, 4.1737136E-001
 1.6479788E-001, 5.6330464E-002, 1.1164970E-004, 1.0000000E+000, 9.1248316E+001, 3.5000000E+001, 5.3654109E-009, 4.1734757E-001
 1.6643709E-001, 5.6299570E-002, 1.1427747E-004, 1.0000000E+000, 9.2767550E+001, 3.5000000E+001, 5.7119575E-009, 4.1788719E-001
 1.6807629E-001, 5.6268399E-002, 1.2097059E-004, 1.0000000E+000, 9.4182253E+001, 3.5000000E+001, 5.8731158E-009, 4.1801283E-001
 1.6971549E-001, 5.6236951E-002, 1.2365789E-004, 1.0000000E+000, 9.5657336E+001, 3.5000000E+001, 6.0598509E-009, 4.1818221E-001
 1.7135470E-001, 5.6205228E-002, 1.2503467E-004, 1.0000000E+000, 9.6517619E+001, 3.5000000E+001, 6.1817861E-009, 4.1821863E-001
 1.7299390E-001, 5.6173230E-002, 1.2724721E-004, 1.0000000E+000, 9.8011431E+001, 3.5000000E+001, 6.3967827E-009, 4.1842808E-001
 1.7463310E-001, 5.6140958E-002, 1.2985055E-004, 1.0000000E+000, 9.9529505E+001, 3.5000000E+001, 6.6596378E-009, 4.1871231E-001
 1.7627231E-001, 5.6108412E-002, 1.3149592E-004, 1.0000000E+000, 1.0102186E+002, 3.5000000E+001, 6.7713845E-009, 4.1871582E-001
 1.7791151E-001, 5.6075593E-002, 1.3154998E-004, 1.0000000E+000, 1.0248976E+002, 3.5000000E+001, 6.6805403E-009, 4.1836101E-001
 1.7955071E-001, 5.6042502E-002, 1.3040488E-004, 1.0000000E+000, 1.0340273E+002, 3.5000000E+001, 6.8307888E-009, 4.1843621E-001
 1.8118992E-001, 5.6009139E-002, 1.2893691E-004, 1.0000000E+000, 1.0482208E+002, 3.5000000E+001, 7.1112214E-009, 4.1872934E-001
 1.8282912E-001, 5.5975506E-002, 1.2790118E-004, 1.0000000E+000, 1.0638314E+002, 3.5000000E+001, 6.8500662E-009, 4.1809673E-001
 1.8446832E-001, 5.5941602E-002, 1.2764662E-004, 1.0000000E+000, 1.0781414E+002, 3.5000000E+001, 7.0641283E-009, 4.1828163E-001
 1.8594105E-001, 5.5917749E-002, 9.2647464E-005, 1.0000000E+000, 1.0964329E+002, 3.5000000E+001, 6.8975322E-009, 4.1783354E-001
 1.8741378E-001, 5.5886891E-002, 9.5979255E-005, 1.0000000E+000, 1.1050367E+002, 3.5000000E+001, 7.0028298E-009, 4.1785581E-001
 1.8888651E-001, 5.5855816E-002, 1.0253710E-004, 1.0000000E+000, 1.1198155E+002, 3.5000000E+001, 6.9259426E-009, 4.1756533E-001
 1.9035925E-001, 5.5824525E-002, 1.0543082E-004, 1.0000000E+000, 1.1340732E+002, 3.5000000E+001, 7.0237148E-009, 4.1757492E-001
 1.9183198E-001, 5.5793019E-002, 1.0675527E-004, 1.0000000E+000, 1.1487989E+002, 3.5000000E+001, 6.5628535E-009, 4.1661041E-001
 1.9330471E-001, 5.5761297E-002, 1.0831636E-004, 1.0000000E+000, 1.1573007E+002, 3.5000000E+001, 6.8435859E-009, 4.1695510E-001
 1.9477744E-001, 5.5729360E-002, 1.0991481E-004, 1.0000000E+000, 1.1720330E+002, 3.5000000E+001, 6.8183569E-009, 4.1675817E-001
 1.9625017E-001, 5.5697210E-002, 1.1064895E-004, 1.0000000E+000, 1.1862013E+002, 3.5000000E+001, 6.7836538E-009, 4.1654572E-001
 1.9772290E-001, 5.5664846E-002, 1.1016925E-004, 1.0000000E+000, 1.2008333E+002, 3.5000000E+001, 6.8859088E-009, 4.1657353E-001
 1.9919563E-001, 5.5632268E-002, 1.0889013E-004, 1.0000000E+000, 1.2093691E+002, 3.5000000E+001, 6.7108492E-009, 4.1611870E-001
 2.0066836E-001, 5.5599478E-002, 1.0753879E-004, 1.0000000E+000, 1.2241736E+002, 3.5000000E+001, 6.5593461E-009, 4.1570078E-001
 2.0214109E-001, 5.5566477E-002, 1.0668055E-004, 1.0000000E+000, 1.2385736E+002, 3.5000000E+001, 6.6230722E-009, 4.1567080E-001
 2.0361382E-001, 5.5533263E-002, 1.0652125E-004, 1.0000000E+000, 1.2543074E+002, 3.5000000E+001, 6.6020821E-009, 4.1548988E-001
