s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 1.6120804E-001, 5.6390465E-002, 1.3877788E-017, 1.0000000E+000, 6.3551828E+001
 1.6303336E-001, 5.6356652E-002, 1.3877788E-017, 1.0000000E+000, 6.4649912E+001
 1.6467177E-001, 5.6332858E-002, 1.3877788E-017, 1.0000000E+000, 6.5855303E+001
 1.6631019E-001, 5.6302000E-002, 1.3877788E-017, 1.0000000E+000, 6.6959505E+001
 1.6794861E-001, 5.6270866E-002, 1.3877788E-017, 1.0000000E+000, 6.7999323E+001
 1.6958703E-001, 5.6239455E-002, 1.3877788E-017, 1.0000000E+000, 6.8535090E+001
 1.7122544E-001, 5.6207770E-002, 1.3877788E-017, 1.0000000E+000, 6.9574007E+001
 1.7286386E-001, 5.6175809E-002, 1.3877788E-017, 1.0000000E+000, 7.0700083E+001
 1.7450228E-001, 5.6143574E-002, 1.3877788E-017, 1.0000000E+000, 7.1896517E+001
 1.7614070E-001, 5.6111066E-002, 1.3877788E-017, 1.0000000E+000, 7.3033861E+001
 1.7777911E-001, 5.6078285E-002, 1.3877788E-017, 1.0000000E+000, 7.4086512E+001
 1.7941753E-001, 5.6045232E-002, 1.3877788E-017, 1.0000000E+000, 7.4619211E+001
 1.8105595E-001, 5.6011908E-002, 1.3877788E-017, 1.0000000E+000, 7.5664408E+001
 1.8269437E-001, 5.5978313E-002, 1.3877788E-017, 1.0000000E+000, 7.6794481E+001
 1.8433278E-001, 5.5944447E-002, 1.3877788E-017, 1.0000000E+000, 7.7865450E+001
 1.8580511E-001, 5.5920603E-002, 1.3877788E-017, 1.0000000E+000, 7.9175509E+001
 1.8727744E-001, 5.5889774E-002, 1.3877788E-017, 1.0000000E+000, 7.9673205E+001
 1.8874976E-001, 5.5858728E-002, 1.3877788E-017, 1.0000000E+000, 8.0774195E+001
 1.9022209E-001, 5.5827466E-002, 1.3877788E-017, 1.0000000E+000, 8.1878031E+001
 1.9169442E-001, 5.5795988E-002, 1.3877788E-017, 1.0000000E+000, 8.3073679E+001
 1.9316674E-001, 5.5764295E-002, 1.3877788E-017, 1.0000000E+000, 8.3550570E+001
 1.9463907E-001, 5.5732387E-002, 1.3877788E-017, 1.0000000E+000, 8.4679239E+001
 1.9611140E-001, 5.5700266E-002, 1.3877788E-017, 1.0000000E+000, 8.5719523E+001
 1.9758372E-001, 5.5667931E-002, 1.3877788E-017, 1.0000000E+000, 8.6829027E+001
 1.9905605E-001, 5.5635383E-002, 1.3877788E-017, 1.0000000E+000, 8.7301111E+001
 2.0052838E-001, 5.5602622E-002, 1.3877788E-017, 1.0000000E+000, 8.8403391E+001
 2.0200071E-001, 5.5569650E-002, 1.3877788E-017, 1.0000000E+000, 8.9480021E+001
 2.0347303E-001, 5.5536466E-002, 1.3877788E-017, 1.0000000E+000, 9.0575480E+001
 2.0494536E-001, 5.5503071E-002, 1.3877788E-017, 1.0000000E+000, 9.1043688E+001
 2.0641769E-001, 5.5469466E-002, 1.3877788E-017, 1.0000000E+000, 9.2173533E+001
 2.0789001E-001, 5.5435651E-002, 1.3877788E-017, 1.0000000E+000, 9.3221438E+001
 2.0936234E-001, 5.5401627E-002, 1.3877788E-017, 1.0000000E+000, 9.3751116E+001
 2.1068699E-001, 5.5377636E-002, 1.3877788E-017, 1.0000000E+000, 9.5170794E+001
 2.1201164E-001, 5.5346716E-002, 1.3877788E-017, 1.0000000E+000, 9.6271441E+001
 2.1333628E-001, 5.5315628E-002, 1.3877788E-017, 1.0000000E+000, 9.7326441E+001
 2.1466093E-001, 5.5284372E-002, 1.3877788E-017, 1.0000000E+000, 9.7851862E+001
 2.1598558E-001, 5.5252948E-002, 1.3877788E-017, 1.0000000E+000, 9.8924250E+001
 2.1731023E-001, 5.5221358E-002, 1.3877788E-017, 1.0000000E+000, 9.9451357E+001
 2.1863487E-001, 5.5189601E-002, 1.3877788E-017, 1.0000000E+000, 1.0055158E+002
 2.1995952E-001, 5.5157678E-002, 1.3877788E-017, 1.0000000E+000, 1.0168138E+002
 2.2128417E-001, 5.5125589E-002, 1.3877788E-017, 1.0000000E+000, 1.0214396E+002
 2.2260882E-001, 5.5093335E-002, 1.3877788E-017, 1.0000000E+000, 1.0324423E+002
 2.2393346E-001, 5.5060916E-002, 1.3877788E-017, 1.0000000E+000, 1.0434931E+002
 2.2525811E-001, 5.5028333E-002, 1.3877788E-017, 1.0000000E+000, 1.0487855E+002
 2.2658276E-001, 5.4995585E-002, 1.3877788E-017, 1.0000000E+000, 1.0593757E+002
 2.2790741E-001, 5.4962674E-002, 1.3877788E-017, 1.0000000E+000, 1.0704357E+002
 2.2923205E-001, 5.4929600E-002, 1.3877788E-017, 1.0000000E+000, 1.0751995E+002
 2.3055670E-001, 5.4896363E-002, 1.3877788E-017, 1.0000000E+000, 1.0863918E+002
 2.3188135E-001, 5.4862964E-002, 1.3877788E-017, 1.0000000E+000, 1.0971945E+002
 2.3320600E-001, 5.4829403E-002, 1.3877788E-017, 1.0000000E+000, 1.1025475E+002
