s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 1.3040212E-001, 5.7131458E-002, 0.0000000E+000, 1.0000000E+000, 4.0189153E+002, 1.2800000E+002, 9.4280725E-009, 7.9471811E-001
 1.3245511E-001, 5.7133149E-002, 1.3877788E-017, 1.0000000E+000, 4.0492589E+002, 1.2900000E+002, 7.8923240E-009, 7.9484266E-001
 1.3450809E-001, 5.7127953E-002, 1.3877788E-017, 1.0000000E+000, 4.0782317E+002, 1.2900000E+002, 8.3492404E-009, 7.9499582E-001
 1.3656108E-001, 5.7115807E-002, 1.3877788E-017, 1.0000000E+000, 4.1081267E+002, 1.2900000E+002, 8.7118449E-009, 7.9506819E-001
 1.3861406E-001, 5.7096563E-002, 1.3877788E-017, 1.0000000E+000, 4.1378511E+002, 1.2900000E+002, 8.9745609E-009, 7.9506662E-001
 1.4066705E-001, 5.7070230E-002, 1.3877788E-017, 1.0000000E+000, 4.1678917E+002, 1.2900000E+002, 9.1360213E-009, 7.9499676E-001
 1.4272004E-001, 5.7036967E-002, 1.3877788E-017, 1.0000000E+000, 4.1971456E+002, 1.2900000E+002, 9.1982863E-009, 7.9486308E-001
 1.4477302E-001, 5.6997085E-002, 1.3877788E-017, 1.0000000E+000, 4.2271950E+002, 1.2900000E+002, 9.1661467E-009, 7.9466901E-001
 1.4659860E-001, 5.6909325E-002, 1.3877788E-017, 1.0000000E+000, 4.2673656E+002, 1.2900000E+002, 8.9324541E-009, 7.9425592E-001
 1.4842417E-001, 5.6904913E-002, 1.3877788E-017, 1.0000000E+000, 4.2974480E+002, 1.2900000E+002, 8.6927010E-009, 7.9391943E-001
 1.5024975E-001, 5.6850882E-002, 1.3877788E-017, 1.0000000E+000, 4.3265108E+002, 1.2900000E+002, 8.3814535E-009, 7.9352587E-001
 1.5207532E-001, 5.6793384E-002, 1.3877788E-017, 1.0000000E+000, 4.3567464E+002, 1.2900000E+002, 8.0076430E-009, 7.9307557E-001
 1.5390090E-001, 5.6733314E-002, 1.3877788E-017, 1.0000000E+000, 4.3857265E+002, 1.2900000E+002, 7.6588934E-009, 7.9263181E-001
 1.5572647E-001, 5.6671588E-002, 1.3877788E-017, 1.0000000E+000, 4.4099096E+002, 1.2900000E+002, 7.5614503E-009, 7.9238325E-001
 1.5755204E-001, 5.6609119E-002, 1.3877788E-017, 1.0000000E+000, 4.4390776E+002, 1.2900000E+002, 7.7117304E-009, 7.9233532E-001
 1.5937762E-001, 5.6546793E-002, 1.3877788E-017, 1.0000000E+000, 4.4685653E+002, 1.2900000E+002, 7.8761625E-009, 7.9229832E-001
 1.6120319E-001, 5.6485446E-002, 1.3877788E-017, 1.0000000E+000, 4.4979879E+002, 1.2900000E+002, 8.0083859E-009, 7.9223749E-001
 1.6302877E-001, 5.6425843E-002, 1.3877788E-017, 1.0000000E+000, 4.5275225E+002, 1.2900000E+002, 8.1408484E-009, 7.9217993E-001
 1.6466713E-001, 5.6349090E-002, 1.3877788E-017, 1.0000000E+000, 4.5675429E+002, 1.2900000E+002, 8.3986433E-009, 7.9214663E-001
 1.6630550E-001, 5.6320578E-002, 1.3877788E-017, 1.0000000E+000, 4.5971920E+002, 1.2900000E+002, 8.5763718E-009, 7.9213473E-001
 1.6794387E-001, 5.6275941E-002, 1.3877788E-017, 1.0000000E+000, 4.6265511E+002, 1.2900000E+002, 8.7532398E-009, 7.9212829E-001
 1.6958223E-001, 5.6235460E-002, 1.3877788E-017, 1.0000000E+000, 4.6506029E+002, 1.2900000E+002, 8.9188873E-009, 7.9212091E-001
 1.7122060E-001, 5.6199321E-002, 1.3877788E-017, 1.0000000E+000, 4.6796074E+002, 1.2900000E+002, 9.0647190E-009, 7.9210768E-001
 1.7285896E-001, 5.6167581E-002, 1.3877788E-017, 1.0000000E+000, 4.7096401E+002, 1.2900000E+002, 9.1851537E-009, 7.9208580E-001
 1.7449733E-001, 5.6140174E-002, 1.3877788E-017, 1.0000000E+000, 4.7397487E+002, 1.2900000E+002, 9.2770484E-009, 7.9205398E-001
 1.7613569E-001, 5.6116907E-002, 1.3877788E-017, 1.0000000E+000, 4.7696624E+002, 1.2900000E+002, 9.3378878E-009, 7.9201113E-001
 1.7777406E-001, 5.6097481E-002, 1.3877788E-017, 1.0000000E+000, 4.7986574E+002, 1.2900000E+002, 9.3620636E-009, 7.9195384E-001
 1.7941242E-001, 5.6081498E-002, 1.3877788E-017, 1.0000000E+000, 4.8226171E+002, 1.2900000E+002, 9.3335435E-009, 7.9187156E-001
 1.8105079E-001, 5.6068477E-002, 1.3877788E-017, 1.0000000E+000, 4.8516063E+002, 1.2900000E+002, 9.2148500E-009, 7.9173875E-001
 1.8268915E-001, 5.6057871E-002, 1.3877788E-017, 1.0000000E+000, 4.8814696E+002, 1.2900000E+002, 8.9529718E-009, 7.9151650E-001
 1.8432752E-001, 5.6049088E-002, 1.3877788E-017, 1.0000000E+000, 4.9104628E+002, 1.2900000E+002, 8.5979229E-009, 7.9123137E-001
 1.8579955E-001, 5.6066490E-002, 1.3877788E-017, 1.0000000E+000, 4.9512484E+002, 1.2900000E+002, 8.6247560E-009, 7.9121061E-001
 1.8727159E-001, 5.6062391E-002, 1.3877788E-017, 1.0000000E+000, 4.9746590E+002, 1.2900000E+002, 9.0694049E-009, 7.9150138E-001
 1.8874362E-001, 5.6058988E-002, 1.3877788E-017, 1.0000000E+000, 5.0041780E+002, 1.2900000E+002, 9.5504544E-009, 7.9180741E-001
 1.9021565E-001, 5.6054723E-002, 1.3877788E-017, 1.0000000E+000, 5.0335109E+002, 1.2900000E+002, 9.9728480E-009, 7.9206753E-001
 1.9168768E-001, 5.6049011E-002, 1.3877788E-017, 1.0000000E+000, 5.0630758E+002, 1.3000000E+002, 6.6322393E-009, 7.9100209E-001
 1.9315972E-001, 5.6041305E-002, 1.3877788E-017, 1.0000000E+000, 5.0864705E+002, 1.3000000E+002, 6.8683141E-009, 7.9121728E-001
 1.9463175E-001, 5.6031102E-002, 1.3877788E-017, 1.0000000E+000, 5.1161055E+002, 1.3000000E+002, 7.0874898E-009, 7.9141301E-001
 1.9610378E-001, 5.6017952E-002, 1.3877788E-017, 1.0000000E+000, 5.1450878E+002, 1.3000000E+002, 7.2857718E-009, 7.9158650E-001
 1.9757581E-001, 5.6001465E-002, 1.3877788E-017, 1.0000000E+000, 5.1746563E+002, 1.3000000E+002, 7.4587457E-009, 7.9173462E-001
 1.9904785E-001, 5.5981312E-002, 1.3877788E-017, 1.0000000E+000, 5.1981102E+002, 1.3000000E+002, 7.6020980E-009, 7.9185435E-001
 2.0051988E-001, 5.5957236E-002, 1.3877788E-017, 1.0000000E+000, 5.2280394E+002, 1.3000000E+002, 7.7119216E-009, 7.9194294E-001
 2.0199191E-001, 5.5929043E-002, 1.3877788E-017, 1.0000000E+000, 5.2570336E+002, 1.3000000E+002, 7.7848702E-009, 7.9199792E-001
 2.0346395E-001, 5.5896614E-002, 1.3877788E-017, 1.0000000E+000, 5.2810271E+002, 1.3000000E+002, 7.8182489E-009, 7.9201711E-001
 2.0493598E-001, 5.5859893E-002, 1.3877788E-017, 1.0000000E+000, 5.3101500E+002, 1.3000000E+002, 7.8101181E-009, 7.9199862E-001
 2.0640801E-001, 5.5818891E-002, 1.3877788E-017, 1.0000000E+000, 5.3397454E+002, 1.3000000E+002, 7.7594572E-009, 7.9194092E-001
 2.0788004E-001, 5.5773676E-002, 1.3877788E-017, 1.0000000E+000, 5.3694298E+002, 1.3000000E+002, 7.6664036E-009, 7.9184301E-001
 2.0935208E-001, 5.5724372E-002, 1.3877788E-017, 1.0000000E+000, 5.3934392E+002, 1.3000000E+002, 7.5325220E-009, 7.9170463E-001
 2.1082411E-001, 5.5671157E-002, 1.3877788E-017, 1.0000000E+000, 5.4224498E+002, 1.3000000E+002, 7.3610321E-009, 7.9152651E-001
 2.1214145E-001, 5.5566307E-002, 1.3877788E-017, 1.0000000E+000, 5.4630724E+002, 1.3000000E+002, 7.0213510E-009, 7.9117062E-001
 2.1345879E-001, 5.5554823E-002, 1.3877788E-017, 1.0000000E+000, 5.4920928E+002, 1.3000000E+002, 6.7752952E-009, 7.9090033E-001
 2.1477613E-001, 5.5494113E-002, 1.3877788E-017, 1.0000000E+000, 5.5160936E+002, 1.3000000E+002, 6.5159688E-009, 7.9060443E-001
 2.1609347E-001, 5.5430995E-002, 1.3877788E-017, 1.0000000E+000, 5.5450280E+002, 1.2900000E+002, 9.5948010E-009, 7.9147297E-001
 2.1741081E-001, 5.5365882E-002, 1.3877788E-017, 1.0000000E+000, 5.5746563E+002, 1.2900000E+002, 9.0306932E-009, 7.9103401E-001
 2.1872815E-001, 5.5299204E-002, 1.3877788E-017, 1.0000000E+000, 5.5981084E+002, 1.2800000E+002, 9.9268341E-009, 7.9010010E-001
 2.2004548E-001, 5.5231408E-002, 1.3877788E-017, 1.0000000E+000, 5.6276067E+002, 1.2600000E+002, 9.7036402E-009, 7.8693607E-001
 2.2136282E-001, 5.5162951E-002, 1.3877788E-017, 1.0000000E+000, 5.6565038E+002, 1.2500000E+002, 8.9241468E-009, 7.8482947E-001
 2.2268016E-001, 5.5094296E-002, 1.3877788E-017, 1.0000000E+000, 5.6804454E+002, 1.2500000E+002, 7.9481907E-009, 7.8402995E-001
 2.2399750E-001, 5.5025904E-002, 1.3877788E-017, 1.0000000E+000, 5.7094402E+002, 1.2500000E+002, 9.0495468E-009, 7.8477357E-001
 2.2531484E-001, 5.4958232E-002, 1.3877788E-017, 1.0000000E+000, 5.7334008E+002, 1.2600000E+002, 9.3845577E-009, 7.8644413E-001
 2.2663218E-001, 5.4891725E-002, 1.3877788E-017, 1.0000000E+000, 5.7623919E+002, 1.2800000E+002, 9.7401337E-009, 7.8956861E-001
 2.2794952E-001, 5.4826809E-002, 1.3877788E-017, 1.0000000E+000, 5.7917272E+002, 1.2900000E+002, 9.3291016E-009, 7.9069441E-001
 2.2926686E-001, 5.4763889E-002, 1.3877788E-017, 1.0000000E+000, 5.8151891E+002, 1.3000000E+002, 6.6035369E-009, 7.8997001E-001
 2.3058420E-001, 5.4703334E-002, 1.3877788E-017, 1.0000000E+000, 5.8452318E+002, 1.3000000E+002, 6.9227300E-009, 7.9021130E-001
 2.3190154E-001, 5.4645478E-002, 1.3877788E-017, 1.0000000E+000, 5.8742546E+002, 1.3000000E+002, 7.2118592E-009, 7.9042054E-001
 2.3321888E-001, 5.4590606E-002, 1.3877788E-017, 1.0000000E+000, 5.8983080E+002, 1.3000000E+002, 7.4736954E-009, 7.9060411E-001
 2.3453622E-001, 5.4538951E-002, 1.3877788E-017, 1.0000000E+000, 5.9274974E+002, 1.3000000E+002, 7.7070344E-009, 7.9076394E-001
 2.3585355E-001, 5.4490688E-002, 1.3877788E-017, 1.0000000E+000, 5.9572039E+002, 1.3000000E+002, 7.9094732E-009, 7.9090039E-001
 2.3717089E-001, 5.4445927E-002, 1.3877788E-017, 1.0000000E+000, 5.9808733E+002, 1.3000000E+002, 8.0785772E-009, 7.9101331E-001
 2.3848823E-001, 5.4404715E-002, 1.3877788E-017, 1.0000000E+000, 6.0104625E+002, 1.3000000E+002, 8.2124169E-009, 7.9110246E-001
 2.3980557E-001, 5.4367028E-002, 1.3877788E-017, 1.0000000E+000, 6.0397515E+002, 1.3000000E+002, 8.3098066E-009, 7.9116766E-001
 2.4112291E-001, 5.4332771E-002, 1.3877788E-017, 1.0000000E+000, 6.0639098E+002, 1.3000000E+002, 8.3703652E-009, 7.9120884E-001
 2.4230809E-001, 5.4349063E-002, 1.3877788E-017, 1.0000000E+000, 6.1039739E+002, 1.3000000E+002, 8.3603774E-009, 7.9120269E-001
