Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 4.827E-02, 6.374E-02, 2.324E-02, 1.042E-01, 8.418E-01, 3.014E-02, 2.916E-01, 0.000E+00, 4.459E-02, 0.000E+00, 5.572E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.503E+00
    1, 4.500E-02, 6.271E-02, 2.382E-02, 1.047E-01, 8.397E-01, 2.880E-02, 2.925E-01, 0.000E+00, 4.434E-02, 0.000E+00, 6.266E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.504E+00
    2, 5.268E-02, 6.142E-02, 2.353E-02, 1.039E-01, 8.398E-01, 2.819E-02, 2.834E-01, 0.000E+00, 4.380E-02, 0.000E+00, 6.747E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.504E+00
    3, 5.167E-02, 6.235E-02, 2.388E-02, 1.014E-01, 8.416E-01, 2.919E-02, 2.852E-01, 0.000E+00, 4.327E-02, 0.000E+00, 6.571E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.504E+00
    4, 4.010E-02, 6.524E-02, 2.397E-02, 1.047E-01, 8.423E-01, 3.121E-02, 2.994E-01, 0.000E+00, 4.463E-02, 0.000E+00, 5.258E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.504E+00
    5, 3.696E-02, 6.380E-02, 2.473E-02, 1.057E-01, 8.402E-01, 2.895E-02, 3.003E-01, 0.000E+00, 4.410E-02, 0.000E+00, 5.951E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.504E+00
    6, 4.866E-02, 6.395E-02, 2.446E-02, 1.044E-01, 8.404E-01, 2.930E-02, 2.893E-01, 0.000E+00, 4.404E-02, 0.000E+00, 5.985E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.504E+00
    7, 5.136E-02, 6.325E-02, 2.403E-02, 1.001E-01, 8.417E-01, 3.022E-02, 2.869E-01, 0.000E+00, 4.500E-02, 0.000E+00, 6.169E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.504E+00
