s,s
Time,"cpu"
 4.7770015E+000, 4.6970361E+002
 4.8002127E+000, 4.7343197E+002
 4.8350295E+000, 4.7619314E+002
 4.8698463E+000, 4.8034595E+002
 4.8930575E+000, 4.8409991E+002
 4.9278743E+000, 4.8820060E+002
 4.9510854E+000, 4.9186361E+002
 4.9859022E+000, 4.9598706E+002
 5.0168148E+000, 5.0195152E+002
 5.0477274E+000, 5.0637814E+002
 5.0786400E+000, 5.1133751E+002
 5.1105830E+000, 5.1670111E+002
 5.1332523E+000, 5.2116584E+002
 5.1683896E+000, 5.2535964E+002
 5.1933258E+000, 5.3018113E+002
 5.2307300E+000, 5.3467164E+002
 5.2556662E+000, 5.3904979E+002
 5.2806023E+000, 5.4295298E+002
 5.3180066E+000, 5.4747869E+002
 5.3429428E+000, 5.5180815E+002
 5.3828406E+000, 5.5638825E+002
 5.4102704E+000, 5.6060002E+002
 5.4377002E+000, 5.6385051E+002
 5.4651300E+000, 5.6707673E+002
 5.4925597E+000, 5.7025837E+002
 5.5303924E+000, 5.7430397E+002
 5.5532788E+000, 5.7834803E+002
 5.5910414E+000, 5.8205112E+002
 5.6162164E+000, 5.8645622E+002
 5.6413915E+000, 5.8985176E+002
 5.6791540E+000, 5.9394693E+002
 5.7043291E+000, 5.9780790E+002
 5.7420916E+000, 6.0237092E+002
 5.7672667E+000, 6.0675828E+002
 5.7924417E+000, 6.1069645E+002
 5.8302043E+000, 6.1495523E+002
 5.8553793E+000, 6.1899833E+002
 5.8805544E+000, 6.2245188E+002
 5.9183169E+000, 6.2652534E+002
 5.9434920E+000, 6.3084483E+002
 5.9771913E+000, 6.3567834E+002
 6.0108907E+000, 6.4040079E+002
 6.0333570E+000, 6.4416227E+002
 6.0670564E+000, 6.4874838E+002
 6.1007557E+000, 6.5423178E+002
 6.1232220E+000, 6.5871144E+002
 6.1569214E+000, 6.6302398E+002
 6.1906207E+000, 6.6800791E+002
 6.2153336E+000, 6.7216371E+002
 6.2400465E+000, 6.7591249E+002
 6.2771158E+000, 6.8037432E+002
 6.3018287E+000, 6.8409132E+002
 6.3388980E+000, 6.8811667E+002
 6.3636109E+000, 6.9220918E+002
 6.4006802E+000, 6.9633432E+002
 6.4253931E+000, 7.0023341E+002
 6.4501059E+000, 7.0361637E+002
 6.4871752E+000, 7.0758705E+002
 6.5118881E+000, 7.1189228E+002
 6.5489574E+000, 7.1611586E+002
 6.5736703E+000, 7.1974598E+002
 6.6107396E+000, 7.2349399E+002
 6.6354525E+000, 7.2739286E+002
 6.6601654E+000, 7.3051081E+002
 6.6972347E+000, 7.3408371E+002
 6.7219476E+000, 7.3792671E+002
 6.7590169E+000, 7.4194907E+002
 6.7837298E+000, 7.4571788E+002
 6.8207991E+000, 7.4982504E+002
 6.8455120E+000, 7.5428880E+002
 6.8726961E+000, 7.5787657E+002
 6.9134724E+000, 7.6236217E+002
 6.9391423E+000, 7.6719158E+002
 6.9632981E+000, 7.7100636E+002
 7.0019474E+000, 7.7539963E+002
 7.0285188E+000, 7.7971055E+002
 7.0550901E+000, 7.8370854E+002
 7.0816615E+000, 7.8725468E+002
 7.1215186E+000, 7.9137837E+002
 7.1445188E+000, 7.9627446E+002
 7.1790191E+000, 8.0021095E+002
 7.2020193E+000, 8.0436564E+002
 7.2365196E+000, 8.0849372E+002
 7.2618198E+000, 8.1282167E+002
 7.2997701E+000, 8.1691751E+002
 7.3250704E+000, 8.2122746E+002
 7.3503706E+000, 8.2426042E+002
 7.3883209E+000, 8.2819223E+002
 7.4148861E+000, 8.3234800E+002
 7.4427164E+000, 8.3571412E+002
 7.4705466E+000, 8.3930830E+002
 7.5122920E+000, 8.4373961E+002
 7.5401222E+000, 8.4777671E+002
 7.5679525E+000, 8.5077952E+002
 7.5957827E+000, 8.5418254E+002
 7.6206314E+000, 8.5837883E+002
 7.6579043E+000, 8.6242132E+002
 7.6852378E+000, 8.6661430E+002
 7.7125713E+000, 8.7003410E+002
 7.7535716E+000, 8.7385579E+002
 7.7780048E+000, 8.7950471E+002
 7.8024380E+000, 8.8330677E+002
 7.8390877E+000, 8.8780382E+002
 7.8635209E+000, 8.9099864E+002
 7.9001706E+000, 8.9545344E+002
 7.9246038E+000, 9.0005265E+002
 7.9612536E+000, 9.0478897E+002
 7.9856867E+000, 9.0928209E+002
 8.0101199E+000, 9.1274498E+002
 8.0467697E+000, 9.1695873E+002
 8.0712028E+000, 9.2069706E+002
 8.1078526E+000, 9.2508981E+002
 8.1322858E+000, 9.2913273E+002
 8.1689355E+000, 9.3243458E+002
 8.1933687E+000, 9.3599775E+002
 8.2300184E+000, 9.3981113E+002
 8.2544516E+000, 9.4338713E+002
 8.2911014E+000, 9.4667939E+002
 8.3155345E+000, 9.5010594E+002
 8.3411894E+000, 9.5376165E+002
 8.3815041E+000, 9.5753537E+002
 8.4083806E+000, 9.6132423E+002
 8.4352571E+000, 9.6445527E+002
 8.4621336E+000, 9.6775965E+002
 8.5024483E+000, 9.7230808E+002
 8.5293248E+000, 9.7656901E+002
 8.5528294E+000, 9.8051579E+002
 8.5880863E+000, 9.8454864E+002
 8.6115909E+000, 9.8876097E+002
 8.6468478E+000, 9.9287759E+002
 8.6703524E+000, 9.9726310E+002
 8.7067845E+000, 1.0018310E+003
 8.7326395E+000, 1.0060804E+003
 8.7714221E+000, 1.0106264E+003
 8.7943777E+000, 1.0158268E+003
 8.8288110E+000, 1.0197853E+003
 8.8517666E+000, 1.0239792E+003
 8.8861999E+000, 1.0277674E+003
 8.9206333E+000, 1.0326359E+003
 8.9435888E+000, 1.0371193E+003
 8.9780222E+000, 1.0415126E+003
 9.0009778E+000, 1.0460205E+003
 9.0354111E+000, 1.0504630E+003
 9.0698444E+000, 1.0555927E+003
 9.0928000E+000, 1.0597795E+003
 9.1272333E+000, 1.0638741E+003
 9.1501889E+000, 1.0678665E+003
 9.1846223E+000, 1.0723784E+003
 9.2190556E+000, 1.0775817E+003
 9.2420112E+000, 1.0818343E+003
 9.2764445E+000, 1.0862113E+003
 9.3108779E+000, 1.0913512E+003
 9.3338334E+000, 1.0959830E+003
 9.3634369E+000, 1.1015632E+003
 9.3902103E+000, 1.1078406E+003
 9.4217849E+000, 1.1126879E+003
 9.4533453E+000, 1.1178547E+003
 9.4891467E+000, 1.1223468E+003
 9.5130143E+000, 1.1264829E+003
 9.5488157E+000, 1.1305940E+003
 9.5726832E+000, 1.1344177E+003
 9.6120648E+000, 1.1386649E+003
 9.6383191E+000, 1.1430195E+003
 9.6645734E+000, 1.1464559E+003
 9.6908278E+000, 1.1491954E+003
 9.7302093E+000, 1.1529980E+003
 9.7564636E+000, 1.1568890E+003
 9.7827180E+000, 1.1598209E+003
 9.8220995E+000, 1.1636870E+003
 9.8483538E+000, 1.1670900E+003
 9.8746082E+000, 1.1699841E+003
 9.9008625E+000, 1.1731054E+003
 9.9402440E+000, 1.1769268E+003
 9.9664984E+000, 1.1806092E+003
 9.9927527E+000, 1.1838461E+003
 1.0032134E+001, 1.1877832E+003
 1.0058389E+001, 1.1920224E+003
 1.0084643E+001, 1.1951213E+003
 1.0121315E+001, 1.1995838E+003
 1.0144860E+001, 1.2038935E+003
 1.0180177E+001, 1.2077158E+003
 1.0203722E+001, 1.2118788E+003
 1.0237367E+001, 1.2152469E+003
 1.0267668E+001, 1.2205173E+003
 1.0297968E+001, 1.2254986E+003
 1.0328269E+001, 1.2304040E+003
 1.0358570E+001, 1.2353443E+003
 1.0380790E+001, 1.2395151E+003
 1.0414121E+001, 1.2437580E+003
 1.0448563E+001, 1.2488819E+003
 1.0473006E+001, 1.2529271E+003
 1.0509670E+001, 1.2571275E+003
 1.0534112E+001, 1.2611292E+003
 1.0570776E+001, 1.2650696E+003
 1.0595219E+001, 1.2691268E+003
 1.0631883E+001, 1.2731037E+003
 1.0656325E+001, 1.2770889E+003
 1.0680768E+001, 1.2800775E+003
 1.0717432E+001, 1.2839853E+003
 1.0741874E+001, 1.2876752E+003
 1.0780982E+001, 1.2913271E+003
 1.0807869E+001, 1.2944221E+003
 1.0834756E+001, 1.2968579E+003
 1.0861643E+001, 1.2994895E+003
 1.0901973E+001, 1.3032357E+003
 1.0928860E+001, 1.3070079E+003
 1.0955747E+001, 1.3104293E+003
 1.0982634E+001, 1.3137879E+003
 1.1022964E+001, 1.3179423E+003
 1.1049851E+001, 1.3220745E+003
 1.1076738E+001, 1.3255093E+003
 1.1103624E+001, 1.3287824E+003
 1.1130511E+001, 1.3320041E+003
 1.1160087E+001, 1.3355032E+003
 1.1204450E+001, 1.3398140E+003
 1.1232399E+001, 1.3444188E+003
 1.1258721E+001, 1.3481298E+003
 1.1285043E+001, 1.3514794E+003
 1.1321407E+001, 1.3550985E+003
 1.1344611E+001, 1.3592178E+003
 1.1379417E+001, 1.3627228E+003
 1.1402620E+001, 1.3669074E+003
 1.1434954E+001, 1.3717989E+003
 1.1466051E+001, 1.3775326E+003
 1.1497148E+001, 1.3827589E+003
 1.1528245E+001, 1.3883900E+003
