s,m3/s,m3/s,m/s,,s
Time,"flow_in","flow_out","error","iter","cpu"
 5.5526801E+000, 9.9987634E-001, 9.7866963E-001, 9.6572877E-004, 1.2000000E+001, 2.1211698E+001
 5.6413388E+000, 9.9989669E-001, 9.7722343E-001, 8.9610543E-004, 1.4000000E+001, 2.1332856E+001
 5.7299975E+000, 9.9991506E-001, 9.7613274E-001, 9.6511831E-004, 1.4000000E+001, 2.1496369E+001
 5.8186562E+000, 9.9993147E-001, 9.7542759E-001, 9.2295457E-004, 1.5000000E+001, 2.1567248E+001
 5.9073149E+000, 9.9994565E-001, 9.7519796E-001, 9.5027593E-004, 1.7000000E+001, 2.1670333E+001
 5.9959736E+000, 9.9995812E-001, 9.7545787E-001, 9.8705680E-004, 1.7000000E+001, 2.1741143E+001
 6.0846323E+000, 9.9996887E-001, 9.7620258E-001, 9.9347065E-004, 1.7000000E+001, 2.1805314E+001
 6.1732911E+000, 9.9997724E-001, 9.7735933E-001, 9.7101002E-004, 1.7000000E+001, 2.1864080E+001
 6.2619498E+000, 9.9998295E-001, 9.7874005E-001, 9.8512919E-004, 1.4000000E+001, 2.1917647E+001
 6.3506085E+000, 9.9998570E-001, 9.8021108E-001, 9.7916102E-004, 1.2000000E+001, 2.1967973E+001
 6.4392672E+000, 9.9998542E-001, 9.8166727E-001, 9.2646187E-004, 1.0000000E+001, 2.2012958E+001
 6.5279259E+000, 9.9998256E-001, 9.8305567E-001, 9.6142802E-004, 8.0000000E+000, 2.2054517E+001
 6.6165846E+000, 9.9997852E-001, 9.8433207E-001, 9.0208315E-004, 8.0000000E+000, 2.2094566E+001
 6.7052433E+000, 9.9997471E-001, 9.8548052E-001, 8.3306686E-004, 8.0000000E+000, 2.2134711E+001
 6.7939020E+000, 9.9997227E-001, 9.8655572E-001, 8.3928351E-004, 8.0000000E+000, 2.2174489E+001
 6.8825607E+000, 9.9997064E-001, 9.8759614E-001, 8.3764195E-004, 8.0000000E+000, 2.2214393E+001
 6.9712195E+000, 9.9996777E-001, 9.8857488E-001, 9.0784956E-004, 8.0000000E+000, 2.2254422E+001
 7.0598782E+000, 9.9996055E-001, 9.8936743E-001, 9.1320683E-004, 9.0000000E+000, 2.2295228E+001
 7.1485369E+000, 9.9994576E-001, 9.8988375E-001, 8.8695971E-004, 9.0000000E+000, 2.2383414E+001
 7.2371956E+000, 9.9992364E-001, 9.9004015E-001, 9.7660744E-004, 8.0000000E+000, 2.2432418E+001
 7.3258543E+000, 9.9989624E-001, 9.8971203E-001, 8.6848877E-004, 8.0000000E+000, 2.2485025E+001
 7.4145130E+000, 9.9986686E-001, 9.8886133E-001, 8.9955402E-004, 8.0000000E+000, 2.2529679E+001
 7.5031717E+000, 9.9983794E-001, 9.8748131E-001, 9.4363980E-004, 8.0000000E+000, 2.2569354E+001
 7.5918304E+000, 9.9981116E-001, 9.8450161E-001, 9.9995761E-004, 5.4000000E+001, 2.2662196E+001
 7.6804892E+000, 9.9980829E-001, 9.8066151E-001, 9.9988207E-004, 7.9000000E+001, 2.2854745E+001
 7.7691479E+000, 9.9980934E-001, 9.7685227E-001, 9.9793938E-004, 1.2000000E+001, 2.2903150E+001
 7.8578066E+000, 9.9981224E-001, 9.7319589E-001, 9.8731193E-004, 1.0000000E+001, 2.2945586E+001
 7.9464653E+000, 9.9981856E-001, 9.6994616E-001, 9.7075279E-004, 1.5000000E+001, 2.2996301E+001
 8.0351240E+000, 9.9983898E-001, 9.6778797E-001, 9.9626562E-004, 2.4000000E+001, 2.3067666E+001
