s,m/s,m/s,Pa,m/s,,,,,m3/s,m3/s
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res","flow_in","flow_out"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-003, 1.8744251E-003, 2.1633364E-003, 5.6846773E-001, 8.9615240E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9600000E-004, 0.0000000E+000
 1.0000000E-002, 4.2174553E-003, 4.8673645E-003, 5.6852025E-001, 2.7089220E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1160000E-003, 0.0000000E+000
 1.6000000E-002, 6.5605868E-003, 7.5717664E-003, 5.6855613E-001, 2.9859650E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7360000E-003, 0.0000000E+000
 2.0000000E-002, 8.9037568E-003, 1.0276287E-002, 5.6859457E-001, 4.3665141E-006, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3560000E-003, 0.0000000E+000
 2.6000000E-002, 1.1246958E-002, 1.2980985E-002, 5.6863730E-001, 3.6069065E-006, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9760000E-003, 0.0000000E+000
 3.0000000E-002, 1.3590169E-002, 1.5685825E-002, 5.6868325E-001, 4.0655738E-006, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5960000E-003, 0.0000000E+000
 3.6000000E-002, 1.5933373E-002, 1.8390819E-002, 5.6873305E-001, 4.3367813E-006, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2160000E-003, 0.0000000E+000
 4.0000000E-002, 1.8276555E-002, 2.1095943E-002, 5.6878621E-001, 5.4902766E-006, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8360000E-003, 0.0000000E+000
 4.6000000E-002, 2.0619697E-002, 2.3801205E-002, 5.6884323E-001, 6.5726931E-006, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4560000E-003, 0.0000000E+000
 5.0000000E-002, 2.2962790E-002, 2.6506584E-002, 5.6890367E-001, 7.8557663E-006, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0760000E-003, 0.0000000E+000
 5.6000000E-002, 2.5124425E-002, 2.9002737E-002, 5.1395717E-001, 8.4054278E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6480000E-003, 0.0000000E+000
 6.0000000E-002, 2.7240654E-002, 3.1446678E-002, 5.1401943E-001, 3.6283018E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2080000E-003, 0.0000000E+000
 6.6000000E-002, 2.9356800E-002, 3.3890708E-002, 5.1408426E-001, 9.2730513E-006, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7680000E-003, 0.0000000E+000
 7.0000000E-002, 3.1472871E-002, 3.6334834E-002, 5.1415207E-001, 1.4251002E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3280000E-003, 0.0000000E+000
 7.6000000E-002, 3.3588849E-002, 3.8779061E-002, 5.1422319E-001, 1.6074011E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8880000E-003, 0.0000000E+000
 8.0000000E-002, 3.5704743E-002, 4.1223377E-002, 5.1429730E-001, 1.8411441E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4480000E-003, 0.0000000E+000
 8.6000000E-002, 3.7820537E-002, 4.3667795E-002, 5.1437484E-001, 2.1358977E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0008000E-002, 0.0000000E+000
 9.0000000E-002, 3.9936245E-002, 4.6112302E-002, 5.1445545E-001, 2.4613675E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0568000E-002, 0.0000000E+000
 9.6000000E-002, 4.2051853E-002, 4.8556914E-002, 5.1453959E-001, 2.8376525E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1128000E-002, 0.0000000E+000
 1.0000000E-001, 4.4167378E-002, 5.1001620E-002, 5.1462688E-001, 3.2616995E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1688000E-002, 0.0000000E+000
 1.0600000E-001, 4.5920044E-002, 5.3027739E-002, 4.0470406E-001, 1.6231857E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2152000E-002, 0.0000000E+000
 1.1000000E-001, 4.7581991E-002, 5.4949338E-002, 4.0478047E-001, 9.0417394E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2592000E-002, 0.0000000E+000
 1.1600000E-001, 4.9243902E-002, 5.6871018E-002, 4.0485788E-001, 3.8230091E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3032000E-002, 0.0000000E+000
 1.2000000E-001, 5.0905797E-002, 5.8792815E-002, 4.0493759E-001, 4.9895868E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3472000E-002, 0.0000000E+000
 1.2600000E-001, 5.2567685E-002, 6.0714748E-002, 4.0501971E-001, 5.5407835E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3912000E-002, 0.0000000E+000
 1.3000000E-001, 5.4229576E-002, 6.2636809E-002, 4.0510408E-001, 6.2053840E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4352000E-002, 0.0000000E+000
 1.3600000E-001, 5.5891486E-002, 6.4559030E-002, 4.0519104E-001, 7.0062530E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4792000E-002, 0.0000000E+000
 1.4000000E-001, 5.7553425E-002, 6.6481403E-002, 4.0528031E-001, 7.8789399E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5232000E-002, 0.0000000E+000
 1.4600000E-001, 5.9215413E-002, 6.8403965E-002, 4.0537226E-001, 8.8653210E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5672000E-002, 0.0000000E+000
 1.5000000E-001, 6.0877459E-002, 7.0326706E-002, 4.0546661E-001, 9.9555206E-005, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6112000E-002, 0.0000000E+000
 1.5600000E-001, 6.2055904E-002, 7.1691404E-002, 2.5888674E-001, 2.0524549E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6424000E-002, 0.0000000E+000
 1.6000000E-001, 6.3113585E-002, 7.2916815E-002, 2.5895514E-001, 1.8146654E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6704000E-002, 0.0000000E+000
 1.6600000E-001, 6.4171444E-002, 7.4142424E-002, 2.5902301E-001, 1.1771553E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6984000E-002, 0.0000000E+000
 1.7000000E-001, 6.5229480E-002, 7.5368273E-002, 2.5909229E-001, 1.3809760E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7264000E-002, 0.0000000E+000
 1.7600000E-001, 6.6287730E-002, 7.6594400E-002, 2.5916288E-001, 1.5050124E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7544000E-002, 0.0000000E+000
 1.8000000E-001, 6.7346178E-002, 7.7820787E-002, 2.5923475E-001, 1.6815562E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7824000E-002, 0.0000000E+000
 1.8600000E-001, 6.8404867E-002, 7.9047491E-002, 2.5930808E-001, 1.9192372E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8104000E-002, 0.0000000E+000
 1.9000000E-001, 6.9463780E-002, 8.0274488E-002, 2.5938270E-001, 2.1916519E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8384000E-002, 0.0000000E+000
 1.9600000E-001, 7.0522961E-002, 8.1501838E-002, 2.5945881E-001, 2.5137540E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8664000E-002, 0.0000000E+000
 2.0000000E-001, 7.1582389E-002, 8.2729515E-002, 2.5953624E-001, 2.8860464E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8944000E-002, 0.0000000E+000
 2.0600000E-001, 7.2097962E-002, 8.3329528E-002, 9.4608850E-002, 2.8265928E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9080000E-002, 0.0000000E+000
 2.1000000E-001, 7.2477832E-002, 8.3772949E-002, 9.4647874E-002, 4.2572139E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9180000E-002, 0.0000000E+000
 2.1600000E-001, 7.2858065E-002, 8.4216702E-002, 9.4685073E-002, 4.0687815E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9280000E-002, 0.0000000E+000
 2.2000000E-001, 7.3238627E-002, 8.4660810E-002, 9.4722765E-002, 4.9153017E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9380000E-002, 0.0000000E+000
