Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 1.373E+00, 6.180E+00, 2.618E+00, 6.752E+00, 7.724E+01, 1.983E+00, 7.289E+00, 0.000E+00, 1.217E-02, 0.000E+00, 1.098E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.144E+02
    1, 1.231E+00, 5.539E+00, 2.237E+00, 5.603E+00, 7.669E+01, 1.664E+00, 6.817E+00, 0.000E+00, 1.056E-02, 0.000E+00, 1.463E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.144E+02
    2, 1.348E+00, 5.560E+00, 2.447E+00, 6.427E+00, 7.722E+01, 1.930E+00, 5.109E+00, 0.000E+00, 1.205E-02, 0.000E+00, 1.438E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.144E+02
    3, 1.579E+00, 6.395E+00, 2.611E+00, 6.777E+00, 7.766E+01, 1.994E+00, 8.721E+00, 0.000E+00, 1.166E-02, 0.000E+00, 8.674E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.144E+02
