,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-21T16:38:16.030+01:00,   0.158E+00,   0.15811
      2,2020-02-21T16:38:16.963+01:00,   0.158E+00,   0.31623
      3,2020-02-21T16:38:18.318+01:00,   0.158E+00,   0.47434
      4,2020-02-21T16:38:20.218+01:00,   0.158E+00,   0.63246
      5,2020-02-21T16:38:38.150+01:00,   0.376E-01,   0.67010
      6,2020-02-21T16:38:39.987+01:00,   0.414E-01,   0.71152
      7,2020-02-21T16:38:41.729+01:00,   0.456E-01,   0.75708
      8,2020-02-21T16:38:42.693+01:00,   0.501E-01,   0.80719
      9,2020-02-21T16:38:43.571+01:00,   0.551E-01,   0.86231
     10,2020-02-21T16:38:44.945+01:00,   0.606E-01,   0.92294
     20,2020-02-21T16:39:02.474+01:00,   0.341E-01,   1.33551
     30,2020-02-21T16:39:23.840+01:00,   0.225E-01,   1.62035
     40,2020-02-21T16:39:45.586+01:00,   0.198E-01,   1.84785
     50,2020-02-21T16:40:07.774+01:00,   0.173E-01,   2.03868
     60,2020-02-21T16:40:31.985+01:00,   0.136E-01,   2.18593
     70,2020-02-21T16:40:53.012+01:00,   0.136E-01,   2.32153
     80,2020-02-21T16:41:17.426+01:00,   0.120E-01,   2.44315
     90,2020-02-21T16:41:38.424+01:00,   0.120E-01,   2.56321
    100,2020-02-21T16:41:58.714+01:00,   0.120E-01,   2.68328
    200,2020-02-21T16:45:52.370+01:00,   0.109E-01,   3.82801
    300,2020-02-21T16:50:13.462+01:00,   0.103E-01,   5.03742
    400,2020-02-21T16:54:43.737+01:00,   0.126E-01,   6.25528
    500,2020-02-21T16:59:07.950+01:00,   0.132E-01,   7.52127
    600,2020-02-21T17:03:40.264+01:00,   0.121E-01,   8.79584
    700,2020-02-21T17:07:59.053+01:00,   0.124E-01,   9.94563
    800,2020-02-21T17:12:23.539+01:00,   0.123E-01,  11.15742
    900,2020-02-21T17:16:45.643+01:00,   0.127E-01,  12.43219
   1000,2020-02-21T17:21:01.380+01:00,   0.114E-01,  13.66245
   1100,2020-02-21T17:25:23.605+01:00,   0.119E-01,  14.91790
   1200,2020-02-21T17:29:37.803+01:00,   0.129E-01,  16.15897
   1300,2020-02-21T17:34:00.189+01:00,   0.128E-01,  17.26762
   1400,2020-02-21T17:38:15.831+01:00,   0.126E-01,  18.52912
   1500,2020-02-21T17:42:32.966+01:00,   0.150E-01,  19.89021
   1600,2020-02-21T17:46:33.805+01:00,   0.144E-01,  21.22409
