s,s
Time,"cpu"
 0.0000000E+000, 1.8266219E+001
 1.5811388E-001, 2.1077352E+001
 3.1622777E-001, 2.3761583E+001
 4.7434165E-001, 2.7294198E+001
 5.0000000E-001, 3.1148528E+001
