s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.2303746E-001, 8.9707939E-002, 0.0000000E+000, 2.9522932E-002,-3.0493671E-001, 4.2888644E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2771382E-001, 7.8844776E-002, 0.0000000E+000, 2.8656619E-002,-3.0831058E-001, 2.7674256E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3239017E-001, 6.8252670E-002, 0.0000000E+000, 2.7775651E-002,-3.0393566E-001, 1.9368270E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3706653E-001, 5.8179230E-002, 0.0000000E+000, 2.6919824E-002,-2.9155286E-001, 1.8394396E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4174288E-001, 4.8146807E-002, 0.0000000E+000, 2.6016027E-002,-2.9481932E-001, 2.1256071E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4641924E-001, 3.8636989E-002, 0.0000000E+000, 2.5136695E-002,-2.8246175E-001, 1.9937678E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5109559E-001, 2.9405499E-002, 0.0000000E+000, 2.4551644E-002,-2.7165036E-001, 1.1585791E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5577195E-001, 2.1270073E-002, 0.0000000E+000, 2.5136043E-002,-2.1873130E-001, 5.1413886E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6044831E-001, 1.3673890E-002, 0.0000000E+000, 2.5760560E-002,-2.0642951E-001, 2.9299454E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6512466E-001, 6.1729926E-003, 0.0000000E+000, 2.6407557E-002,-2.0640745E-001, 5.0976884E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6980102E-001,-1.0400185E-003, 0.0000000E+000, 2.7050797E-002,-2.0125477E-001, 1.1495376E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7447737E-001,-7.7684260E-003, 0.0000000E+000, 2.7673404E-002,-1.9062918E-001, 1.0105881E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7915373E-001,-1.4420377E-002, 0.0000000E+000, 2.8323343E-002,-1.9088754E-001, 4.8745858E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8383008E-001,-2.0603338E-002, 0.0000000E+000, 2.8961579E-002,-1.8041413E-001, 3.5275159E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8850644E-001,-2.6729155E-002, 0.0000000E+000, 2.9630048E-002,-1.8089900E-001, 4.2126666E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9318280E-001,-3.2606766E-002, 0.0000000E+000, 3.0308119E-002,-1.7612393E-001, 4.1058516E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9785915E-001,-3.8046431E-002, 0.0000000E+000, 3.0971802E-002,-1.6602225E-001, 3.4378390E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0253551E-001,-4.4116635E-002, 0.0000000E+000, 3.1550899E-002,-1.8955044E-001, 2.8669028E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0721186E-001,-5.0279042E-002, 0.0000000E+000, 3.2022463E-002,-1.9751837E-001, 4.4425277E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1188822E-001,-5.6477784E-002, 0.0000000E+000, 3.2507256E-002,-2.0049323E-001, 2.9005735E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1656457E-001,-6.2465880E-002, 0.0000000E+000, 3.2998248E-002,-1.9631665E-001, 4.7918845E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2124093E-001,-6.8005224E-002, 0.0000000E+000, 3.3480907E-002,-1.8511873E-001, 6.2091481E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2591729E-001,-7.3610643E-002, 0.0000000E+000, 3.3980564E-002,-1.8833706E-001, 5.9323142E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3059364E-001,-7.8800278E-002, 0.0000000E+000, 3.4470444E-002,-1.7772525E-001, 4.9315152E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3527000E-001,-8.4086103E-002, 0.0000000E+000, 3.4975988E-002,-1.8147484E-001, 4.7588711E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3994635E-001,-8.9232327E-002, 0.0000000E+000, 3.5484598E-002,-1.7844998E-001, 5.0770419E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4462271E-001,-9.3999427E-002, 0.0000000E+000, 3.5981569E-002,-1.6845247E-001, 5.2710519E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4929906E-001,-9.8898277E-002, 0.0000000E+000, 3.6493041E-002,-1.7280864E-001, 5.8167755E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5397542E-001,-9.1083410E-002, 0.0000000E+000, 3.7566238E-002, 2.1615782E-001, 4.6923270E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5804698E-001,-8.2540098E-002, 0.0000000E+000, 3.8584537E-002, 2.8284565E-001, 3.1266541E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6211855E-001,-7.4074390E-002, 0.0000000E+000, 3.9609184E-002, 2.8189220E-001, 9.5609848E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6619011E-001,-6.5375762E-002, 0.0000000E+000, 4.0678888E-002, 2.9250344E-001, 5.5773077E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.7026168E-001,-5.7107581E-002, 0.0000000E+000, 4.1718871E-002, 2.7854400E-001, 7.1763135E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
