,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-20T15:37:09.833+01:00,   0.200E-02,   0.00200
      2,2020-02-20T15:37:10.066+01:00,   0.200E-02,   0.00400
      3,2020-02-20T15:37:10.242+01:00,   0.200E-02,   0.00600
      4,2020-02-20T15:37:10.393+01:00,   0.200E-02,   0.00800
      5,2020-02-20T15:37:10.551+01:00,   0.200E-02,   0.01000
      6,2020-02-20T15:37:10.707+01:00,   0.200E-02,   0.01200
      7,2020-02-20T15:37:10.874+01:00,   0.200E-02,   0.01400
      8,2020-02-20T15:37:11.034+01:00,   0.200E-02,   0.01600
      9,2020-02-20T15:37:11.184+01:00,   0.200E-02,   0.01800
     10,2020-02-20T15:37:11.335+01:00,   0.200E-02,   0.02000
     20,2020-02-20T15:37:12.901+01:00,   0.200E-02,   0.04000
     30,2020-02-20T15:37:14.594+01:00,   0.200E-02,   0.06000
     40,2020-02-20T15:37:16.335+01:00,   0.200E-02,   0.08000
     50,2020-02-20T15:37:18.096+01:00,   0.160E-02,   0.09798
     60,2020-02-20T15:37:19.894+01:00,   0.144E-02,   0.11331
     70,2020-02-20T15:37:22.031+01:00,   0.129E-02,   0.12724
     80,2020-02-20T15:37:24.133+01:00,   0.129E-02,   0.14016
     90,2020-02-20T15:37:26.522+01:00,   0.116E-02,   0.15185
    100,2020-02-20T15:37:28.787+01:00,   0.116E-02,   0.16341
    200,2020-02-20T15:37:55.201+01:00,   0.920E-03,   0.25999
    300,2020-02-20T15:38:20.418+01:00,   0.745E-03,   0.33811
    400,2020-02-20T15:38:45.829+01:00,   0.745E-03,   0.41257
    500,2020-02-20T15:39:13.982+01:00,   0.819E-03,   0.48897
    514,2020-02-20T15:39:17.988+01:00,   0.380E-03,   0.50000
