Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 1.445E+02, 1.823E+00, 8.432E-01, 2.766E+00, 7.499E-01, 8.849E-01, 8.155E+00, 0.000E+00, 2.818E-03, 0.000E+00, 1.588E+01, 0.000E+00, 4.513E-02, 0.000E+00, 1.756E+02
    1, 1.444E+02, 1.987E+00, 9.066E-01, 2.971E+00, 7.798E-01, 9.262E-01, 8.844E+00, 0.000E+00, 2.945E-03, 0.000E+00, 1.471E+01, 0.000E+00, 3.911E-02, 0.000E+00, 1.756E+02
    2, 1.444E+02, 1.900E+00, 8.784E-01, 2.942E+00, 7.632E-01, 9.184E-01, 7.915E+00, 0.000E+00, 2.770E-03, 0.000E+00, 1.583E+01, 0.000E+00, 3.940E-02, 0.000E+00, 1.756E+02
    3, 1.445E+02, 2.012E+00, 9.222E-01, 3.002E+00, 7.723E-01, 9.531E-01, 6.664E+00, 0.000E+00, 3.086E-03, 0.000E+00, 1.679E+01, 0.000E+00, 4.116E-02, 0.000E+00, 1.756E+02
    4, 1.444E+02, 1.814E+00, 8.447E-01, 2.703E+00, 7.567E-01, 8.662E-01, 6.599E+00, 0.000E+00, 3.055E-03, 0.000E+00, 1.755E+01, 0.000E+00, 3.683E-02, 0.000E+00, 1.756E+02
    5, 1.444E+02, 1.909E+00, 8.945E-01, 2.945E+00, 7.604E-01, 9.251E-01, 6.926E+00, 0.000E+00, 2.865E-03, 0.000E+00, 1.678E+01, 0.000E+00, 3.761E-02, 0.000E+00, 1.756E+02
    6, 1.444E+02, 1.924E+00, 8.885E-01, 2.963E+00, 7.605E-01, 9.369E-01, 7.605E+00, 0.000E+00, 2.935E-03, 0.000E+00, 1.605E+01, 0.000E+00, 4.142E-02, 0.000E+00, 1.756E+02
    7, 1.444E+02, 1.929E+00, 8.951E-01, 2.917E+00, 7.311E-01, 9.184E-01, 7.288E+00, 0.000E+00, 3.082E-03, 0.000E+00, 1.645E+01, 0.000E+00, 3.800E-02, 0.000E+00, 1.756E+02
