s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4262050E+000
 3.9528471E-003, 5.7933749E-002, 3.9031278E-018, 1.0000000E+000, 1.5198881E+000
 7.9056942E-003, 5.7927390E-002, 4.3368087E-018, 1.0000000E+000, 1.5587831E+000
 1.1858541E-002, 5.7919221E-002, 4.3368087E-018, 1.0000000E+000, 1.5919470E+000
 1.5811388E-002, 5.7909244E-002, 3.4694470E-018, 1.0000000E+000, 1.6427870E+000
 1.9764235E-002, 5.7897460E-002, 3.4694470E-018, 1.0000000E+000, 1.6752340E+000
 2.3717082E-002, 5.7883871E-002, 5.2041704E-018, 1.0000000E+000, 1.7109180E+000
 2.7669930E-002, 5.7868477E-002, 5.2041704E-018, 1.0000000E+000, 1.7597131E+000
 3.1622777E-002, 5.7851282E-002, 3.4694470E-018, 1.0000000E+000, 1.7959941E+000
 3.5575624E-002, 5.7832286E-002, 3.4694470E-018, 1.0000000E+000, 1.8279400E+000
 3.9528471E-002, 5.7811493E-002, 6.9388939E-018, 1.0000000E+000, 1.8826169E+000
 4.3481318E-002, 5.7788905E-002, 3.4694470E-018, 1.0000000E+000, 1.9148370E+000
 4.7434165E-002, 5.7764525E-002, 6.9388939E-018, 1.0000000E+000, 1.9497441E+000
 5.1387012E-002, 5.7738356E-002, 6.9388939E-018, 1.0000000E+000, 1.9977950E+000
 5.5339859E-002, 5.7710402E-002, 3.4694470E-018, 1.0000000E+000, 2.0325209E+000
 5.9292706E-002, 5.7680664E-002, 6.9388939E-018, 1.0000000E+000, 2.0643419E+000
 6.3245553E-002, 5.7649149E-002, 6.9388939E-018, 1.0000000E+000, 2.0991360E+000
 6.7198400E-002, 5.7615858E-002, 6.9388939E-018, 1.0000000E+000, 2.1455139E+000
 7.1151247E-002, 5.7580797E-002, 6.9388939E-018, 1.0000000E+000, 2.1804761E+000
 7.5104094E-002, 5.7543970E-002, 6.9388939E-018, 1.0000000E+000, 2.2117230E+000
 7.9056942E-002, 5.7505381E-002, 6.9388939E-018, 1.0000000E+000, 2.2637600E+000
 8.2484486E-002, 5.7480034E-002, 6.9388939E-018, 1.0000000E+000, 2.3079540E+000
 8.5912031E-002, 5.7444242E-002, 6.9388939E-018, 1.0000000E+000, 2.3427640E+000
 8.9339576E-002, 5.7407135E-002, 6.9388939E-018, 1.0000000E+000, 2.3897430E+000
 9.2349007E-002, 5.7382047E-002, 6.9388939E-018, 1.0000000E+000, 2.4358491E+000
 9.5358437E-002, 5.7347660E-002, 6.9388939E-018, 1.0000000E+000, 2.4671201E+000
 9.8367868E-002, 5.7312265E-002, 6.9388939E-018, 1.0000000E+000, 2.5155450E+000
