s,m/s,m/s,Pa,m/s,
Time,"u-vel","w-vel","pres","error","iter"
 4.0000000E-002, 1.9402061E-001, 1.3933916E-001, 2.9664950E-001, 9.9375084E-006, 5.9000000E+001
 4.2000000E-002, 1.9646547E-001, 1.4249986E-001, 2.9614704E-001, 9.9116348E-006, 5.9000000E+001
 4.4000000E-002, 1.9889310E-001, 1.4568720E-001, 2.9564240E-001, 9.8434127E-006, 5.9000000E+001
 4.6000000E-002, 2.0130290E-001, 1.4890161E-001, 2.9512734E-001, 9.9279683E-006, 5.8000000E+001
 4.8000000E-002, 2.0369457E-001, 1.5214372E-001, 2.9461197E-001, 9.9374753E-006, 5.8000000E+001
 5.0000000E-002, 2.0606774E-001, 1.5541405E-001, 2.9407842E-001, 9.8896843E-006, 5.8000000E+001
 5.2000000E-002, 2.0765856E-001, 1.5817635E-001, 2.1257150E-001, 9.8869866E-006, 2.5100000E+002
 5.4000000E-002, 2.0921582E-001, 1.6095052E-001, 2.1042055E-001, 9.5235053E-006, 1.7000000E+001
 5.6000000E-002, 2.1073696E-001, 1.6374624E-001, 2.0781806E-001, 9.9174793E-006, 2.7000000E+001
 5.8000000E-002, 2.1224918E-001, 1.6657191E-001, 2.0828526E-001, 9.9055905E-006, 5.6000000E+001
 6.0000000E-002, 2.1374600E-001, 1.6942228E-001, 2.0794386E-001, 9.9178758E-006, 4.2000000E+001
 6.2000000E-002, 2.1522313E-001, 1.7229782E-001, 2.0722173E-001, 9.8678746E-006, 3.9000000E+001
 6.4000000E-002, 2.1668056E-001, 1.7519893E-001, 2.0652969E-001, 9.8134290E-006, 3.8000000E+001
 6.6000000E-002, 2.1811859E-001, 1.7812609E-001, 2.0588773E-001, 9.8555136E-006, 3.7000000E+001
 6.8000000E-002, 2.1953747E-001, 1.8107995E-001, 2.0527218E-001, 9.7904521E-006, 3.7000000E+001
 7.0000000E-002, 2.2093740E-001, 1.8406095E-001, 2.0471257E-001, 9.9458484E-006, 3.5000000E+001
 7.2000000E-002, 2.2231853E-001, 1.8706992E-001, 2.0416796E-001, 9.9812027E-006, 3.5000000E+001
 7.4000000E-002, 2.2368129E-001, 1.9010764E-001, 2.0368562E-001, 9.8066019E-006, 3.5000000E+001
 7.6000000E-002, 2.2502570E-001, 1.9317468E-001, 2.0321283E-001, 9.8481060E-006, 3.4000000E+001
 7.8000000E-002, 2.2635209E-001, 1.9627206E-001, 2.0279551E-001, 9.7834574E-006, 3.4000000E+001
 8.0000000E-002, 2.2766061E-001, 1.9940054E-001, 2.0241315E-001, 9.9248165E-006, 3.3000000E+001
 8.2000000E-002, 2.2895156E-001, 2.0256123E-001, 2.0208347E-001, 9.9745431E-006, 3.3000000E+001
 8.4000000E-002, 2.3022524E-001, 2.0575514E-001, 2.0180032E-001, 9.9606091E-006, 3.3000000E+001
 8.6000000E-002, 2.3148180E-001, 2.0898332E-001, 2.0155355E-001, 9.9477700E-006, 3.3000000E+001
 8.8000000E-002, 2.3272136E-001, 2.1224690E-001, 2.0134209E-001, 9.9836878E-006, 3.3000000E+001
 9.0000000E-002, 2.3394416E-001, 2.1554713E-001, 2.0116703E-001, 9.8570836E-006, 3.4000000E+001
 9.2000000E-002, 2.3515021E-001, 2.1888511E-001, 2.0102224E-001, 9.8597889E-006, 3.4000000E+001
 9.4000000E-002, 2.3633952E-001, 2.2226211E-001, 2.0092117E-001, 9.9505812E-006, 3.4000000E+001
 9.6000000E-002, 2.3751219E-001, 2.2567953E-001, 2.0085798E-001, 9.8974612E-006, 3.5000000E+001
 9.8000000E-002, 2.3866814E-001, 2.2913861E-001, 2.0080634E-001, 9.8066287E-006, 3.6000000E+001
 1.0000000E-001, 2.3980713E-001, 2.3264060E-001, 2.0078193E-001, 9.8885472E-006, 3.6000000E+001
 1.0200000E-001, 2.3995674E-001, 2.3542946E-001, 9.6725390E-002, 9.9734703E-006, 2.6000000E+002
 1.0400000E-001, 2.4007350E-001, 2.3824431E-001, 9.4830485E-002, 9.9330254E-006, 3.8000000E+001
 1.0600000E-001, 2.4016919E-001, 2.4109208E-001, 9.4130887E-002, 9.4074075E-006, 2.1000000E+001
 1.0800000E-001, 2.4024744E-001, 2.4397762E-001, 9.3811283E-002, 9.3536413E-006, 2.1000000E+001
 1.1000000E-001, 2.4031129E-001, 2.4690335E-001, 9.3839456E-002, 9.6447903E-006, 2.5000000E+001
 1.1200000E-001, 2.4036020E-001, 2.4986854E-001, 9.3841984E-002, 9.6816692E-006, 2.5000000E+001
 1.1400000E-001, 2.4039232E-001, 2.5287356E-001, 9.3709785E-002, 9.5496313E-006, 2.4000000E+001
 1.1600000E-001, 2.4040613E-001, 2.5591877E-001, 9.3466161E-002, 9.5241434E-006, 2.3000000E+001
 1.1800000E-001, 2.4040058E-001, 2.5900465E-001, 9.3165899E-002, 9.9468214E-006, 2.2000000E+001
 1.2000000E-001, 2.4037504E-001, 2.6213213E-001, 9.2846306E-002, 9.8287969E-006, 2.3000000E+001
 1.2200000E-001, 2.4032926E-001, 2.6530183E-001, 9.2542333E-002, 9.7040791E-006, 2.4000000E+001
 1.2400000E-001, 2.4026277E-001, 2.6851438E-001, 9.2229063E-002, 9.6723967E-006, 2.5000000E+001
