,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-21T10:37:47.245+01:00,   0.395E-02,   0.00395
      2,2020-02-21T10:37:47.269+01:00,   0.395E-02,   0.00791
      3,2020-02-21T10:37:47.365+01:00,   0.395E-02,   0.01186
      4,2020-02-21T10:37:47.391+01:00,   0.395E-02,   0.01581
      5,2020-02-21T10:37:47.412+01:00,   0.395E-02,   0.01976
      6,2020-02-21T10:37:47.448+01:00,   0.395E-02,   0.02372
      7,2020-02-21T10:37:47.467+01:00,   0.395E-02,   0.02767
      8,2020-02-21T10:37:47.484+01:00,   0.395E-02,   0.03162
      9,2020-02-21T10:37:47.516+01:00,   0.395E-02,   0.03558
     10,2020-02-21T10:37:47.538+01:00,   0.395E-02,   0.03953
     20,2020-02-21T10:37:47.722+01:00,   0.395E-02,   0.07906
     30,2020-02-21T10:37:47.924+01:00,   0.342E-02,   0.11806
     40,2020-02-21T10:37:48.118+01:00,   0.268E-02,   0.14789
     50,2020-02-21T10:37:48.311+01:00,   0.193E-02,   0.16990
     60,2020-02-21T10:37:48.501+01:00,   0.152E-02,   0.18720
     70,2020-02-21T10:37:48.667+01:00,   0.136E-02,   0.20142
     80,2020-02-21T10:37:48.829+01:00,   0.122E-02,   0.21405
     90,2020-02-21T10:37:48.984+01:00,   0.122E-02,   0.22627
    100,2020-02-21T10:37:49.144+01:00,   0.110E-02,   0.23738
    200,2020-02-21T10:37:51.506+01:00,   0.887E-03,   0.34476
    300,2020-02-21T10:37:53.477+01:00,   0.797E-03,   0.43314
    400,2020-02-21T10:37:56.295+01:00,   0.716E-03,   0.50711
    500,2020-02-21T10:37:59.437+01:00,   0.644E-03,   0.57481
    600,2020-02-21T10:38:01.642+01:00,   0.579E-03,   0.63754
    700,2020-02-21T10:38:04.619+01:00,   0.579E-03,   0.69542
    800,2020-02-21T10:38:07.092+01:00,   0.520E-03,   0.74898
    900,2020-02-21T10:38:09.851+01:00,   0.520E-03,   0.80103
   1000,2020-02-21T10:38:12.533+01:00,   0.468E-03,   0.85110
   1100,2020-02-21T10:38:15.012+01:00,   0.468E-03,   0.89794
   1200,2020-02-21T10:38:17.676+01:00,   0.468E-03,   0.94479
   1300,2020-02-21T10:38:20.348+01:00,   0.422E-03,   0.99121
   1400,2020-02-21T10:38:22.880+01:00,   0.422E-03,   1.03336
   1500,2020-02-21T10:38:25.501+01:00,   0.422E-03,   1.07551
   1600,2020-02-21T10:38:27.596+01:00,   0.422E-03,   1.11767
   1700,2020-02-21T10:38:29.877+01:00,   0.422E-03,   1.15982
   1800,2020-02-21T10:38:32.364+01:00,   0.379E-03,   1.19894
   1900,2020-02-21T10:38:34.668+01:00,   0.379E-03,   1.23687
   2000,2020-02-21T10:38:36.826+01:00,   0.341E-03,   1.27194
   2100,2020-02-21T10:38:39.018+01:00,   0.341E-03,   1.30605
   2200,2020-02-21T10:38:41.309+01:00,   0.306E-03,   1.33874
   2300,2020-02-21T10:38:43.510+01:00,   0.306E-03,   1.36938
   2400,2020-02-21T10:38:45.842+01:00,   0.276E-03,   1.39969
   2500,2020-02-21T10:38:48.035+01:00,   0.248E-03,   1.42552
   2600,2020-02-21T10:38:50.153+01:00,   0.273E-03,   1.45239
   2700,2020-02-21T10:38:52.250+01:00,   0.245E-03,   1.47757
   2800,2020-02-21T10:38:54.192+01:00,   0.270E-03,   1.50386
   2900,2020-02-21T10:38:56.153+01:00,   0.243E-03,   1.52893
   3000,2020-02-21T10:38:58.154+01:00,   0.267E-03,   1.55477
   3100,2020-02-21T10:39:00.120+01:00,   0.267E-03,   1.58148
   3200,2020-02-21T10:39:02.388+01:00,   0.267E-03,   1.60819
   3300,2020-02-21T10:39:04.164+01:00,   0.240E-03,   1.63306
   3400,2020-02-21T10:39:06.227+01:00,   0.264E-03,   1.65810
   3500,2020-02-21T10:39:08.546+01:00,   0.238E-03,   1.68292
   3600,2020-02-21T10:39:10.522+01:00,   0.261E-03,   1.70770
   3700,2020-02-21T10:39:12.212+01:00,   0.235E-03,   1.73257
   3800,2020-02-21T10:39:13.961+01:00,   0.259E-03,   1.75673
   3900,2020-02-21T10:39:15.659+01:00,   0.259E-03,   1.78258
   4000,2020-02-21T10:39:17.148+01:00,   0.259E-03,   1.80843
   4100,2020-02-21T10:39:18.760+01:00,   0.232E-03,   1.83317
   4200,2020-02-21T10:39:20.201+01:00,   0.256E-03,   1.85688
   4300,2020-02-21T10:39:21.770+01:00,   0.256E-03,   1.88245
   4400,2020-02-21T10:39:23.491+01:00,   0.256E-03,   1.90803
   4500,2020-02-21T10:39:25.038+01:00,   0.230E-03,   1.93270
   4600,2020-02-21T10:39:26.452+01:00,   0.253E-03,   1.95599
   4700,2020-02-21T10:39:27.996+01:00,   0.253E-03,   1.98129
   4774,2020-02-21T10:39:29.194+01:00,   0.249E-03,   2.00000
