s,s
Time,"cpu"
 4.7770017E+000, 7.8509721E+002
 4.8002129E+000, 7.9184080E+002
 4.8350297E+000, 7.9623723E+002
 4.8698465E+000, 8.0298027E+002
 4.8930577E+000, 8.0974629E+002
 4.9278745E+000, 8.1725560E+002
 4.9510857E+000, 8.2391698E+002
 4.9859025E+000, 8.3145016E+002
 5.0168151E+000, 8.4248098E+002
 5.0477276E+000, 8.5050729E+002
 5.0786402E+000, 8.5960918E+002
 5.1105832E+000, 8.6935102E+002
 5.1332524E+000, 8.7759709E+002
 5.1683897E+000, 8.8525527E+002
 5.1933258E+000, 8.9366142E+002
 5.2307300E+000, 9.0187311E+002
 5.2556661E+000, 9.0987050E+002
 5.2806023E+000, 9.1656404E+002
 5.3180065E+000, 9.2478182E+002
 5.3429426E+000, 9.3274907E+002
 5.3828404E+000, 9.4096703E+002
 5.4102702E+000, 9.4869936E+002
 5.4376999E+000, 9.5438814E+002
 5.4651296E+000, 9.6003990E+002
 5.4925594E+000, 9.6585438E+002
 5.5304920E+000, 9.7318972E+002
 5.5535983E+000, 9.8050374E+002
 5.5917237E+000, 9.8701516E+002
 5.6171406E+000, 9.9438740E+002
 5.6425576E+000, 1.0000858E+003
 5.6806830E+000, 1.0066956E+003
 5.7060999E+000, 1.0131292E+003
 5.7315168E+000, 1.0197112E+003
 5.7696422E+000, 1.0272773E+003
 5.7950591E+000, 1.0353944E+003
 5.8204761E+000, 1.0412595E+003
 5.8586015E+000, 1.0495609E+003
 5.8840184E+000, 1.0567283E+003
 5.9182889E+000, 1.0656729E+003
 5.9411359E+000, 1.0740539E+003
 5.9754064E+000, 1.0807384E+003
 6.0096769E+000, 1.0896402E+003
 6.0325239E+000, 1.0967923E+003
 6.0667943E+000, 1.1053190E+003
 6.1010648E+000, 1.1150232E+003
 6.1239118E+000, 1.1234137E+003
 6.1581823E+000, 1.1313957E+003
 6.1810293E+000, 1.1391738E+003
 6.2175845E+000, 1.1468910E+003
 6.2427162E+000, 1.1545620E+003
 6.2804138E+000, 1.1620556E+003
 6.3055455E+000, 1.1696144E+003
 6.3306771E+000, 1.1752686E+003
 6.3683747E+000, 1.1830660E+003
 6.3935064E+000, 1.1907584E+003
 6.4312039E+000, 1.1980292E+003
 6.4563356E+000, 1.2049076E+003
 6.4814673E+000, 1.2100281E+003
 6.5191649E+000, 1.2169789E+003
 6.5442966E+000, 1.2233871E+003
 6.5819941E+000, 1.2308836E+003
 6.6071258E+000, 1.2390005E+003
 6.6322575E+000, 1.2454306E+003
 6.6699550E+000, 1.2531839E+003
 6.6950867E+000, 1.2603867E+003
 6.7202184E+000, 1.2656513E+003
 6.7579160E+000, 1.2729281E+003
 6.7830477E+000, 1.2799274E+003
 6.8207452E+000, 1.2871307E+003
 6.8458769E+000, 1.2952115E+003
 6.8735218E+000, 1.3012885E+003
 6.9011666E+000, 1.3079477E+003
 6.9410803E+000, 1.3167520E+003
 6.9656179E+000, 1.3257201E+003
 6.9913824E+000, 1.3323535E+003
 7.0318694E+000, 1.3400927E+003
 7.0588608E+000, 1.3480311E+003
 7.0858521E+000, 1.3545347E+003
 7.1100223E+000, 1.3618224E+003
 7.1462777E+000, 1.3690866E+003
 7.1704479E+000, 1.3751752E+003
 7.2067032E+000, 1.3818886E+003
 7.2308735E+000, 1.3879280E+003
