,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-21T10:37:52.840+01:00,   0.395E-02,   0.00395
      2,2020-02-21T10:37:53.401+01:00,   0.395E-02,   0.00791
      3,2020-02-21T10:37:53.458+01:00,   0.395E-02,   0.01186
      4,2020-02-21T10:37:53.501+01:00,   0.395E-02,   0.01581
      5,2020-02-21T10:37:53.526+01:00,   0.395E-02,   0.01976
      6,2020-02-21T10:37:53.565+01:00,   0.395E-02,   0.02372
      7,2020-02-21T10:37:53.587+01:00,   0.395E-02,   0.02767
      8,2020-02-21T10:37:53.609+01:00,   0.395E-02,   0.03162
      9,2020-02-21T10:37:53.641+01:00,   0.395E-02,   0.03558
     10,2020-02-21T10:37:53.662+01:00,   0.395E-02,   0.03953
     20,2020-02-21T10:37:53.935+01:00,   0.395E-02,   0.07906
     30,2020-02-21T10:37:54.274+01:00,   0.263E-02,   0.10927
     40,2020-02-21T10:37:54.535+01:00,   0.205E-02,   0.13249
     50,2020-02-21T10:37:54.774+01:00,   0.183E-02,   0.15211
     60,2020-02-21T10:37:55.028+01:00,   0.164E-02,   0.16962
     70,2020-02-21T10:37:55.250+01:00,   0.147E-02,   0.18584
     80,2020-02-21T10:37:55.471+01:00,   0.147E-02,   0.20056
     90,2020-02-21T10:37:55.746+01:00,   0.132E-02,   0.21470
    100,2020-02-21T10:37:56.198+01:00,   0.132E-02,   0.22794
    200,2020-02-21T10:37:59.516+01:00,   0.960E-03,   0.33868
    300,2020-02-21T10:38:04.314+01:00,   0.776E-03,   0.42732
    400,2020-02-21T10:38:08.298+01:00,   0.698E-03,   0.50276
    500,2020-02-21T10:38:11.693+01:00,   0.628E-03,   0.57082
    600,2020-02-21T10:38:14.819+01:00,   0.628E-03,   0.63361
    700,2020-02-21T10:38:18.324+01:00,   0.565E-03,   0.69068
    800,2020-02-21T10:38:21.383+01:00,   0.508E-03,   0.74623
    900,2020-02-21T10:38:24.881+01:00,   0.508E-03,   0.79707
   1000,2020-02-21T10:38:27.841+01:00,   0.508E-03,   0.84792
   1100,2020-02-21T10:38:31.425+01:00,   0.457E-03,   0.89499
   1200,2020-02-21T10:38:34.918+01:00,   0.457E-03,   0.94073
   1300,2020-02-21T10:38:38.292+01:00,   0.457E-03,   0.98648
   1400,2020-02-21T10:38:41.204+01:00,   0.412E-03,   1.03117
   1500,2020-02-21T10:38:44.244+01:00,   0.412E-03,   1.07233
   1600,2020-02-21T10:38:47.186+01:00,   0.412E-03,   1.11350
   1700,2020-02-21T10:38:50.144+01:00,   0.412E-03,   1.15466
   1800,2020-02-21T10:38:53.965+01:00,   0.412E-03,   1.19583
   1900,2020-02-21T10:38:58.240+01:00,   0.412E-03,   1.23699
   2000,2020-02-21T10:39:03.577+01:00,   0.370E-03,   1.27408
   2100,2020-02-21T10:39:08.670+01:00,   0.370E-03,   1.31112
   2200,2020-02-21T10:39:14.032+01:00,   0.333E-03,   1.34519
   2300,2020-02-21T10:39:19.290+01:00,   0.298E-03,   1.37699
   2400,2020-02-21T10:39:24.398+01:00,   0.298E-03,   1.40684
   2500,2020-02-21T10:39:28.610+01:00,   0.268E-03,   1.43385
   2600,2020-02-21T10:39:33.196+01:00,   0.268E-03,   1.46065
   2700,2020-02-21T10:39:38.374+01:00,   0.268E-03,   1.48745
   2800,2020-02-21T10:39:43.584+01:00,   0.268E-03,   1.51425
   2900,2020-02-21T10:39:48.671+01:00,   0.241E-03,   1.53892
   3000,2020-02-21T10:39:53.397+01:00,   0.265E-03,   1.56509
   3100,2020-02-21T10:39:58.825+01:00,   0.265E-03,   1.59160
   3200,2020-02-21T10:40:04.290+01:00,   0.265E-03,   1.61811
   3300,2020-02-21T10:40:08.400+01:00,   0.238E-03,   1.64267
   3400,2020-02-21T10:40:13.310+01:00,   0.262E-03,   1.66774
   3500,2020-02-21T10:40:18.129+01:00,   0.262E-03,   1.69395
   3600,2020-02-21T10:40:22.463+01:00,   0.262E-03,   1.72016
   3700,2020-02-21T10:40:26.778+01:00,   0.236E-03,   1.74456
   3800,2020-02-21T10:40:31.484+01:00,   0.259E-03,   1.76921
   3900,2020-02-21T10:40:35.374+01:00,   0.233E-03,   1.79419
   4000,2020-02-21T10:40:39.617+01:00,   0.257E-03,   1.81862
   4100,2020-02-21T10:40:44.259+01:00,   0.257E-03,   1.84429
   4200,2020-02-21T10:40:49.384+01:00,   0.257E-03,   1.86997
   4300,2020-02-21T10:40:54.252+01:00,   0.231E-03,   1.89476
   4400,2020-02-21T10:40:58.582+01:00,   0.254E-03,   1.91883
   4500,2020-02-21T10:41:03.409+01:00,   0.254E-03,   1.94424
   4600,2020-02-21T10:41:08.449+01:00,   0.254E-03,   1.96965
   4700,2020-02-21T10:41:13.461+01:00,   0.254E-03,   1.99506
   4720,2020-02-21T10:41:14.284+01:00,   0.114E-03,   2.00000
