,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-20T15:38:58.231+01:00,   0.200E-02,   0.00200
      2,2020-02-20T15:38:58.267+01:00,   0.200E-02,   0.00400
      3,2020-02-20T15:38:58.320+01:00,   0.200E-02,   0.00600
      4,2020-02-20T15:38:58.357+01:00,   0.200E-02,   0.00800
      5,2020-02-20T15:38:58.396+01:00,   0.200E-02,   0.01000
      6,2020-02-20T15:38:58.443+01:00,   0.200E-02,   0.01200
      7,2020-02-20T15:38:58.504+01:00,   0.200E-02,   0.01400
      8,2020-02-20T15:38:58.556+01:00,   0.200E-02,   0.01600
      9,2020-02-20T15:38:58.606+01:00,   0.200E-02,   0.01800
     10,2020-02-20T15:38:58.662+01:00,   0.200E-02,   0.02000
     20,2020-02-20T15:38:59.421+01:00,   0.200E-02,   0.04000
     30,2020-02-20T15:39:00.474+01:00,   0.200E-02,   0.06000
     40,2020-02-20T15:39:01.510+01:00,   0.200E-02,   0.08000
     50,2020-02-20T15:39:02.725+01:00,   0.160E-02,   0.09798
     60,2020-02-20T15:39:04.018+01:00,   0.144E-02,   0.11331
     70,2020-02-20T15:39:05.171+01:00,   0.129E-02,   0.12724
     80,2020-02-20T15:39:07.162+01:00,   0.129E-02,   0.14016
     90,2020-02-20T15:39:08.976+01:00,   0.116E-02,   0.15185
    100,2020-02-20T15:39:10.659+01:00,   0.116E-02,   0.16341
    200,2020-02-20T15:39:27.025+01:00,   0.933E-03,   0.26072
    300,2020-02-20T15:39:43.527+01:00,   0.750E-03,   0.33907
    400,2020-02-20T15:40:01.621+01:00,   0.750E-03,   0.41406
    500,2020-02-20T15:40:20.426+01:00,   0.825E-03,   0.49122
    511,2020-02-20T15:40:22.507+01:00,   0.533E-03,   0.50000
