,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-20T15:37:06.188+01:00,   0.200E-02,   0.00200
      2,2020-02-20T15:37:06.225+01:00,   0.200E-02,   0.00400
      3,2020-02-20T15:37:06.274+01:00,   0.200E-02,   0.00600
      4,2020-02-20T15:37:06.305+01:00,   0.200E-02,   0.00800
      5,2020-02-20T15:37:06.334+01:00,   0.200E-02,   0.01000
      6,2020-02-20T15:37:06.365+01:00,   0.200E-02,   0.01200
      7,2020-02-20T15:37:06.411+01:00,   0.200E-02,   0.01400
      8,2020-02-20T15:37:06.442+01:00,   0.200E-02,   0.01600
      9,2020-02-20T15:37:06.470+01:00,   0.200E-02,   0.01800
     10,2020-02-20T15:37:06.501+01:00,   0.200E-02,   0.02000
     20,2020-02-20T15:37:06.863+01:00,   0.200E-02,   0.04000
     30,2020-02-20T15:37:07.214+01:00,   0.200E-02,   0.06000
     40,2020-02-20T15:37:07.576+01:00,   0.200E-02,   0.08000
     50,2020-02-20T15:37:07.959+01:00,   0.160E-02,   0.09798
     60,2020-02-20T15:37:08.324+01:00,   0.144E-02,   0.11331
     70,2020-02-20T15:37:08.914+01:00,   0.129E-02,   0.12724
     80,2020-02-20T15:37:09.441+01:00,   0.129E-02,   0.14016
     90,2020-02-20T15:37:10.206+01:00,   0.116E-02,   0.15185
    100,2020-02-20T15:37:10.557+01:00,   0.116E-02,   0.16341
    200,2020-02-20T15:37:17.499+01:00,   0.920E-03,   0.25999
    300,2020-02-20T15:37:27.481+01:00,   0.745E-03,   0.33811
    400,2020-02-20T15:37:39.350+01:00,   0.745E-03,   0.41257
    500,2020-02-20T15:37:51.188+01:00,   0.819E-03,   0.48897
    514,2020-02-20T15:37:52.734+01:00,   0.380E-03,   0.50000
