s,m/s,m/s,Pa,m/s,,,,,m3/s,m3/s
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res","flow_in","flow_out"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-003, 1.8744027E-003, 2.1632197E-003, 5.6846388E-001, 1.0119220E-018, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9600000E-004, 0.0000000E+000
 1.0000000E-002, 4.2174596E-003, 4.8673964E-003, 5.6852021E-001, 1.7347235E-018, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1160000E-003, 0.0000000E+000
 1.6000000E-002, 6.5605864E-003, 7.5717630E-003, 5.6855577E-001, 3.4694470E-018, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7360000E-003, 0.0000000E+000
 2.0000000E-002, 8.9037569E-003, 1.0276288E-002, 5.6859463E-001, 5.2041704E-018, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3560000E-003, 0.0000000E+000
 2.6000000E-002, 1.1246958E-002, 1.2980985E-002, 5.6863727E-001, 6.9388939E-018, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9760000E-003, 0.0000000E+000
 3.0000000E-002, 1.3590169E-002, 1.5685824E-002, 5.6868325E-001, 6.9388939E-018, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5960000E-003, 0.0000000E+000
 3.6000000E-002, 1.5933373E-002, 1.8390819E-002, 5.6873304E-001, 6.9388939E-018, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2160000E-003, 0.0000000E+000
 4.0000000E-002, 1.8276555E-002, 2.1095942E-002, 5.6878619E-001, 6.9388939E-018, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8360000E-003, 0.0000000E+000
 4.6000000E-002, 2.0619697E-002, 2.3801205E-002, 5.6884321E-001, 1.1564823E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4560000E-003, 0.0000000E+000
 5.0000000E-002, 2.2962790E-002, 2.6506583E-002, 5.6890365E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0760000E-003, 0.0000000E+000
 5.6000000E-002, 2.5124427E-002, 2.9002747E-002, 5.1395751E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6480000E-003, 0.0000000E+000
 6.0000000E-002, 2.7240654E-002, 3.1446674E-002, 5.1401941E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2080000E-003, 0.0000000E+000
 6.6000000E-002, 2.9356801E-002, 3.3890708E-002, 5.1408427E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7680000E-003, 0.0000000E+000
 7.0000000E-002, 3.1472871E-002, 3.6334833E-002, 5.1415203E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3280000E-003, 0.0000000E+000
 7.6000000E-002, 3.3588849E-002, 3.8779060E-002, 5.1422316E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8880000E-003, 0.0000000E+000
 8.0000000E-002, 3.5704743E-002, 4.1223376E-002, 5.1429725E-001, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4480000E-003, 0.0000000E+000
 8.6000000E-002, 3.7820537E-002, 4.3667793E-002, 5.1437480E-001, 1.8503717E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0008000E-002, 0.0000000E+000
 9.0000000E-002, 3.9936245E-002, 4.6112300E-002, 5.1445539E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0568000E-002, 0.0000000E+000
 9.6000000E-002, 4.2051853E-002, 4.8556912E-002, 5.1453953E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1128000E-002, 0.0000000E+000
 1.0000000E-001, 4.4167378E-002, 5.1001618E-002, 5.1462681E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1688000E-002, 0.0000000E+000
 1.0600000E-001, 4.5920049E-002, 5.3027760E-002, 4.0470473E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2152000E-002, 0.0000000E+000
 1.1000000E-001, 4.7581990E-002, 5.4949329E-002, 4.0478041E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2592000E-002, 0.0000000E+000
 1.1600000E-001, 4.9243902E-002, 5.6871016E-002, 4.0485787E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3032000E-002, 0.0000000E+000
 1.2000000E-001, 5.0905797E-002, 5.8792812E-002, 4.0493749E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3472000E-002, 0.0000000E+000
 1.2600000E-001, 5.2567685E-002, 6.0714745E-002, 4.0501961E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3912000E-002, 0.0000000E+000
 1.3000000E-001, 5.4229576E-002, 6.2636806E-002, 4.0510397E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4352000E-002, 0.0000000E+000
 1.3600000E-001, 5.5891486E-002, 6.4559027E-002, 4.0519092E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4792000E-002, 0.0000000E+000
 1.4000000E-001, 5.7553425E-002, 6.6481399E-002, 4.0528017E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5232000E-002, 0.0000000E+000
 1.4600000E-001, 5.9215413E-002, 6.8403960E-002, 4.0537211E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5672000E-002, 0.0000000E+000
 1.5000000E-001, 6.0877459E-002, 7.0326702E-002, 4.0546644E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6112000E-002, 0.0000000E+000
 1.5600000E-001, 6.2055910E-002, 7.1691430E-002, 2.5888755E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6424000E-002, 0.0000000E+000
 1.6000000E-001, 6.3113584E-002, 7.2916802E-002, 2.5895497E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6704000E-002, 0.0000000E+000
 1.6600000E-001, 6.4171445E-002, 7.4142419E-002, 2.5902290E-001, 3.7007434E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6984000E-002, 0.0000000E+000
 1.7000000E-001, 6.5229480E-002, 7.5368266E-002, 2.5909206E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7264000E-002, 0.0000000E+000
 1.7600000E-001, 6.6287730E-002, 7.6594393E-002, 2.5916264E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7544000E-002, 0.0000000E+000
 1.8000000E-001, 6.7346178E-002, 7.7820780E-002, 2.5923449E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7824000E-002, 0.0000000E+000
 1.8600000E-001, 6.8404868E-002, 7.9047483E-002, 2.5930779E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8104000E-002, 0.0000000E+000
 1.9000000E-001, 6.9463780E-002, 8.0274479E-002, 2.5938238E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8384000E-002, 0.0000000E+000
 1.9600000E-001, 7.0522961E-002, 8.1501829E-002, 2.5945846E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8664000E-002, 0.0000000E+000
 2.0000000E-001, 7.1582389E-002, 8.2729505E-002, 2.5953585E-001, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8944000E-002, 0.0000000E+000
 2.0600000E-001, 7.2097969E-002, 8.3329552E-002, 9.4609558E-002, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9080000E-002, 0.0000000E+000
 2.1000000E-001, 7.2477831E-002, 8.3772929E-002, 9.4647460E-002, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9180000E-002, 0.0000000E+000
 2.1600000E-001, 7.2858066E-002, 8.4216691E-002, 9.4684718E-002, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9280000E-002, 0.0000000E+000
 2.2000000E-001, 7.3238627E-002, 8.4660797E-002, 9.4722247E-002, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9380000E-002, 0.0000000E+000
