s,m/s,m/s,Pa,m/s,,,,,m3/s,m3/s
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res","flow_in","flow_out"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-003, 4.3077460E-006,-2.8057739E-006, 2.4638937E-004, 3.0569113E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9600000E-004, 3.5300689E-008
 1.0000000E-002, 7.6010682E-005,-1.5903643E-005, 4.1419445E-003, 6.1936355E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1160000E-003, 2.0607731E-009
 1.6000000E-002, 4.8489496E-004, 6.6384003E-005, 2.1128577E-002, 8.1027352E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7360000E-003, 0.0000000E+000
 2.0000000E-002, 1.4642760E-003, 5.0245526E-004, 5.5601534E-002, 8.7896158E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3560000E-003, 0.0000000E+000
 2.6000000E-002, 3.1552767E-003, 1.6396375E-003, 1.0969881E-001, 8.4903962E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9760000E-003, 0.0000000E+000
 3.0000000E-002, 5.2712963E-003, 3.4153796E-003, 1.7615445E-001, 8.5437736E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5960000E-003, 0.0000000E+000
 3.6000000E-002, 7.5997982E-003, 5.7164420E-003, 2.5105477E-001, 8.5456500E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2160000E-003, 0.0000000E+000
 4.0000000E-002, 9.9785991E-003, 8.3031553E-003, 3.2980524E-001, 8.4746314E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8360000E-003, 0.0000000E+000
 4.6000000E-002, 1.2378130E-002, 1.1139538E-002, 4.0935724E-001, 8.3668094E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4560000E-003, 0.0000000E+000
 5.0000000E-002, 1.4826413E-002, 1.4206801E-002, 4.8618092E-001, 8.2402863E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0760000E-003, 0.0000000E+000
 5.6000000E-002, 1.7418913E-002, 1.7598141E-002, 5.5616710E-001, 7.8030477E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6480000E-003, 0.0000000E+000
 6.0000000E-002, 2.0231130E-002, 2.1337210E-002, 6.1735204E-001, 7.1331674E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2080000E-003, 0.0000000E+000
 6.6000000E-002, 2.3374223E-002, 2.5522298E-002, 6.6578897E-001, 6.2577433E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7680000E-003, 0.0000000E+000
 7.0000000E-002, 2.6831748E-002, 3.0083443E-002, 7.0149800E-001, 5.1304478E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3280000E-003, 0.0000000E+000
 7.6000000E-002, 3.0619642E-002, 3.4980298E-002, 7.2218372E-001, 3.5989126E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8880000E-003, 0.0000000E+000
 8.0000000E-002, 3.4624378E-002, 4.0047828E-002, 7.3029243E-001, 1.6632493E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4480000E-003, 0.0000000E+000
 8.6000000E-002, 3.8739033E-002, 4.5150747E-002, 7.2532223E-001, 1.2046930E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0008000E-002, 0.0000000E+000
 9.0000000E-002, 4.2807400E-002, 5.0151107E-002, 7.1010193E-001, 3.0223152E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0568000E-002, 0.0000000E+000
 9.6000000E-002, 4.6674746E-002, 5.4911428E-002, 6.8419427E-001, 5.1728440E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1128000E-002, 0.0000000E+000
 1.0000000E-001, 5.0270893E-002, 5.9384560E-002, 6.4939373E-001, 6.8955894E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1688000E-002, 0.0000000E+000
 1.0600000E-001, 5.3498031E-002, 6.3470648E-002, 6.0456086E-001, 8.5956713E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2152000E-002, 0.0000000E+000
 1.1000000E-001, 5.6377406E-002, 6.7182141E-002, 5.5062520E-001, 9.8273864E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2592000E-002, 0.0000000E+000
 1.1600000E-001, 5.8832047E-002, 7.0417192E-002, 4.8579349E-001, 1.0367068E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3032000E-002, 0.0000000E+000
 1.2000000E-001, 6.0900512E-002, 7.3175406E-002, 4.1225524E-001, 1.0419296E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3472000E-002, 0.0000000E+000
 1.2600000E-001, 6.2566590E-002, 7.5345475E-002, 3.3204243E-001, 1.0114858E-002, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3912000E-002, 0.0000000E+000
 1.3000000E-001, 6.3955042E-002, 7.7022559E-002, 2.5005591E-001, 9.7608111E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4352000E-002, 0.0000000E+000
 1.3600000E-001, 6.5100009E-002, 7.8211666E-002, 1.7057946E-001, 9.2464851E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4792000E-002, 0.0000000E+000
 1.4000000E-001, 6.6058762E-002, 7.9035298E-002, 9.6563467E-002, 8.6340780E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5232000E-002, 0.0000000E+000
 1.4600000E-001, 6.6799516E-002, 7.9482073E-002, 3.1742273E-002, 7.8717159E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5672000E-002, 0.0000000E+000
 1.5000000E-001, 6.7334703E-002, 7.9620610E-002,-2.2952172E-002, 6.8391626E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6112000E-002, 0.0000000E+000
 1.5600000E-001, 6.7624279E-002, 7.9436288E-002,-6.4418438E-002, 6.2537884E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6424000E-002, 0.0000000E+000
 1.6000000E-001, 6.7692527E-002, 7.9012687E-002,-9.4263818E-002, 5.4592107E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6704000E-002, 0.0000000E+000
 1.6600000E-001, 6.7483299E-002, 7.8361265E-002,-1.1270894E-001, 4.1025140E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6984000E-002, 0.0000000E+000
 1.7000000E-001, 6.7023641E-002, 7.7527151E-002,-1.2278146E-001, 2.2961894E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7264000E-002, 0.0000000E+000
 1.7600000E-001, 6.6360925E-002, 7.6527930E-002,-1.2366164E-001, 8.3131543E-004, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7544000E-002, 0.0000000E+000
 1.8000000E-001, 6.5668057E-002, 7.5489909E-002,-1.1596167E-001, 1.9572304E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7824000E-002, 0.0000000E+000
 1.8600000E-001, 6.5116442E-002, 7.4579650E-002,-9.8111277E-002, 3.7799987E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8104000E-002, 0.0000000E+000
 1.9000000E-001, 6.4797883E-002, 7.3911077E-002,-7.1647949E-002, 5.2248035E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8384000E-002, 0.0000000E+000
 1.9600000E-001, 6.4808816E-002, 7.3604550E-002,-3.5961290E-002, 6.2463124E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8664000E-002, 0.0000000E+000
 2.0000000E-001, 6.5120843E-002, 7.3645607E-002, 7.1581954E-003, 6.9295198E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8944000E-002, 0.0000000E+000
 2.0600000E-001, 6.5749933E-002, 7.4085387E-002, 5.7628962E-002, 6.4440213E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9080000E-002, 0.0000000E+000
 2.1000000E-001, 6.6595840E-002, 7.4861518E-002, 1.1210903E-001, 6.0343685E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9180000E-002, 0.0000000E+000
 2.1600000E-001, 6.7560229E-002, 7.5964718E-002, 1.6632498E-001, 5.6273944E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9280000E-002, 0.0000000E+000
 2.2000000E-001, 6.8511012E-002, 7.7254000E-002, 2.1623916E-001, 5.0392804E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9380000E-002, 0.0000000E+000
