Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 1.148E+00, 6.195E+00, 2.475E+00, 6.085E+00, 1.700E+00, 1.953E+00, 6.731E+00, 0.000E+00, 1.225E-02, 0.000E+00, 6.983E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.328E+01
    1, 1.014E+00, 5.494E+00, 2.203E+00, 5.381E+00, 1.623E+00, 1.614E+00, 5.571E+00, 0.000E+00, 1.112E-02, 0.000E+00, 1.037E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.328E+01
    2, 1.095E+00, 5.760E+00, 2.349E+00, 5.982E+00, 1.793E+00, 1.916E+00, 5.659E+00, 0.000E+00, 1.080E-02, 0.000E+00, 8.716E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.328E+01
    3, 1.205E+00, 5.914E+00, 2.372E+00, 5.943E+00, 1.782E+00, 1.892E+00, 5.774E+00, 0.000E+00, 1.111E-02, 0.000E+00, 8.389E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.328E+01
