s,Pa,m/s,
Time,"pres","error","iter"
 2.1282766E-001, 1.0552562E-001, 2.0536160E-003, 4.0000000E+000
 2.1404999E-001, 1.0340187E-001, 2.1375090E-003, 4.0000000E+000
 2.1527231E-001, 1.0104792E-001, 2.2212424E-003, 4.0000000E+000
 2.1649464E-001, 9.8474006E-002, 2.3052523E-003, 4.0000000E+000
 2.1771696E-001, 9.5692917E-002, 2.3897732E-003, 4.0000000E+000
 2.1893929E-001, 9.2719850E-002, 2.4748753E-003, 4.0000000E+000
 2.2016161E-001, 8.9572171E-002, 2.5604940E-003, 4.0000000E+000
 2.2138394E-001, 8.6269116E-002, 2.6464544E-003, 4.0000000E+000
 2.2260626E-001, 8.2831430E-002, 2.7324887E-003, 4.0000000E+000
 2.2382859E-001, 7.9280986E-002, 2.8182503E-003, 4.0000000E+000
 2.2505091E-001, 7.5640383E-002, 2.9033219E-003, 4.0000000E+000
 2.2627324E-001, 7.1932546E-002, 2.9872223E-003, 4.0000000E+000
 2.2749556E-001, 6.8180336E-002, 3.0694108E-003, 4.0000000E+000
 2.2859435E-001, 6.0389903E-002, 3.1384903E-003, 4.0000000E+000
 2.2969314E-001, 5.6251749E-002, 3.2068031E-003, 4.0000000E+000
 2.3079193E-001, 5.2147061E-002, 3.2715730E-003, 4.0000000E+000
 2.3189071E-001, 4.8096519E-002, 3.3320102E-003, 4.0000000E+000
 2.3298950E-001, 4.4118837E-002, 3.3875557E-003, 4.0000000E+000
 2.3408829E-001, 4.0230574E-002, 3.4376216E-003, 4.0000000E+000
 2.3518708E-001, 3.6446008E-002, 3.4815343E-003, 4.0000000E+000
 2.3628586E-001, 3.2777072E-002, 3.5185342E-003, 4.0000000E+000
 2.3738465E-001, 2.9233337E-002, 3.5478098E-003, 4.0000000E+000
 2.3848344E-001, 2.5822039E-002, 3.5685402E-003, 4.0000000E+000
 2.3958222E-001, 2.2548141E-002, 3.5799270E-003, 4.0000000E+000
 2.4068101E-001, 1.9414432E-002, 3.5812162E-003, 4.0000000E+000
 2.4177980E-001, 1.6421665E-002, 3.5717128E-003, 4.0000000E+000
 2.4287859E-001, 1.3568727E-002, 3.5507920E-003, 4.0000000E+000
 2.4397737E-001, 1.0852843E-002, 3.5179089E-003, 4.0000000E+000
 2.4507616E-001, 8.2698176E-003, 3.4726075E-003, 4.0000000E+000
 2.4617495E-001, 5.8142991E-003, 3.4145294E-003, 4.0000000E+000
 2.4727373E-001, 3.4800599E-003, 3.3434243E-003, 4.0000000E+000
 2.4837252E-001, 1.2602872E-003, 3.2591595E-003, 4.0000000E+000
 2.4947131E-001,-8.5212750E-004, 3.1617308E-003, 4.0000000E+000
 2.5057010E-001,-2.8643108E-003, 3.0512722E-003, 4.0000000E+000
 2.5166888E-001,-4.7831457E-003, 2.9280650E-003, 4.0000000E+000
 2.5276767E-001,-6.6150342E-003, 2.7925446E-003, 4.0000000E+000
 2.5386646E-001,-8.3656861E-003, 2.6453023E-003, 4.0000000E+000
 2.5496524E-001,-1.0039938E-002, 2.4870840E-003, 4.0000000E+000
 2.5606403E-001,-1.1641605E-002, 2.3187824E-003, 4.0000000E+000
 2.5716282E-001,-1.3173361E-002, 2.1414246E-003, 4.0000000E+000
 2.5826161E-001,-1.4636659E-002, 1.9561554E-003, 4.0000000E+000
 2.5936039E-001,-1.6031674E-002, 1.7642173E-003, 4.0000000E+000
 2.6045918E-001,-1.7357295E-002, 1.5669267E-003, 4.0000000E+000
 2.6155797E-001,-1.8611133E-002, 1.3656503E-003, 4.0000000E+000
 2.6265676E-001,-1.9789570E-002, 1.1617788E-003, 4.0000000E+000
 2.6375554E-001,-2.0887835E-002, 9.5670162E-004, 4.0000000E+000
 2.6485433E-001,-2.1900106E-002, 7.5178069E-004, 4.0000000E+000
 2.6595312E-001,-2.2819635E-002, 6.0292656E-004, 4.0000000E+000
 2.6705190E-001,-2.3638892E-002, 5.0105581E-004, 4.0000000E+000
 2.6815069E-001,-2.3696207E-002, 4.2352119E-004, 1.0000000E+000
 2.6924948E-001,-2.3738667E-002, 3.5130128E-004, 1.0000000E+000
 2.7034827E-001,-2.3766116E-002, 2.9161021E-004, 1.0000000E+000
 2.7144705E-001,-2.3778387E-002, 4.8418468E-004, 1.0000000E+000
 2.7254584E-001,-2.4062746E-002, 6.5101608E-004, 4.0000000E+000
 2.7364463E-001,-2.4222118E-002, 8.2420326E-004, 4.0000000E+000
 2.7474341E-001,-2.4246176E-002, 9.9202931E-004, 4.0000000E+000
 2.7584220E-001,-2.4124984E-002, 1.1519598E-003, 4.0000000E+000
 2.7694099E-001,-2.3849019E-002, 1.3003803E-003, 4.0000000E+000
 2.7803978E-001,-2.3409160E-002, 1.4413708E-003, 4.0000000E+000
 2.7913856E-001,-2.2796741E-002, 1.5701939E-003, 4.0000000E+000
 2.8023735E-001,-2.2003692E-002, 1.6883366E-003, 4.0000000E+000
 2.8133614E-001,-2.1022803E-002, 1.7981737E-003, 4.0000000E+000
 2.8243493E-001,-1.9848052E-002, 1.8998584E-003, 4.0000000E+000
 2.8463250E-001,-1.7687981E-002, 2.0373736E-003, 4.0000000E+000
 2.8683007E-001,-1.4138339E-002, 2.1988927E-003, 4.0000000E+000
 2.8902765E-001,-9.8018574E-003, 2.3391000E-003, 4.0000000E+000
 2.9012644E-001,-6.0841561E-003, 2.4333096E-003, 4.0000000E+000
 2.9232401E-001,-1.9439842E-003, 2.5191269E-003, 4.0000000E+000
 2.9452158E-001, 4.0643769E-003, 2.6248727E-003, 4.0000000E+000
 2.9671916E-001, 1.0551796E-002, 2.7220273E-003, 4.0000000E+000
 2.9891673E-001, 1.7383019E-002, 2.8114069E-003, 4.0000000E+000
 3.0001552E-001, 2.2642796E-002, 2.8734167E-003, 4.0000000E+000
 3.0221309E-001, 2.7959040E-002, 2.9297063E-003, 4.0000000E+000
 3.0441067E-001, 3.5018801E-002, 2.9955435E-003, 4.0000000E+000
 3.0660824E-001, 4.1928222E-002, 3.0476189E-003, 4.0000000E+000
 3.0880582E-001, 4.8569806E-002, 3.0819830E-003, 4.0000000E+000
 3.1100339E-001, 5.4847356E-002, 3.0939401E-003, 4.0000000E+000
 3.1210218E-001, 5.9287258E-002, 3.0861509E-003, 4.0000000E+000
 3.1429975E-001, 6.3430485E-002, 3.0589129E-003, 4.0000000E+000
 3.1649733E-001, 6.8537257E-002, 2.9935042E-003, 4.0000000E+000
 3.1869490E-001, 7.3133946E-002, 2.8902702E-003, 4.0000000E+000
 3.2089248E-001, 7.7226862E-002, 2.7471669E-003, 4.0000000E+000
 3.2309005E-001, 8.0836457E-002, 2.5637480E-003, 4.0000000E+000
 3.2418884E-001, 8.3257329E-002, 2.4015571E-003, 4.0000000E+000
 3.2627651E-001, 8.6201277E-002, 2.2237208E-003, 4.0000000E+000
 3.2825427E-001, 8.9994169E-002, 1.9641883E-003, 4.0000000E+000
 3.3023204E-001, 9.2561647E-002, 1.6787262E-003, 4.0000000E+000
 3.3220980E-001, 9.4777104E-002, 1.3687555E-003, 4.0000000E+000
 3.3418757E-001, 9.6644518E-002, 1.0423933E-003, 4.0000000E+000
 3.3616533E-001, 9.8154785E-002, 7.0762645E-004, 4.0000000E+000
 3.3814310E-001, 9.8994413E-002, 4.1749017E-004, 1.0000000E+000
 3.4012086E-001, 9.8728462E-002, 2.7702352E-004, 1.0000000E+000
 3.4209862E-001, 9.8560303E-002, 4.3501374E-004, 1.5000000E+000
 3.4476087E-001, 9.8422734E-002, 6.6295752E-004, 4.0000000E+000
 3.4653569E-001, 9.7716363E-002, 9.5723268E-004, 4.0000000E+000
 3.4831052E-001, 9.6531848E-002, 1.1626213E-003, 4.0000000E+000
 3.5008535E-001, 9.4738951E-002, 1.3442862E-003, 4.0000000E+000
 3.5274759E-001, 9.1493593E-002, 1.5474979E-003, 4.0000000E+000
 3.5452242E-001, 8.7174455E-002, 1.7240056E-003, 4.0000000E+000
 3.5629725E-001, 8.2868939E-002, 1.8391419E-003, 4.0000000E+000
 3.5807207E-001, 7.7896631E-002, 1.9315446E-003, 4.0000000E+000
 3.6073432E-001, 7.0859509E-002, 2.0198679E-003, 4.0000000E+000
 3.6250914E-001, 6.3183970E-002, 2.0891874E-003, 4.0000000E+000
 3.6428397E-001, 5.6695128E-002, 2.1348160E-003, 4.0000000E+000
 3.6605880E-001, 5.0052613E-002, 2.1747712E-003, 4.0000000E+000
 3.6872104E-001, 4.1730796E-002, 2.2179468E-003, 4.0000000E+000
 3.7049587E-001, 3.3577245E-002, 2.2533838E-003, 4.0000000E+000
 3.7227070E-001, 2.7318301E-002, 2.2720525E-003, 4.0000000E+000
 3.7404552E-001, 2.1377902E-002, 2.2769980E-003, 4.0000000E+000
 3.7670777E-001, 1.4522703E-002, 2.2532780E-003, 4.0000000E+000
 3.7848259E-001, 8.3159194E-003, 2.1908349E-003, 4.0000000E+000
 3.8025742E-001, 3.9074217E-003, 2.1054391E-003, 4.0000000E+000
 3.8203225E-001,-1.3081239E-005, 1.9885784E-003, 4.0000000E+000
 3.8469449E-001,-4.2192790E-003, 1.7986862E-003, 4.0000000E+000
 3.8646932E-001,-7.7705392E-003, 1.5692116E-003, 4.0000000E+000
 3.8824415E-001,-1.0128270E-002, 1.3583948E-003, 4.0000000E+000
 3.9001897E-001,-1.2106351E-002, 1.1286343E-003, 4.0000000E+000
 3.9268122E-001,-1.4063690E-002, 8.2103331E-004, 4.0000000E+000
 3.9445604E-001,-1.5452986E-002, 5.2644150E-004, 2.5000000E+000
 3.9623087E-001,-1.5813656E-002, 4.0233183E-004, 1.5000000E+000
 3.9800570E-001,-1.5930388E-002, 4.3122983E-004, 1.0000000E+000
 4.0066794E-001,-1.5875075E-002, 4.1256387E-004, 1.0000000E+000
 4.0244277E-001,-1.5447725E-002, 6.5226951E-004, 4.0000000E+000
 4.0421760E-001,-1.4600633E-002, 8.7943968E-004, 4.0000000E+000
 4.0687984E-001,-1.2902057E-002, 1.1359807E-003, 4.0000000E+000
 4.0865467E-001,-1.0526659E-002, 1.3498065E-003, 4.0000000E+000
 4.1042949E-001,-8.0426621E-003, 1.4888918E-003, 4.0000000E+000
 4.1220432E-001,-5.0171610E-003, 1.6048992E-003, 4.0000000E+000
 4.1486656E-001,-4.2299304E-004, 1.7263964E-003, 4.0000000E+000
 4.1664139E-001, 4.9400299E-003, 1.8272065E-003, 4.0000000E+000
 4.1841622E-001, 9.7612079E-003, 1.8911248E-003, 4.0000000E+000
 4.2019105E-001, 1.4940201E-002, 1.9402494E-003, 4.0000000E+000
 4.2285329E-001, 2.1782175E-002, 1.9818830E-003, 4.0000000E+000
 4.2462812E-001, 2.8837181E-002, 2.0076343E-003, 4.0000000E+000
 4.2640294E-001, 3.4525637E-002, 2.0183362E-003, 4.0000000E+000
 4.2817777E-001, 4.0143417E-002, 2.0213068E-003, 4.0000000E+000
 4.3074940E-001, 4.7754904E-002, 2.0116744E-003, 4.0000000E+000
 4.3234301E-001, 5.6769928E-002, 1.9836541E-003, 4.0000000E+000
 4.3473342E-001, 6.3295881E-002, 1.9295609E-003, 4.0000000E+000
 4.3632703E-001, 6.9177821E-002, 1.8462240E-003, 4.0000000E+000
 4.3871744E-001, 7.4259854E-002, 1.7272146E-003, 4.0000000E+000
 4.4031105E-001, 7.8621137E-002, 1.5763198E-003, 4.0000000E+000
 4.4270146E-001, 8.2169135E-002, 1.3903434E-003, 4.0000000E+000
 4.4429506E-001, 8.5033553E-002, 1.1761089E-003, 4.0000000E+000
 4.4668547E-001, 8.7161356E-002, 9.3381807E-004, 4.0000000E+000
 4.4827908E-001, 8.8684719E-002, 6.7208636E-004, 4.0000000E+000
 4.5066949E-001, 8.9294497E-002, 4.2764030E-004, 2.3333333E+000
 4.5226310E-001, 8.9138541E-002, 3.8084063E-004, 1.5000000E+000
 4.5465351E-001, 8.8728426E-002, 4.5895422E-004, 2.0000000E+000
 4.5624712E-001, 8.7826722E-002, 4.7813057E-004, 3.5000000E+000
 4.5839624E-001, 8.5799505E-002, 6.4877598E-004, 4.0000000E+000
 4.6054536E-001, 8.3128083E-002, 8.8399442E-004, 4.0000000E+000
