,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-20T15:37:05.793+01:00,   0.200E-02,   0.00200
      2,2020-02-20T15:37:05.814+01:00,   0.200E-02,   0.00400
      3,2020-02-20T15:37:05.852+01:00,   0.200E-02,   0.00600
      4,2020-02-20T15:37:05.872+01:00,   0.200E-02,   0.00800
      5,2020-02-20T15:37:05.891+01:00,   0.200E-02,   0.01000
      6,2020-02-20T15:37:05.912+01:00,   0.200E-02,   0.01200
      7,2020-02-20T15:37:05.947+01:00,   0.200E-02,   0.01400
      8,2020-02-20T15:37:05.968+01:00,   0.200E-02,   0.01600
      9,2020-02-20T15:37:05.987+01:00,   0.200E-02,   0.01800
     10,2020-02-20T15:37:06.007+01:00,   0.200E-02,   0.02000
     20,2020-02-20T15:37:06.233+01:00,   0.200E-02,   0.04000
     30,2020-02-20T15:37:06.470+01:00,   0.200E-02,   0.06000
     40,2020-02-20T15:37:06.674+01:00,   0.200E-02,   0.08000
     50,2020-02-20T15:37:06.909+01:00,   0.175E-02,   0.09924
     60,2020-02-20T15:37:07.146+01:00,   0.138E-02,   0.11430
     70,2020-02-20T15:37:07.507+01:00,   0.122E-02,   0.12685
     80,2020-02-20T15:37:08.133+01:00,   0.109E-02,   0.13790
     90,2020-02-20T15:37:08.430+01:00,   0.109E-02,   0.14882
    100,2020-02-20T15:37:08.984+01:00,   0.109E-02,   0.15973
    200,2020-02-20T15:37:14.030+01:00,   0.876E-03,   0.25531
    300,2020-02-20T15:37:23.092+01:00,   0.782E-03,   0.33580
    400,2020-02-20T15:37:33.009+01:00,   0.701E-03,   0.40709
    500,2020-02-20T15:37:43.843+01:00,   0.771E-03,   0.48115
    525,2020-02-20T15:37:46.723+01:00,   0.358E-03,   0.50000
