,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-20T15:37:06.332+01:00,   0.200E-02,   0.00200
      2,2020-02-20T15:37:06.748+01:00,   0.200E-02,   0.00400
      3,2020-02-20T15:37:07.181+01:00,   0.200E-02,   0.00600
      4,2020-02-20T15:37:07.618+01:00,   0.200E-02,   0.00800
      5,2020-02-20T15:37:08.045+01:00,   0.200E-02,   0.01000
      6,2020-02-20T15:37:08.504+01:00,   0.200E-02,   0.01200
      7,2020-02-20T15:37:08.972+01:00,   0.200E-02,   0.01400
      8,2020-02-20T15:37:09.398+01:00,   0.200E-02,   0.01600
      9,2020-02-20T15:37:09.811+01:00,   0.200E-02,   0.01800
     10,2020-02-20T15:37:10.229+01:00,   0.200E-02,   0.02000
     20,2020-02-20T15:37:11.239+01:00,   0.200E-02,   0.04000
     30,2020-02-20T15:37:13.582+01:00,   0.200E-02,   0.06000
     40,2020-02-20T15:37:14.493+01:00,   0.200E-02,   0.08000
     50,2020-02-20T15:37:15.536+01:00,   0.160E-02,   0.09798
     60,2020-02-20T15:37:18.797+01:00,   0.144E-02,   0.11332
     70,2020-02-20T15:37:23.146+01:00,   0.129E-02,   0.12725
     80,2020-02-20T15:37:27.651+01:00,   0.129E-02,   0.14016
     90,2020-02-20T15:37:31.768+01:00,   0.116E-02,   0.15186
    100,2020-02-20T15:37:35.060+01:00,   0.116E-02,   0.16342
    200,2020-02-20T15:38:02.907+01:00,   0.933E-03,   0.26072
    300,2020-02-20T15:38:30.933+01:00,   0.750E-03,   0.33907
    400,2020-02-20T15:39:10.512+01:00,   0.750E-03,   0.41406
    500,2020-02-20T15:39:47.080+01:00,   0.825E-03,   0.49122
    511,2020-02-20T15:39:50.209+01:00,   0.531E-03,   0.50000
