,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-19T19:04:18.861+01:00,   0.200E-02,   0.00200
      2,2020-02-19T19:04:18.868+01:00,   0.200E-02,   0.00400
      3,2020-02-19T19:04:18.884+01:00,   0.200E-02,   0.00600
      4,2020-02-19T19:04:18.890+01:00,   0.200E-02,   0.00800
      5,2020-02-19T19:04:18.895+01:00,   0.200E-02,   0.01000
      6,2020-02-19T19:04:18.900+01:00,   0.200E-02,   0.01200
      7,2020-02-19T19:04:18.907+01:00,   0.200E-02,   0.01400
      8,2020-02-19T19:04:18.914+01:00,   0.200E-02,   0.01600
      9,2020-02-19T19:04:18.920+01:00,   0.200E-02,   0.01800
     10,2020-02-19T19:04:18.926+01:00,   0.200E-02,   0.02000
     20,2020-02-19T19:04:19.003+01:00,   0.200E-02,   0.04000
     30,2020-02-19T19:04:19.093+01:00,   0.200E-02,   0.06000
     40,2020-02-19T19:04:19.179+01:00,   0.200E-02,   0.08000
     50,2020-02-19T19:04:19.294+01:00,   0.200E-02,   0.10000
     60,2020-02-19T19:04:19.425+01:00,   0.200E-02,   0.12000
     70,2020-02-19T19:04:19.562+01:00,   0.200E-02,   0.14000
     80,2020-02-19T19:04:19.695+01:00,   0.200E-02,   0.16000
     90,2020-02-19T19:04:19.829+01:00,   0.200E-02,   0.18000
    100,2020-02-19T19:04:19.979+01:00,   0.200E-02,   0.20000
    200,2020-02-19T19:04:21.239+01:00,   0.200E-02,   0.40000
    250,2020-02-19T19:04:22.019+01:00,   0.200E-02,   0.50000
