s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 1.3051111E-001, 5.6899957E-002, 1.5696277E-004, 1.0000000E+000, 7.7893113E+000, 3.2000000E+001, 2.6923058E-009, 4.2490253E-001
 1.3256552E-001, 5.6868437E-002, 1.6506633E-004, 1.0000000E+000, 7.9460477E+000, 3.2000000E+001, 5.0296274E-009, 4.3324632E-001
 1.3461994E-001, 5.6836464E-002, 1.7755806E-004, 1.0000000E+000, 8.0911807E+000, 3.2000000E+001, 5.8455870E-009, 4.3495150E-001
 1.3667435E-001, 5.6804038E-002, 1.8121522E-004, 1.0000000E+000, 8.2508916E+000, 3.2000000E+001, 5.3303246E-009, 4.3352513E-001
 1.3872877E-001, 5.6771161E-002, 1.8087200E-004, 1.0000000E+000, 8.3622569E+000, 3.2000000E+001, 3.3922145E-009, 4.2738390E-001
 1.4078319E-001, 5.6737834E-002, 1.8146979E-004, 1.0000000E+000, 8.5213193E+000, 3.2000000E+001, 5.1223233E-009, 4.3285827E-001
 1.4283760E-001, 5.6704057E-002, 1.8369182E-004, 1.0000000E+000, 8.6663417E+000, 3.2000000E+001, 3.5096289E-009, 4.2767130E-001
 1.4489202E-001, 5.6669832E-002, 1.8601990E-004, 1.0000000E+000, 8.8244370E+000, 3.2000000E+001, 2.4697735E-009, 4.2288169E-001
 1.4671868E-001, 5.6646497E-002, 1.3448482E-004, 1.0000000E+000, 8.9736394E+000, 3.2000000E+001, 4.3731670E-009, 4.3191166E-001
 1.4854535E-001, 5.6615427E-002, 1.3807513E-004, 1.0000000E+000, 9.1331757E+000, 3.2000000E+001, 6.4063611E-009, 4.3716292E-001
 1.5037202E-001, 5.6584006E-002, 1.4588723E-004, 1.0000000E+000, 9.2794837E+000, 3.2000000E+001, 5.7568398E-009, 4.3547479E-001
 1.5219868E-001, 5.6552233E-002, 1.4809115E-004, 1.0000000E+000, 9.4358701E+000, 3.2000000E+001, 5.6619805E-009, 4.3515724E-001
 1.5402535E-001, 5.6520110E-002, 1.4842522E-004, 1.0000000E+000, 9.5489100E+000, 3.2000000E+001, 4.7878446E-009, 4.3287469E-001
 1.5585202E-001, 5.6487638E-002, 1.5007777E-004, 1.0000000E+000, 9.7077464E+000, 3.2000000E+001, 4.2866457E-009, 4.3134975E-001
 1.5767868E-001, 5.6454816E-002, 1.5284343E-004, 1.0000000E+000, 9.8155383E+000, 3.2000000E+001, 4.9459882E-009, 4.3320308E-001
 1.5950535E-001, 5.6421647E-002, 1.5509285E-004, 1.0000000E+000, 9.9717644E+000, 3.2000000E+001, 3.2113476E-009, 4.2729882E-001
 1.6133201E-001, 5.6388131E-002, 1.5583658E-004, 1.0000000E+000, 1.0115493E+001, 3.2000000E+001, 5.2260831E-009, 4.3376308E-001
 1.6315868E-001, 5.6354269E-002, 1.5525344E-004, 1.0000000E+000, 1.0240148E+001, 3.2000000E+001, 3.4065294E-009, 4.2793222E-001
 1.6479788E-001, 5.6330464E-002, 1.1164970E-004, 1.0000000E+000, 1.0421407E+001, 3.1000000E+001, 8.6728904E-009, 4.3049772E-001
 1.6643709E-001, 5.6299570E-002, 1.1427747E-004, 1.0000000E+000, 1.0573412E+001, 3.2000000E+001, 3.9835189E-009, 4.3148251E-001
 1.6807629E-001, 5.6268399E-002, 1.2097059E-004, 1.0000000E+000, 1.0713040E+001, 3.2000000E+001, 3.3535582E-009, 4.2897830E-001
 1.6971549E-001, 5.6236951E-002, 1.2365789E-004, 1.0000000E+000, 1.0837287E+001, 3.2000000E+001, 6.0280496E-009, 4.3684037E-001
 1.7135470E-001, 5.6205228E-002, 1.2503467E-004, 1.0000000E+000, 1.0940637E+001, 3.2000000E+001, 2.8537517E-009, 4.2674121E-001
 1.7299390E-001, 5.6173230E-002, 1.2724721E-004, 1.0000000E+000, 1.1100508E+001, 3.2000000E+001, 3.4280871E-009, 4.2915039E-001
 1.7463310E-001, 5.6140958E-002, 1.2985055E-004, 1.0000000E+000, 1.1265098E+001, 3.2000000E+001, 6.3560066E-009, 4.3742200E-001
 1.7627231E-001, 5.6108412E-002, 1.3149592E-004, 1.0000000E+000, 1.1431130E+001, 3.2000000E+001, 3.2329215E-009, 4.2818275E-001
 1.7791151E-001, 5.6075593E-002, 1.3154998E-004, 1.0000000E+000, 1.1577236E+001, 3.2000000E+001, 4.7062697E-009, 4.3315884E-001
 1.7955071E-001, 5.6042502E-002, 1.3040488E-004, 1.0000000E+000, 1.1692028E+001, 3.2000000E+001, 6.7639457E-009, 4.3803988E-001
 1.8118992E-001, 5.6009139E-002, 1.2893691E-004, 1.0000000E+000, 1.1803337E+001, 3.2000000E+001, 3.0161813E-009, 4.2707952E-001
 1.8282912E-001, 5.5975506E-002, 1.2790118E-004, 1.0000000E+000, 1.1963379E+001, 3.2000000E+001, 4.9099385E-009, 4.3358886E-001
 1.8446832E-001, 5.5941602E-002, 1.2764662E-004, 1.0000000E+000, 1.2109824E+001, 3.2000000E+001, 4.6446768E-009, 4.3278679E-001
 1.8594105E-001, 5.5917749E-002, 9.2647464E-005, 1.0000000E+000, 1.2302963E+001, 3.2000000E+001, 6.2567251E-009, 4.3816393E-001
 1.8741378E-001, 5.5886891E-002, 9.5979255E-005, 1.0000000E+000, 1.2406920E+001, 3.2000000E+001, 3.2695647E-009, 4.2948891E-001
 1.8888651E-001, 5.5855816E-002, 1.0253710E-004, 1.0000000E+000, 1.2530995E+001, 3.1000000E+001, 7.2097044E-009, 4.2854194E-001
 1.9035925E-001, 5.5824525E-002, 1.0543082E-004, 1.0000000E+000, 1.2678305E+001, 3.2000000E+001, 4.6360289E-009, 4.3392501E-001
 1.9183198E-001, 5.5793019E-002, 1.0675527E-004, 1.0000000E+000, 1.2836567E+001, 3.2000000E+001, 4.3120021E-009, 4.3291172E-001
 1.9330471E-001, 5.5761297E-002, 1.0831636E-004, 1.0000000E+000, 1.2938417E+001, 3.2000000E+001, 4.7072060E-009, 4.3404191E-001
 1.9477744E-001, 5.5729360E-002, 1.0991481E-004, 1.0000000E+000, 1.3099435E+001, 3.2000000E+001, 4.1470519E-009, 4.3223990E-001
 1.9625017E-001, 5.5697210E-002, 1.1064895E-004, 1.0000000E+000, 1.3210762E+001, 3.2000000E+001, 4.0212702E-009, 4.3173866E-001
 1.9772290E-001, 5.5664846E-002, 1.1016925E-004, 1.0000000E+000, 1.3374862E+001, 3.2000000E+001, 6.1998267E-009, 4.3755390E-001
 1.9919563E-001, 5.5632268E-002, 1.0889013E-004, 1.0000000E+000, 1.3476832E+001, 3.2000000E+001, 3.2835521E-009, 4.2890408E-001
 2.0066836E-001, 5.5599478E-002, 1.0753879E-004, 1.0000000E+000, 1.3637936E+001, 3.2000000E+001, 4.1976426E-009, 4.3217128E-001
 2.0214109E-001, 5.5566477E-002, 1.0668055E-004, 1.0000000E+000, 1.3794104E+001, 3.2000000E+001, 4.7679620E-009, 4.3385459E-001
 2.0361382E-001, 5.5533263E-002, 1.0652125E-004, 1.0000000E+000, 1.3919085E+001, 3.2000000E+001, 5.8802239E-009, 4.3665663E-001
 2.0508655E-001, 5.5499839E-002, 1.0695532E-004, 1.0000000E+000, 1.4021074E+001, 3.2000000E+001, 4.4552702E-009, 4.3282657E-001
 2.0655928E-001, 5.5466205E-002, 1.0771664E-004, 1.0000000E+000, 1.4181671E+001, 3.2000000E+001, 3.9009018E-009, 4.3096575E-001
 2.0803201E-001, 5.5432360E-002, 1.0852352E-004, 1.0000000E+000, 1.4339022E+001, 3.2000000E+001, 4.5646404E-009, 4.3301559E-001
 2.0950474E-001, 5.5398307E-002, 1.0917253E-004, 1.0000000E+000, 1.4494669E+001, 3.2000000E+001, 4.5703037E-009, 4.3296065E-001
