s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 1.3051111E-001, 5.6899957E-002, 1.5696277E-004, 1.0000000E+000, 2.5242580E+000, 7.8000000E+001, 2.3997737E-009, 7.0285036E-001
 1.3256552E-001, 5.6868437E-002, 1.6506633E-004, 1.0000000E+000, 2.5665220E+000, 7.8000000E+001, 2.6107484E-009, 7.0358610E-001
 1.3461994E-001, 5.6836464E-002, 1.7755806E-004, 1.0000000E+000, 2.6069320E+000, 7.8000000E+001, 2.8572195E-009, 7.0417781E-001
 1.3667435E-001, 5.6804038E-002, 1.8121522E-004, 1.0000000E+000, 2.6673390E+000, 7.8000000E+001, 3.0776961E-009, 7.0473319E-001
 1.3872877E-001, 5.6771161E-002, 1.8087200E-004, 1.0000000E+000, 2.7064630E+000, 7.8000000E+001, 3.3162752E-009, 7.0536633E-001
 1.4078319E-001, 5.6737834E-002, 1.8146979E-004, 1.0000000E+000, 2.7489401E+000, 7.8000000E+001, 3.6053781E-009, 7.0607879E-001
 1.4283760E-001, 5.6704057E-002, 1.8369182E-004, 1.0000000E+000, 2.8035840E+000, 7.8000000E+001, 3.9186834E-009, 7.0676395E-001
 1.4489202E-001, 5.6669832E-002, 1.8601990E-004, 1.0000000E+000, 2.8461980E+000, 7.8000000E+001, 4.2504803E-009, 7.0741902E-001
 1.4671868E-001, 5.6646497E-002, 1.3448482E-004, 1.0000000E+000, 2.8995880E+000, 7.8000000E+001, 4.0539445E-009, 7.0793992E-001
 1.4854535E-001, 5.6615427E-002, 1.3807513E-004, 1.0000000E+000, 2.9418310E+000, 7.8000000E+001, 4.4020685E-009, 7.0873267E-001
 1.5037202E-001, 5.6584006E-002, 1.4588723E-004, 1.0000000E+000, 2.9955920E+000, 7.8000000E+001, 4.7846602E-009, 7.0933658E-001
 1.5219868E-001, 5.6552233E-002, 1.4809115E-004, 1.0000000E+000, 3.0378510E+000, 7.8000000E+001, 5.1813293E-009, 7.1000001E-001
 1.5402535E-001, 5.6520110E-002, 1.4842522E-004, 1.0000000E+000, 3.0778919E+000, 7.8000000E+001, 5.5456032E-009, 7.1061328E-001
 1.5585202E-001, 5.6487638E-002, 1.5007777E-004, 1.0000000E+000, 3.1349260E+000, 7.8000000E+001, 5.9806127E-009, 7.1128015E-001
 1.5767868E-001, 5.6454816E-002, 1.5284343E-004, 1.0000000E+000, 3.1711699E+000, 7.8000000E+001, 6.4405658E-009, 7.1190249E-001
 1.5950535E-001, 5.6421647E-002, 1.5509285E-004, 1.0000000E+000, 3.2137820E+000, 7.8000000E+001, 6.9297535E-009, 7.1250473E-001
 1.6133201E-001, 5.6388131E-002, 1.5583658E-004, 1.0000000E+000, 3.2529241E+000, 7.8000000E+001, 7.4520817E-009, 7.1310947E-001
 1.6315868E-001, 5.6354269E-002, 1.5525344E-004, 1.0000000E+000, 3.3099390E+000, 7.8000000E+001, 8.0390493E-009, 7.1375621E-001
