s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1232000E-001
 3.9528471E-003, 5.6252496E-002, 9.9999328E-006, 6.7640000E+003, 7.0823092E+000
 7.9056942E-003, 5.7927887E-002, 9.9970762E-006, 9.0700000E+002, 8.2016945E+000
 1.1858541E-002, 5.7995305E-002, 9.9856661E-006, 2.7000000E+001, 8.2838402E+000
 1.5811388E-002, 5.8033944E-002, 9.9986551E-006, 4.3000000E+001, 8.3848419E+000
 1.9764235E-002, 5.8029489E-002, 9.9979045E-006, 3.1000000E+001, 8.4348831E+000
 2.3717082E-002, 5.8021313E-002, 9.9265717E-006, 1.7000000E+001, 8.4861841E+000
 2.7669930E-002, 5.8001028E-002, 9.8950635E-006, 1.9000000E+001, 8.5456161E+000
 3.1622777E-002, 5.7973011E-002, 9.8489167E-006, 1.7000000E+001, 8.5887241E+000
 3.5575624E-002, 5.7939343E-002, 9.8107271E-006, 1.5000000E+001, 8.6273546E+000
 3.9528471E-002, 5.7900776E-002, 9.9475177E-006, 1.3000000E+001, 8.6822595E+000
 4.3481318E-002, 5.7857997E-002, 9.8726626E-006, 1.3000000E+001, 8.7347955E+000
 4.7434165E-002, 5.7811621E-002, 9.9167499E-006, 1.2000000E+001, 8.7736959E+000
 5.1387012E-002, 5.7765127E-002, 9.8421381E-006, 1.6000000E+001, 8.8299179E+000
 5.5339859E-002, 5.7717458E-002, 9.8814784E-006, 1.5000000E+001, 8.8725271E+000
 5.9292706E-002, 5.7669358E-002, 9.9586823E-006, 1.6000000E+001, 8.9126453E+000
 6.3245553E-002, 5.7621687E-002, 9.8272695E-006, 1.8000000E+001, 8.9576301E+000
 6.7198400E-002, 5.7573573E-002, 9.9023478E-006, 1.8000000E+001, 9.0185966E+000
 7.1151247E-002, 5.7532793E-002, 9.9001936E-006, 1.8000000E+001, 9.0681381E+000
 7.5104094E-002, 5.7488699E-002, 9.9687714E-006, 2.0000000E+001, 9.1150856E+000
 7.9056942E-002, 5.7446918E-002, 9.9576366E-006, 2.1000000E+001, 9.1870746E+000
 8.2486010E-002, 5.7413081E-002, 9.9645046E-006, 1.8000000E+001, 9.2429323E+000
 8.5915079E-002, 5.7368959E-002, 9.9477342E-006, 2.0000000E+001, 9.2901926E+000
 8.9344148E-002, 5.7324866E-002, 9.9865988E-006, 1.8000000E+001, 9.3508796E+000
 9.2355082E-002, 5.7290178E-002, 9.9855869E-006, 1.8000000E+001, 9.4055462E+000
 9.5366016E-002, 5.7248087E-002, 9.8935738E-006, 2.3000000E+001, 9.4495668E+000
