s,s
Time,"cpu"
 4.7770017E+000, 1.3293166E+003
 4.8002129E+000, 1.3412390E+003
 4.8350297E+000, 1.3486508E+003
 4.8698465E+000, 1.3601671E+003
 4.8930577E+000, 1.3720552E+003
 4.9278745E+000, 1.3852851E+003
 4.9510857E+000, 1.3968418E+003
 4.9859025E+000, 1.4102344E+003
 5.0168151E+000, 1.4299746E+003
 5.0477276E+000, 1.4438389E+003
 5.0786402E+000, 1.4601347E+003
 5.1105832E+000, 1.4778038E+003
 5.1332524E+000, 1.4927758E+003
 5.1683897E+000, 1.5065914E+003
 5.1933258E+000, 1.5217401E+003
 5.2307300E+000, 1.5365166E+003
 5.2556661E+000, 1.5509644E+003
 5.2806023E+000, 1.5629887E+003
 5.3180065E+000, 1.5776781E+003
 5.3429426E+000, 1.5919736E+003
 5.3828404E+000, 1.6065335E+003
 5.4102702E+000, 1.6203094E+003
 5.4376999E+000, 1.6305073E+003
 5.4651297E+000, 1.6404635E+003
 5.4925594E+000, 1.6507440E+003
 5.5304920E+000, 1.6634222E+003
 5.5535982E+000, 1.6761780E+003
 5.5917235E+000, 1.6875186E+003
 5.6171404E+000, 1.7005971E+003
 5.6425572E+000, 1.7106149E+003
 5.6806825E+000, 1.7229514E+003
 5.7060994E+000, 1.7347183E+003
 5.7315162E+000, 1.7464458E+003
 5.7696415E+000, 1.7597406E+003
 5.7950584E+000, 1.7740775E+003
 5.8204753E+000, 1.7838389E+003
 5.8586005E+000, 1.7973439E+003
 5.8840174E+000, 1.8094396E+003
 5.9182876E+000, 1.8235814E+003
 5.9411344E+000, 1.8368770E+003
 5.9754046E+000, 1.8479470E+003
 6.0096748E+000, 1.8628594E+003
 6.0325215E+000, 1.8751821E+003
 6.0667917E+000, 1.8903082E+003
 6.1010619E+000, 1.9071429E+003
 6.1239087E+000, 1.9213774E+003
 6.1581789E+000, 1.9355506E+003
 6.1810257E+000, 1.9493061E+003
 6.2175805E+000, 1.9627285E+003
 6.2427120E+000, 1.9762425E+003
 6.2804092E+000, 1.9892432E+003
 6.3055407E+000, 2.0023554E+003
 6.3306721E+000, 2.0122475E+003
 6.3683693E+000, 2.0259165E+003
 6.3935008E+000, 2.0394038E+003
 6.4311980E+000, 2.0520611E+003
 6.4563295E+000, 2.0640551E+003
 6.4814609E+000, 2.0737347E+003
 6.5191581E+000, 2.0842605E+003
 6.5442896E+000, 2.0935809E+003
 6.5819868E+000, 2.1068729E+003
 6.6071183E+000, 2.1215729E+003
 6.6322498E+000, 2.1325352E+003
 6.6699470E+000, 2.1464164E+003
 6.6950784E+000, 2.1594122E+003
