s,m/s,m/s,Pa,m/s,
Time,"u-vel","w-vel","pres","error","iter"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003, 1.4613942E-001, 8.3290898E-002, 1.5228272E+001, 1.0852225E-002, 7.0000000E+000
 4.0000000E-003, 1.4667930E-001, 8.6730713E-002, 1.4509926E-001, 1.0511859E-002, 7.0000000E+000
 6.0000000E-003, 1.4922934E-001, 8.9557370E-002, 3.0111313E-001, 1.1302705E-002, 1.0000000E+000
 8.0000000E-003, 1.5247514E-001, 9.2170495E-002, 3.3680887E-001, 5.1719074E-003, 1.0000000E+000
 1.0000000E-002, 1.5572445E-001, 9.4787565E-002, 3.3945409E-001, 1.5157787E-003, 1.0000000E+000
 1.2000000E-002, 1.5863578E-001, 9.7524521E-002, 3.2306784E-001, 4.3852979E-003, 1.0000000E+000
 1.4000000E-002, 1.6123038E-001, 1.0038202E-001, 3.0572626E-001, 4.1374413E-003, 1.0000000E+000
 1.6000000E-002, 1.6369125E-001, 1.0330396E-001, 2.9694877E-001, 2.4458612E-003, 1.0000000E+000
 1.8000000E-002, 1.6617532E-001, 1.0623778E-001, 2.9665643E-001, 9.8347668E-004, 1.0000000E+000
 2.0000000E-002, 1.6873834E-001, 1.0916203E-001, 3.0015402E-001, 4.7022592E-004, 1.0000000E+000
 2.2000000E-002, 1.7135589E-001, 1.1208277E-001, 3.0314094E-001, 6.7530955E-004, 1.0000000E+000
 2.4000000E-002, 1.7397871E-001, 1.1501655E-001, 3.0389993E-001, 1.1441184E-003, 1.0000000E+000
 2.6000000E-002, 1.7657308E-001, 1.1797628E-001, 3.0289735E-001, 1.4645632E-003, 1.0000000E+000
 2.8000000E-002, 1.7913148E-001, 1.2096622E-001, 3.0136724E-001, 1.5264099E-003, 1.0000000E+000
 3.0000000E-002, 1.8166287E-001, 1.2398434E-001, 3.0020558E-001, 1.4107356E-003, 1.0000000E+000
 3.2000000E-002, 1.8417878E-001, 1.2702691E-001, 2.9963507E-001, 1.2528594E-003, 1.0000000E+000
 3.4000000E-002, 1.8668514E-001, 1.3009179E-001, 2.9942661E-001, 1.1382652E-003, 1.0000000E+000
 3.6000000E-002, 1.8918159E-001, 1.3317908E-001, 2.9926143E-001, 1.0806438E-003, 1.0000000E+000
 3.8000000E-002, 1.9166464E-001, 1.3629024E-001, 2.9895596E-001, 1.0510250E-003, 1.0000000E+000
