Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 1.490E+01, 1.466E+02, 4.691E+01, 1.216E+02, 1.449E+02, 2.697E+01, 2.154E+01, 0.000E+00, 4.794E+01, 2.287E+00, 4.821E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.218E+02
    1, 1.143E+01, 1.378E+02, 4.387E+01, 1.217E+02, 1.394E+02, 2.633E+01, 2.123E+01, 0.000E+00, 4.652E+01, 2.383E+00, 7.111E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.218E+02
    2, 7.787E+00, 1.379E+02, 4.560E+01, 1.282E+02, 1.419E+02, 2.482E+01, 2.360E+01, 0.000E+00, 4.970E+01, 1.946E+01, 4.288E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.218E+02
    3, 1.010E+01, 1.394E+02, 4.508E+01, 1.247E+02, 1.405E+02, 2.638E+01, 2.171E+01, 0.000E+00, 4.580E+01, 7.711E+00, 6.040E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.218E+02
    4, 8.892E+00, 1.391E+02, 4.531E+01, 1.266E+02, 1.407E+02, 2.623E+01, 2.312E+01, 0.000E+00, 4.773E+01, 2.354E+00, 6.172E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.218E+02
    5, 9.851E+00, 1.387E+02, 4.493E+01, 1.215E+02, 1.385E+02, 2.648E+01, 2.261E+01, 0.000E+00, 4.516E+01, 2.309E+00, 7.177E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.218E+02
    6, 1.096E+01, 1.407E+02, 4.568E+01, 1.258E+02, 1.418E+02, 2.663E+01, 2.160E+01, 0.000E+00, 4.813E+01, 2.354E+00, 5.812E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.218E+02
    7, 1.269E+01, 1.416E+02, 4.640E+01, 1.259E+02, 1.445E+02, 2.625E+01, 2.039E+01, 0.000E+00, 6.825E+01, 2.314E+00, 3.345E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.218E+02
