,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-20T15:37:10.233+01:00,   0.200E-02,   0.00200
      2,2020-02-20T15:37:10.257+01:00,   0.200E-02,   0.00400
      3,2020-02-20T15:37:10.298+01:00,   0.200E-02,   0.00600
      4,2020-02-20T15:37:10.321+01:00,   0.200E-02,   0.00800
      5,2020-02-20T15:37:10.342+01:00,   0.200E-02,   0.01000
      6,2020-02-20T15:37:10.364+01:00,   0.200E-02,   0.01200
      7,2020-02-20T15:37:10.404+01:00,   0.200E-02,   0.01400
      8,2020-02-20T15:37:10.427+01:00,   0.200E-02,   0.01600
      9,2020-02-20T15:37:10.448+01:00,   0.200E-02,   0.01800
     10,2020-02-20T15:37:10.471+01:00,   0.200E-02,   0.02000
     20,2020-02-20T15:37:10.744+01:00,   0.200E-02,   0.04000
     30,2020-02-20T15:37:11.070+01:00,   0.200E-02,   0.06000
     40,2020-02-20T15:37:11.338+01:00,   0.200E-02,   0.08000
     50,2020-02-20T15:37:11.642+01:00,   0.160E-02,   0.09798
     60,2020-02-20T15:37:11.917+01:00,   0.144E-02,   0.11331
     70,2020-02-20T15:37:12.178+01:00,   0.129E-02,   0.12724
     80,2020-02-20T15:37:12.449+01:00,   0.129E-02,   0.14016
     90,2020-02-20T15:37:12.729+01:00,   0.116E-02,   0.15185
    100,2020-02-20T15:37:13.199+01:00,   0.116E-02,   0.16341
    200,2020-02-20T15:37:17.223+01:00,   0.933E-03,   0.26072
    300,2020-02-20T15:37:25.177+01:00,   0.750E-03,   0.33907
    400,2020-02-20T15:37:34.291+01:00,   0.750E-03,   0.41406
    500,2020-02-20T15:37:44.910+01:00,   0.825E-03,   0.49122
    511,2020-02-20T15:37:46.126+01:00,   0.533E-03,   0.50000
