Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
      8,      4,     60,      2,     81,     17,      2,  0.10299921E-17,      3,     42,     15,      1,  0.16385648E+04
      8,      5,     61,      2,     81,     17,      2,  0.11113072E-17,      3,     42,     15,      1,  0.50371308E+03
      8,      6,     62,      2,     81,     17,      2,  0.10842022E-17,      3,     42,     15,      1,  0.14339164E+03
      8,      1,     63,      3,      0,     18,     20,  0.13972655E-16,      3,     42,     15,      1,  0.13969987E+05
      8,      2,     64,      2,     81,     17,      2,  0.89446679E-18,      3,     42,     15,      1,  0.10227759E+05
      8,      3,     65,      2,     81,     17,      2,  0.78604658E-18,      3,     42,     15,      1,  0.46489213E+04
      8,      4,     66,      2,     81,     17,      2,  0.86736174E-18,      3,     42,     15,      1,  0.16354879E+04
      8,      5,     67,      2,     81,     17,      2,  0.89446679E-18,      3,     42,     15,      1,  0.50276117E+03
      8,      6,     68,      2,     81,     17,      2,  0.89446679E-18,      3,     42,     15,      1,  0.14311972E+03
      8,      1,     69,      5,     81,     19,      7,  0.13877788E-16,      3,     43,      6,      1,  0.88007124E+04
      8,      2,     70,      3,     81,      8,      7,  0.13877788E-16,      3,     43,      6,      1,  0.67125393E+04
      8,      3,     71,      3,     81,      4,     17,  0.13877788E-16,      3,     43,      6,      1,  0.27582936E+04
      8,      4,     72,      3,     81,     19,     13,  0.13877788E-16,      3,     43,      6,      1,  0.87645247E+03
      8,      5,     73,      3,     81,     19,     13,  0.13877788E-16,      3,     43,      6,      1,  0.24754942E+03
      9,      1,     74,      2,     81,     18,     20,  0.19298799E-16,      3,     43,      6,      1,  0.84083675E+04
      9,      2,     75,      2,     81,     17,      2,  0.94867690E-18,      3,     42,     15,      1,  0.61409157E+04
      9,      3,     76,      2,     81,     17,      2,  0.94867690E-18,      3,     46,     15,      1,  0.25181353E+04
      9,      4,     77,      2,     81,     17,      2,  0.94867690E-18,      3,     46,     15,      1,  0.79743777E+03
      9,      5,     78,      2,     81,     17,      2,  0.94867690E-18,      3,     46,     15,      1,  0.22194927E+03
      9,      1,     79,      3,     50,     13,      0,  0.34694470E-17,      3,     42,      6,      1,  0.50357507E+03
      9,      2,     80,      3,     50,     13,      0,  0.34694470E-17,      3,     42,      6,      1,  0.41087212E+03
     10,      1,     81,      2,     81,     17,      2,  0.89446679E-18,      3,     42,      6,      1,  0.55299677E+03
     10,      2,     82,      3,      0,     18,     20,  0.15720932E-17,      3,     43,      6,      1,  0.39534094E+03
     10,      1,     83,      2,     81,     17,      2,  0.56920614E-18,      3,     42,      6,      1,  0.23931945E+03
     10,      1,     84,      2,     81,      1,     20,  0.13145951E-17,      3,     50,     15,      1,  0.28228776E+05
     10,      2,     85,      3,      0,      1,      9,  0.15429552E-16,      3,     50,     15,      1,  0.30053948E+05
     10,      3,     86,      3,      0,      1,      9,  0.15429552E-16,      3,     50,     15,      1,  0.18433350E+05
     10,      4,     87,      3,      0,      1,      9,  0.15426164E-16,      3,     50,     15,      1,  0.89804697E+04
     10,      5,     88,      3,      0,      1,      9,  0.15429552E-16,      3,     50,     15,      1,  0.38907900E+04
     10,      6,     89,      3,      0,      1,      9,  0.15426164E-16,      3,     50,     15,      1,  0.15770138E+04
     10,      7,     90,      3,      0,      1,      9,  0.15429552E-16,      3,     50,     15,      1,  0.61409356E+03
     10,      8,     91,      3,      0,      1,      9,  0.15429552E-16,      3,     50,     15,      1,  0.23321547E+03
     11,      1,     92,      3,      0,      1,      9,  0.33938916E-16,      3,     50,     15,      1,  0.29822596E+05
     11,      2,     93,      2,     81,     17,      2,  0.78604658E-18,      3,     50,     15,      1,  0.15529185E+05
     11,      3,     94,      2,     81,     17,      2,  0.75894152E-18,      3,     50,     15,      1,  0.64779890E+04
     11,      4,     95,      2,     81,     17,      2,  0.78604658E-18,      3,     50,     15,      1,  0.22636656E+04
     11,      5,     96,      2,     81,     17,      2,  0.75894152E-18,      3,     50,     15,      1,  0.70923662E+03
     11,      6,     97,      2,     81,     17,      2,  0.78604658E-18,      3,     50,     15,      1,  0.20800246E+03
     11,      1,     98,      2,     81,     17,      2,  0.40657581E-18,      3,     50,     15,      1,  0.93272044E+03
     11,      2,     99,      2,     81,     18,     20,  0.79959910E-18,      3,     50,      6,      1,  0.11102969E+04
     11,      3,    100,      2,     81,     18,     20,  0.79959910E-18,      3,     50,      6,      1,  0.71921647E+03
     11,      4,    101,      2,     81,     18,     20,  0.81315163E-18,      3,     50,      6,      1,  0.35402294E+03
     12,      1,    102,      2,     81,     18,     20,  0.18973538E-17,      3,     50,     15,      1,  0.80454258E+03
     12,      2,    103,      3,      0,     17,      2,  0.89446679E-18,      3,     50,      6,      1,  0.60169814E+03
     12,      3,    104,      3,      0,     17,      2,  0.89446679E-18,      3,     50,      6,      1,  0.30862546E+03
     12,      1,    105,      2,     81,     15,     17,  0.24394549E-18,      3,     50,     15,      1,  0.83937958E+04
     12,      2,    106,      2,     81,      1,      9,  0.87515444E-17,      3,     50,     15,      1,  0.87677773E+04
     12,      3,    107,      2,     81,      1,      9,  0.87481563E-17,      3,     50,     15,      1,  0.53584493E+04
     12,      4,    108,      2,     81,      1,      9,  0.87481563E-17,      3,     50,     15,      1,  0.26094032E+04
     12,      5,    109,      2,     81,      1,      9,  0.87481563E-17,      3,     50,     15,      1,  0.11209808E+04
     12,      6,    110,      2,     81,      1,      9,  0.87481563E-17,      3,     50,     15,      1,  0.44586339E+03
     13,      1,    111,      2,     81,      1,      9,  0.17303189E-16,      3,     50,     15,      1,  0.90385307E+04
     13,      2,    112,      3,      0,     17,      2,  0.86736174E-18,      3,     50,     15,      1,  0.57030002E+04
     13,      3,    113,      2,     81,     17,      2,  0.92157185E-18,      3,     50,     15,      1,  0.26666004E+04
