s,s
Time,"cpu"
 4.7730144E+000, 2.6264970E+003
 4.8070639E+000, 2.6615574E+003
 4.8312281E+000, 2.6896347E+003
 4.8674743E+000, 2.7155932E+003
 4.8916385E+000, 2.7416501E+003
 4.9315094E+000, 2.7683615E+003
 4.9580900E+000, 2.7952836E+003
 4.9846706E+000, 2.8169212E+003
 5.0112512E+000, 2.8365041E+003
 5.0511220E+000, 2.8548350E+003
 5.0777026E+000, 2.8751736E+003
 5.1042832E+000, 2.8957229E+003
 5.1308638E+000, 2.9153770E+003
 5.1720637E+000, 2.9421935E+003
 5.2013024E+000, 2.9701468E+003
 5.2257304E+000, 2.9995574E+003
 5.2501585E+000, 3.0204831E+003
 5.2868006E+000, 3.0440983E+003
 5.3112286E+000, 3.0707708E+003
 5.3478707E+000, 3.0971581E+003
 5.3722988E+000, 3.1260689E+003
 5.4089409E+000, 3.1564180E+003
 5.4333689E+000, 3.1867769E+003
 5.4700110E+000, 3.2154905E+003
 5.4944391E+000, 3.2436534E+003
 5.5310811E+000, 3.2715526E+003
 5.5579520E+000, 3.2992736E+003
 5.5848229E+000, 3.3197594E+003
 5.6116937E+000, 3.3397381E+003
 5.6520000E+000, 3.3629670E+003
 5.6788709E+000, 3.3889635E+003
 5.7057417E+000, 3.4117964E+003
 5.7392368E+000, 3.4445511E+003
 5.7700787E+000, 3.4773074E+003
 5.7906400E+000, 3.5013266E+003
 5.8245661E+000, 3.5204009E+003
 5.8584922E+000, 3.5500640E+003
 5.8811096E+000, 3.5747934E+003
 5.9150357E+000, 3.5963033E+003
 5.9512236E+000, 3.6258593E+003
 5.9761027E+000, 3.6519976E+003
 6.0009819E+000, 3.6705028E+003
 6.0344867E+000, 3.7031263E+003
 6.0679916E+000, 3.7341713E+003
 6.0903281E+000, 3.7617809E+003
 6.1249498E+000, 3.7908015E+003
 6.1618051E+000, 3.8234181E+003
 6.1863753E+000, 3.8498631E+003
 6.2109456E+000, 3.8722087E+003
 6.2478009E+000, 3.8985122E+003
 6.2723711E+000, 3.9240454E+003
 6.3092264E+000, 3.9507615E+003
 6.3337967E+000, 3.9766022E+003
 6.3706520E+000, 3.9945392E+003
 6.3952222E+000, 4.0170124E+003
 6.4320775E+000, 4.0448049E+003
 6.4566478E+000, 4.0713877E+003
 6.4812180E+000, 4.0913361E+003
 6.5180733E+000, 4.1147625E+003
 6.5426435E+000, 4.1329279E+003
 6.5794989E+000, 4.1540687E+003
 6.6040691E+000, 4.1798788E+003
 6.6409244E+000, 4.2041784E+003
 6.6654946E+000, 4.2295111E+003
 6.6900648E+000, 4.2471730E+003
 6.7269202E+000, 4.2714333E+003
 6.7514904E+000, 4.2950292E+003
 6.7883457E+000, 4.3207383E+003
 6.8129159E+000, 4.3424489E+003
 6.8497713E+000, 4.3674212E+003
 6.8711643E+000, 4.3973944E+003
 6.9032538E+000, 4.4256989E+003
 6.9353433E+000, 4.4587668E+003
 6.9706418E+000, 4.4917410E+003
 6.9941741E+000, 4.5160151E+003
 7.0294726E+000, 4.5397817E+003
 7.0553582E+000, 4.5643178E+003
 7.0812437E+000, 4.5830688E+003
 7.1213663E+000, 4.6036460E+003
 7.1498404E+000, 4.6239706E+003
 7.1783145E+000, 4.6426083E+003
 7.2067887E+000, 4.6612370E+003
 7.2352628E+000, 4.6829845E+003
 7.2611005E+000, 4.7084584E+003
 7.2993829E+000, 4.7439230E+003
 7.3249045E+000, 4.7711684E+003
 7.3504261E+000, 4.7890182E+003
 7.3887084E+000, 4.8187262E+003
 7.4142300E+000, 4.8450500E+003
 7.4525124E+000, 4.8705306E+003
 7.4780340E+000, 4.8991891E+003
 7.5035556E+000, 4.9206093E+003
 7.5388890E+000, 4.9485564E+003
 7.5614616E+000, 4.9768874E+003
 7.5953206E+000, 5.0053001E+003
 7.6291795E+000, 5.0397695E+003
 7.6517522E+000, 5.0687123E+003
 7.6856111E+000, 5.0956289E+003
 7.7194701E+000, 5.1220391E+003
 7.7420427E+000, 5.1442358E+003
 7.7781590E+000, 5.1737513E+003
 7.8029889E+000, 5.1970351E+003
 7.8402337E+000, 5.2209445E+003
 7.8650636E+000, 5.2470280E+003
 7.9023085E+000, 5.2730078E+003
 7.9271384E+000, 5.3013080E+003
 7.9519683E+000, 5.3237897E+003
 7.9892131E+000, 5.3460633E+003
 8.0140430E+000, 5.3687011E+003
 8.0512879E+000, 5.3946966E+003
 8.0761178E+000, 5.4220758E+003
 8.1009477E+000, 5.4418175E+003
 8.1381925E+000, 5.4645632E+003
 8.1630224E+000, 5.4901527E+003
 8.2015088E+000, 5.5181805E+003
 8.2288216E+000, 5.5462631E+003
 8.2561345E+000, 5.5673561E+003
 8.2801061E+000, 5.5859823E+003
 8.3160635E+000, 5.6081686E+003
 8.3400351E+000, 5.6336777E+003
 8.3759926E+000, 5.6574712E+003
 8.4106934E+000, 5.6851395E+003
 8.4321520E+000, 5.7114665E+003
 8.4643399E+000, 5.7344411E+003
 8.4965278E+000, 5.7654463E+003
 8.5287157E+000, 5.7941880E+003
 8.5501743E+000, 5.8189496E+003
 8.5823622E+000, 5.8439385E+003
 8.6145500E+000, 5.8695483E+003
 8.6467379E+000, 5.8948236E+003
 8.6789258E+000, 5.9207835E+003
 8.7025303E+000, 5.9432590E+003
 8.7379369E+000, 5.9699352E+003
 8.7615414E+000, 5.9917970E+003
 8.7969480E+000, 6.0174474E+003
 8.8205525E+000, 6.0405290E+003
 8.8559592E+000, 6.0661187E+003
 8.8913658E+000, 6.0982314E+003
 8.9149703E+000, 6.1192585E+003
 8.9515572E+000, 6.1470897E+003
 8.9775221E+000, 6.1748554E+003
 9.0034870E+000, 6.1993542E+003
 9.0424343E+000, 6.2254305E+003
 9.0683992E+000, 6.2492922E+003
 9.0943641E+000, 6.2660124E+003
 9.1304306E+000, 6.2925462E+003
 9.1535146E+000, 6.3206330E+003
 9.1881407E+000, 6.3466510E+003
 9.2112248E+000, 6.3698371E+003
 9.2458509E+000, 6.3945781E+003
 9.2804769E+000, 6.4275562E+003
 9.3035610E+000, 6.4562174E+003
 9.3369541E+000, 6.4891195E+003
 9.3678813E+000, 6.5324500E+003
 9.3988085E+000, 6.5705926E+003
 9.4297357E+000, 6.6067943E+003
 9.4503538E+000, 6.6343986E+003
 9.4812810E+000, 6.6603869E+003
 9.5175689E+000, 6.6927986E+003
 9.5425169E+000, 6.7199259E+003
 9.5799388E+000, 6.7437970E+003
 9.6048867E+000, 6.7636298E+003
 9.6310820E+000, 6.7866585E+003
 9.6722461E+000, 6.8109624E+003
 9.6965145E+000, 6.8397633E+003
 9.7313196E+000, 6.8791860E+003
 9.7550803E+000, 6.9107202E+003
 9.7913764E+000, 6.9455360E+003
 9.8179936E+000, 6.9753542E+003
 9.8446108E+000, 6.9974086E+003
 9.8797148E+000, 7.0268959E+003
 9.9048313E+000, 7.0581054E+003
 9.9425061E+000, 7.0849049E+003
 9.9676226E+000, 7.1123669E+003
 9.9913492E+000, 7.1351493E+003
 1.0024854E+001, 7.1659382E+003
 1.0058359E+001, 7.1991297E+003
 1.0080695E+001, 7.2230800E+003
 1.0116434E+001, 7.2492518E+003
 1.0141004E+001, 7.2779211E+003
 1.0177859E+001, 7.3077039E+003
 1.0202430E+001, 7.3350717E+003
 1.0239285E+001, 7.3626317E+003
 1.0263855E+001, 7.3910817E+003
 1.0296101E+001, 7.4227879E+003
 1.0328347E+001, 7.4555212E+003
 1.0360593E+001, 7.4873496E+003
 1.0382090E+001, 7.5140500E+003
 1.0419926E+001, 7.5394946E+003
 1.0445937E+001, 7.5649064E+003
 1.0471949E+001, 7.5863000E+003
 1.0510967E+001, 7.6132389E+003
 1.0536978E+001, 7.6339967E+003
 1.0562990E+001, 7.6546940E+003
 1.0602008E+001, 7.6784849E+003
 1.0628020E+001, 7.7028097E+003
 1.0654031E+001, 7.7167174E+003
 1.0680043E+001, 7.7343449E+003
 1.0719061E+001, 7.7566401E+003
 1.0745072E+001, 7.7812082E+003
 1.0771084E+001, 7.7993537E+003
 1.0810102E+001, 7.8190391E+003
 1.0836113E+001, 7.8432030E+003
 1.0862125E+001, 7.8627406E+003
 1.0901143E+001, 7.8884159E+003
 1.0927155E+001, 7.9173434E+003
 1.0953166E+001, 7.9404953E+003
 1.0992184E+001, 7.9680145E+003
 1.1018196E+001, 7.9951789E+003
 1.1044207E+001, 8.0151361E+003
 1.1070219E+001, 8.0339782E+003
 1.1109237E+001, 8.0570347E+003
 1.1135248E+001, 8.0829342E+003
 1.1161260E+001, 8.1032992E+003
 1.1200278E+001, 8.1252354E+003
 1.1226290E+001, 8.1508986E+003
 1.1252301E+001, 8.1722026E+003
 1.1291319E+001, 8.1961304E+003
 1.1317331E+001, 8.2186374E+003
 1.1343342E+001, 8.2384621E+003
 1.1382360E+001, 8.2610119E+003
 1.1408372E+001, 8.2807585E+003
 1.1436985E+001, 8.3007267E+003
 1.1465598E+001, 8.3223361E+003
 1.1494210E+001, 8.3431081E+003
 1.1522823E+001, 8.3641838E+003
 1.1551436E+001, 8.3829142E+003
 1.1580049E+001, 8.3963498E+003
 1.1622969E+001, 8.4198784E+003
 1.1651582E+001, 8.4422038E+003
 1.1680194E+001, 8.4569001E+003
 1.1708807E+001, 8.4753088E+003
 1.1737420E+001, 8.4947907E+003
 1.1766033E+001, 8.5137575E+003
 1.1792847E+001, 8.5337893E+003
 1.1830370E+001, 8.5630998E+003
 1.1855385E+001, 8.5904284E+003
 1.1882918E+001, 8.6199907E+003
 1.1911574E+001, 8.6578284E+003
 1.1949715E+001, 8.6907521E+003
 1.1977601E+001, 8.7167292E+003
 1.2005486E+001, 8.7346960E+003
 1.2031664E+001, 8.7550201E+003
 1.2068366E+001, 8.7817417E+003
