s,s
Time,"cpu"
 4.7721334E+000, 1.4574439E+002
 4.8125003E+000, 1.4737300E+002
 4.8394115E+000, 1.4879892E+002
 4.8663228E+000, 1.4990649E+002
 4.8932341E+000, 1.5111890E+002
 4.9308306E+000, 1.5262622E+002
 4.9549715E+000, 1.5416677E+002
 4.9911829E+000, 1.5564888E+002
 5.0153238E+000, 1.5700916E+002
 5.0515351E+000, 1.5840994E+002
 5.0756760E+000, 1.5982115E+002
 5.1118874E+000, 1.6125303E+002
 5.1360283E+000, 1.6265449E+002
 5.1601692E+000, 1.6374907E+002
 5.2000017E+000, 1.6500712E+002
 5.2292122E+000, 1.6639704E+002
 5.2584227E+000, 1.6760576E+002
 5.2876331E+000, 1.6869747E+002
 5.3168436E+000, 1.6987111E+002
 5.3428549E+000, 1.7135168E+002
 5.3818718E+000, 1.7293844E+002
 5.4078831E+000, 1.7434507E+002
 5.4338944E+000, 1.7553340E+002
 5.4729113E+000, 1.7731885E+002
 5.4989226E+000, 1.7881129E+002
 5.5249339E+000, 1.7995980E+002
 5.5509451E+000, 1.8116778E+002
 5.5899621E+000, 1.8259179E+002
 5.6159733E+000, 1.8401619E+002
 5.6419846E+000, 1.8521172E+002
 5.6810015E+000, 1.8664128E+002
 5.7070128E+000, 1.8820245E+002
 5.7330241E+000, 1.8932487E+002
 5.7720410E+000, 1.9074079E+002
 5.7980523E+000, 1.9220033E+002
 5.8240636E+000, 1.9336398E+002
 5.8500748E+000, 1.9462822E+002
 5.8890917E+000, 1.9602054E+002
 5.9151030E+000, 1.9737200E+002
 5.9493487E+000, 1.9896055E+002
 5.9721792E+000, 2.0023274E+002
 6.0064249E+000, 2.0142022E+002
 6.0406706E+000, 2.0299017E+002
 6.0635011E+000, 2.0453603E+002
 6.0953556E+000, 2.0603574E+002
 6.1260145E+000, 2.0783712E+002
 6.1566734E+000, 2.0968041E+002
 6.1893762E+000, 2.1144431E+002
 6.2118594E+000, 2.1288737E+002
 6.2489567E+000, 2.1436776E+002
 6.2761614E+000, 2.1584141E+002
 6.3033661E+000, 2.1700285E+002
 6.3305707E+000, 2.1812121E+002
 6.3713777E+000, 2.1954477E+002
 6.3986212E+000, 2.2149197E+002
 6.4216266E+000, 2.2298415E+002
 6.4622503E+000, 2.2443773E+002
 6.4878244E+000, 2.2601834E+002
 6.5133985E+000, 2.2714858E+002
 6.5415301E+000, 2.2832079E+002
 6.5837274E+000, 2.2969781E+002
 6.6118589E+000, 2.3108299E+002
 6.6399904E+000, 2.3221978E+002
 6.6681220E+000, 2.3334391E+002
 6.6962535E+000, 2.3440444E+002
 6.7243851E+000, 2.3540109E+002
 6.7525166E+000, 2.3643488E+002
 6.7806481E+000, 2.3739704E+002
 6.8228454E+000, 2.3862231E+002
 6.8509770E+000, 2.3991646E+002
 6.8791085E+000, 2.4103970E+002
 6.9072400E+000, 2.4213989E+002
 6.9353716E+000, 2.4327407E+002
 6.9616467E+000, 2.4453068E+002
 6.9982746E+000, 2.4608495E+002
 7.0226932E+000, 2.4753136E+002
 7.0593211E+000, 2.4898780E+002
 7.0837397E+000, 2.5050138E+002
 7.1203676E+000, 2.5193747E+002
 7.1447863E+000, 2.5346724E+002
 7.1814142E+000, 2.5482085E+002
 7.2058328E+000, 2.5621796E+002
 7.2302514E+000, 2.5732562E+002
 7.2652034E+000, 2.5875559E+002
 7.2968037E+000, 2.6061681E+002
 7.3284039E+000, 2.6228615E+002
 7.3610574E+000, 2.6397575E+002
 7.3842309E+000, 2.6534865E+002
 7.4189912E+000, 2.6668116E+002
 7.4421647E+000, 2.6803761E+002
 7.4769249E+000, 2.6929137E+002
 7.5000984E+000, 2.7051015E+002
 7.5348586E+000, 2.7178040E+002
 7.5696189E+000, 2.7334691E+002
 7.5927924E+000, 2.7484950E+002
 7.6275526E+000, 2.7622689E+002
 7.6507261E+000, 2.7779619E+002
 7.6854864E+000, 2.7920840E+002
 7.7202466E+000, 2.8092877E+002
 7.7434201E+000, 2.8246037E+002
 7.7781804E+000, 2.8389520E+002
 7.8025125E+000, 2.8534197E+002
 7.8407488E+000, 2.8673501E+002
 7.8662396E+000, 2.8829655E+002
 7.8917305E+000, 2.8936939E+002
 7.9299667E+000, 2.9077383E+002
 7.9554576E+000, 2.9230051E+002
 7.9809484E+000, 2.9342217E+002
 8.0191847E+000, 2.9491727E+002
 8.0446755E+000, 2.9627196E+002
 8.0701664E+000, 2.9740436E+002
 8.1084027E+000, 2.9888767E+002
 8.1338935E+000, 3.0019006E+002
 8.1721298E+000, 3.0146004E+002
 8.1976206E+000, 3.0274912E+002
 8.2231115E+000, 3.0397348E+002
 8.2511514E+000, 3.0505782E+002
 8.2932113E+000, 3.0647880E+002
 8.3212512E+000, 3.0796371E+002
 8.3492911E+000, 3.0916438E+002
 8.3773311E+000, 3.1033489E+002
 8.4053710E+000, 3.1148579E+002
 8.4334109E+000, 3.1269142E+002
 8.4707639E+000, 3.1434141E+002
 8.4940969E+000, 3.1592401E+002
 8.5314297E+000, 3.1737071E+002
 8.5570960E+000, 3.1877147E+002
 8.5827623E+000, 3.2010120E+002
 8.6197635E+000, 3.2154350E+002
 8.6424333E+000, 3.2313608E+002
 8.6764380E+000, 3.2471820E+002
 8.7104427E+000, 3.2641586E+002
 8.7331125E+000, 3.2795406E+002
 8.7682507E+000, 3.2938598E+002
 8.7931875E+000, 3.3078427E+002
 8.8305926E+000, 3.3230050E+002
 8.8555294E+000, 3.3368806E+002
 8.8804662E+000, 3.3478249E+002
 8.9178714E+000, 3.3614869E+002
 8.9428082E+000, 3.3758424E+002
 8.9802134E+000, 3.3882542E+002
 9.0051501E+000, 3.4014278E+002
 9.0368605E+000, 3.4167360E+002
 9.0685708E+000, 3.4335695E+002
 9.0918250E+000, 3.4490210E+002
 9.1267064E+000, 3.4632402E+002
 9.1615878E+000, 3.4798867E+002
 9.1848420E+000, 3.4937695E+002
 9.2197234E+000, 3.5075095E+002
 9.2429776E+000, 3.5213303E+002
 9.2778590E+000, 3.5350707E+002
 9.3011132E+000, 3.5487671E+002
 9.3359946E+000, 3.5625809E+002
 9.3604115E+000, 3.5766791E+002
 9.3987810E+000, 3.5903340E+002
 9.4243607E+000, 3.6041652E+002
 9.4627302E+000, 3.6197230E+002
 9.4883098E+000, 3.6332245E+002
 9.5138895E+000, 3.6445052E+002
 9.5522590E+000, 3.6577417E+002
 9.5778387E+000, 3.6702840E+002
 9.6006624E+000, 3.6837004E+002
 9.6365281E+000, 3.6961687E+002
 9.6604387E+000, 3.7094632E+002
 9.6963045E+000, 3.7226396E+002
 9.7202150E+000, 3.7363559E+002
 9.7560808E+000, 3.7502112E+002
 9.7919466E+000, 3.7669753E+002
 9.8158571E+000, 3.7823863E+002
 9.8517229E+000, 3.7963524E+002
 9.8756334E+000, 3.8104402E+002
 9.9114992E+000, 3.8251718E+002
 9.9354097E+000, 3.8391373E+002
 9.9712755E+000, 3.8529701E+002
 9.9951861E+000, 3.8665657E+002
 1.0027873E+001, 3.8822945E+002
 1.0058970E+001, 3.8997403E+002
 1.0090068E+001, 3.9162025E+002
 1.0110799E+001, 3.9300818E+002
 1.0141897E+001, 3.9436447E+002
 1.0172994E+001, 3.9616840E+002
 1.0207201E+001, 3.9766157E+002
 1.0230006E+001, 3.9893395E+002
 1.0264213E+001, 4.0040129E+002
 1.0298421E+001, 4.0204618E+002
 1.0321225E+001, 4.0352322E+002
 1.0357713E+001, 4.0493821E+002
 1.0382798E+001, 4.0636217E+002
 1.0420426E+001, 4.0777196E+002
 1.0445511E+001, 4.0918431E+002
 1.0470597E+001, 4.1027962E+002
 1.0508224E+001, 4.1164961E+002
 1.0533310E+001, 4.1301050E+002
 1.0570938E+001, 4.1433957E+002
 1.0596023E+001, 4.1569469E+002
 1.0621108E+001, 4.1678236E+002
 1.0658736E+001, 4.1816913E+002
 1.0683821E+001, 4.1963153E+002
 1.0719828E+001, 4.2102041E+002
 1.0741672E+001, 4.2253775E+002
 1.0776622E+001, 4.2389477E+002
 1.0800651E+001, 4.2518137E+002
 1.0836693E+001, 4.2648163E+002
 1.0860721E+001, 4.2779750E+002
 1.0900368E+001, 4.2911096E+002
 1.0926799E+001, 4.3041570E+002
 1.0953230E+001, 4.3144264E+002
 1.0992877E+001, 4.3271950E+002
 1.1019308E+001, 4.3402387E+002
 1.1045739E+001, 4.3513739E+002
 1.1072170E+001, 4.3617810E+002
 1.1111816E+001, 4.3758159E+002
 1.1135240E+001, 4.3896634E+002
 1.1170049E+001, 4.4042128E+002
 1.1194753E+001, 4.4180437E+002
 1.1231808E+001, 4.4315306E+002
 1.1256511E+001, 4.4448917E+002
 1.1281214E+001, 4.4558058E+002
 1.1318269E+001, 4.4685888E+002
 1.1342973E+001, 4.4822832E+002
 1.1380028E+001, 4.4950790E+002
 1.1403387E+001, 4.5086363E+002
 1.1437511E+001, 4.5211461E+002
 1.1461728E+001, 4.5342543E+002
 1.1498053E+001, 4.5456127E+002
 1.1524692E+001, 4.5574680E+002
 1.1551331E+001, 4.5681319E+002
 1.1591289E+001, 4.5805813E+002
 1.1617928E+001, 4.5943736E+002
 1.1644566E+001, 4.6038692E+002
 1.1671205E+001, 4.6135376E+002
 1.1711163E+001, 4.6258936E+002
 1.1737802E+001, 4.6381282E+002
 1.1762909E+001, 4.6495120E+002
 1.1798273E+001, 4.6627936E+002
 1.1821849E+001, 4.6762703E+002
 1.1857213E+001, 4.6882735E+002
 1.1881967E+001, 4.7005166E+002
 1.1920867E+001, 4.7135681E+002
 1.1946801E+001, 4.7256894E+002
 1.1972734E+001, 4.7352281E+002
 1.2011635E+001, 4.7472062E+002
 1.2037568E+001, 4.7593503E+002
 1.2063502E+001, 4.7690401E+002
 1.2102402E+001, 4.7812078E+002
 1.2126972E+001, 4.7936930E+002
 1.2150178E+001, 4.8048755E+002
 1.2184988E+001, 4.8176010E+002
 1.2216019E+001, 4.8339535E+002
 1.2247051E+001, 4.8481563E+002
 1.2279118E+001, 4.8620337E+002
 1.2301874E+001, 4.8735378E+002
 1.2336009E+001, 4.8850833E+002
 1.2370145E+001, 4.8988128E+002
 1.2395177E+001, 4.9102408E+002
 1.2420209E+001, 4.9200455E+002
 1.2457758E+001, 4.9317626E+002
 1.2482790E+001, 4.9437851E+002
 1.2520339E+001, 4.9587985E+002
 1.2545371E+001, 4.9723389E+002
 1.2570404E+001, 4.9830536E+002
 1.2607952E+001, 4.9960938E+002
 1.2632985E+001, 5.0110669E+002
 1.2670533E+001, 5.0247663E+002
 1.2695566E+001, 5.0392822E+002
 1.2720598E+001, 5.0506099E+002
 1.2760650E+001, 5.0645523E+002
 1.2788186E+001, 5.0792583E+002
 1.2815721E+001, 5.0903703E+002
 1.2843257E+001, 5.1018251E+002
 1.2870793E+001, 5.1129067E+002
 1.2912096E+001, 5.1267425E+002
 1.2939632E+001, 5.1405069E+002
 1.2967167E+001, 5.1517502E+002
 1.2994703E+001, 5.1625555E+002
 1.3022239E+001, 5.1734073E+002
 1.3063542E+001, 5.1888720E+002
 1.3091078E+001, 5.2026056E+002
 1.3118613E+001, 5.2134323E+002
 1.3146149E+001, 5.2243753E+002
 1.3173685E+001, 5.2356418E+002
 1.3201220E+001, 5.2476813E+002
 1.3238723E+001, 5.2622208E+002
 1.3261203E+001, 5.2770646E+002
 1.3296574E+001, 5.2921091E+002
 1.3320892E+001, 5.3054840E+002
 1.3357368E+001, 5.3185121E+002
 1.3381686E+001, 5.3317755E+002
 1.3418162E+001, 5.3468206E+002
 1.3444911E+001, 5.3599725E+002
 1.3471660E+001, 5.3711887E+002
 1.3511784E+001, 5.3848139E+002
 1.3538534E+001, 5.3985953E+002
 1.3565283E+001, 5.4098557E+002
 1.3592032E+001, 5.4212384E+002
 1.3632156E+001, 5.4358939E+002
 1.3658905E+001, 5.4496567E+002
 1.3685654E+001, 5.4606708E+002
 1.3712404E+001, 5.4740335E+002
 1.3752528E+001, 5.4878496E+002
 1.3779277E+001, 5.5019498E+002
 1.3804300E+001, 5.5139583E+002
 1.3842742E+001, 5.5299633E+002
 1.3868369E+001, 5.5453030E+002
 1.3891896E+001, 5.5596358E+002
 1.3932564E+001, 5.5763423E+002
 1.3959676E+001, 5.5912662E+002
 1.3986788E+001, 5.6051559E+002
 1.4013900E+001, 5.6170325E+002
 1.4041012E+001, 5.6289630E+002
 1.4081680E+001, 5.6442075E+002
 1.4108792E+001, 5.6592200E+002
 1.4135904E+001, 5.6712622E+002
 1.4163016E+001, 5.6829102E+002
 1.4190127E+001, 5.6948941E+002
 1.4230795E+001, 5.7107822E+002
 1.4257907E+001, 5.7250256E+002
 1.4285019E+001, 5.7362036E+002
 1.4312131E+001, 5.7476547E+002
 1.4352799E+001, 5.7613933E+002
 1.4379911E+001, 5.7751584E+002
 1.4407023E+001, 5.7860562E+002
 1.4434135E+001, 5.7973441E+002
 1.4461247E+001, 5.8082224E+002
 1.4501915E+001, 5.8220476E+002
 1.4524479E+001, 5.8373776E+002
 1.4558326E+001, 5.8511600E+002
 1.4580891E+001, 5.8665555E+002
 1.4614738E+001, 5.8798526E+002
 1.4650841E+001, 5.8981411E+002
 1.4675662E+001, 5.9117288E+002
 1.4700484E+001, 5.9241406E+002
 1.4737715E+001, 5.9381627E+002
 1.4763777E+001, 5.9523429E+002
 1.4791081E+001, 5.9637222E+002
 1.4832036E+001, 5.9776663E+002
 1.4859339E+001, 5.9926813E+002
 1.4884599E+001, 6.0050624E+002
 1.4910138E+001, 6.0175250E+002
 1.4948447E+001, 6.0337601E+002
 1.4973986E+001, 6.0477927E+002
 1.5012294E+001, 6.0619726E+002
 1.5037833E+001, 6.0761725E+002
 1.5063372E+001, 6.0887512E+002
 1.5101681E+001, 6.1027514E+002
 1.5127220E+001, 6.1168362E+002
 1.5152759E+001, 6.1300034E+002
 1.5191067E+001, 6.1438036E+002
 1.5216606E+001, 6.1577676E+002
 1.5242145E+001, 6.1686993E+002
 1.5280454E+001, 6.1827601E+002
 1.5305993E+001, 6.1975470E+002
 1.5331532E+001, 6.2083890E+002
 1.5369840E+001, 6.2230810E+002
 1.5396656E+001, 6.2370162E+002
 1.5424749E+001, 6.2486490E+002
 1.5451242E+001, 6.2852725E+002
 1.5491069E+001, 6.3008502E+002
 1.5514693E+001, 6.3150818E+002
 1.5549656E+001, 6.3307516E+002
 1.5573694E+001, 6.3442828E+002
 1.5609750E+001, 6.3574865E+002
 1.5633787E+001, 6.3709518E+002
 1.5669843E+001, 6.3850310E+002
 1.5693881E+001, 6.3988004E+002
 1.5729937E+001, 6.4128698E+002
 1.5753974E+001, 6.4269644E+002
 1.5792434E+001, 6.4411073E+002
 1.5818875E+001, 6.4550034E+002
 1.5845317E+001, 6.4662512E+002
 1.5871758E+001, 6.4790903E+002
 1.5911420E+001, 6.4930732E+002
 1.5937861E+001, 6.5086630E+002
 1.5965624E+001, 6.5198684E+002
 1.5994709E+001, 6.5313501E+002
 1.6023795E+001, 6.5427090E+002
 1.6052880E+001, 6.5537485E+002
 1.6081965E+001, 6.5667624E+002
 1.6111050E+001, 6.5776480E+002
 1.6140136E+001, 6.5885846E+002
 1.6180182E+001, 6.6035326E+002
 1.6205685E+001, 6.6183786E+002
 1.6231189E+001, 6.6292227E+002
 1.6269444E+001, 6.6429766E+002
 1.6297498E+001, 6.6587634E+002
 1.6325552E+001, 6.6703082E+002
 1.6353606E+001, 6.6814844E+002
 1.6381660E+001, 6.6927731E+002
 1.6423741E+001, 6.7071152E+002
 1.6451794E+001, 6.7217407E+002
 1.6479848E+001, 6.7330151E+002
 1.6507902E+001, 6.7464633E+002
 1.6535956E+001, 6.7581818E+002
 1.6564010E+001, 6.7695252E+002
 1.6592064E+001, 6.7819760E+002
 1.6620118E+001, 6.7938867E+002
 1.6662198E+001, 6.8081160E+002
 1.6690252E+001, 6.8222553E+002
 1.6718306E+001, 6.8336020E+002
 1.6746360E+001, 6.8456235E+002
 1.6774414E+001, 6.8566425E+002
 1.6805273E+001, 6.8676965E+002
 1.6837675E+001, 6.8792984E+002
 1.6871621E+001, 6.8903781E+002
 1.6905566E+001, 6.9014853E+002
 1.6922538E+001, 6.9105283E+002
 1.6956484E+001, 6.9196973E+002
 1.6990429E+001, 6.9312885E+002
 1.7020220E+001, 6.9462875E+002
 1.7050012E+001, 6.9573291E+002
 1.7079804E+001, 6.9689169E+002
 1.7109595E+001, 6.9801825E+002
 1.7139387E+001, 6.9910870E+002
 1.7169179E+001, 7.0043649E+002
 1.7198970E+001, 7.0499493E+002
 1.7228762E+001, 7.0607697E+002
 1.7258554E+001, 7.0720779E+002
 1.7288345E+001, 7.0829410E+002
 1.7318137E+001, 7.0938413E+002
 1.7347929E+001, 7.1052560E+002
 1.7377720E+001, 7.1161838E+002
 1.7407512E+001, 7.1270999E+002
 1.7437303E+001, 7.1386731E+002
 1.7467095E+001, 7.1510367E+002
 1.7495320E+001, 7.1629474E+002
 1.7521978E+001, 7.1757809E+002
 1.7561964E+001, 7.1905447E+002
 1.7591288E+001, 7.2058350E+002
 1.7620612E+001, 7.2170590E+002
 1.7649935E+001, 7.2287943E+002
 1.7679259E+001, 7.2401367E+002
 1.7708582E+001, 7.2513141E+002
 1.7737906E+001, 7.2637793E+002
 1.7767230E+001, 7.2749619E+002
 1.7796553E+001, 7.2862387E+002
 1.7825877E+001, 7.2980017E+002
 1.7856667E+001, 7.3094227E+002
 1.7888922E+001, 7.3215109E+002
 1.7921178E+001, 7.3331476E+002
 1.7953434E+001, 7.3444272E+002
 1.7985690E+001, 7.3556937E+002
 1.8001818E+001, 7.3648019E+002
 1.8034074E+001, 7.3729755E+002
 1.8066330E+001, 7.3847223E+002
 1.8098586E+001, 7.3959836E+002
 1.8132455E+001, 7.4073419E+002
 1.8150196E+001, 7.4162149E+002
 1.8185677E+001, 7.4243012E+002
 1.8221159E+001, 7.4358798E+002
 1.8256640E+001, 7.4470587E+002
 1.8274381E+001, 7.4555783E+002
 1.8309863E+001, 7.4646362E+002
 1.8339275E+001, 7.4782553E+002
 1.8371628E+001, 7.4897278E+002
 1.8403982E+001, 7.5014899E+002
 1.8420158E+001, 7.5100729E+002
 1.8452512E+001, 7.5187653E+002
 1.8484865E+001, 7.5298886E+002
 1.8517218E+001, 7.5413248E+002
 1.8549572E+001, 7.5522440E+002
 1.8581925E+001, 7.5631024E+002
 1.8614278E+001, 7.5746338E+002
 1.8630455E+001, 7.5825339E+002
 1.8662808E+001, 7.5914066E+002
 1.8695162E+001, 7.6039194E+002
 1.8722791E+001, 7.6165039E+002
 1.8750420E+001, 7.6285819E+002
 1.8791865E+001, 7.6417038E+002
 1.8819494E+001, 7.6551456E+002
 1.8847123E+001, 7.6660104E+002
 1.8874753E+001, 7.6776169E+002
 1.8902382E+001, 7.6890979E+002
 1.8930012E+001, 7.7006216E+002
 1.8971456E+001, 7.7154125E+002
 1.8999085E+001, 7.7301608E+002
 1.9026715E+001, 7.7417987E+002
 1.9054344E+001, 7.7534589E+002
 1.9081973E+001, 7.7655435E+002
 1.9123418E+001, 7.7811490E+002
 1.9151047E+001, 7.7958035E+002
 1.9181439E+001, 7.8074832E+002
 1.9211832E+001, 7.8195325E+002
 1.9242224E+001, 7.8310980E+002
 1.9272616E+001, 7.8427988E+002
 1.9303009E+001, 7.8546466E+002
 1.9333401E+001, 7.8660544E+002
 1.9363794E+001, 7.8774063E+002
 1.9394186E+001, 7.8892899E+002
 1.9424578E+001, 7.9244693E+002
 1.9454971E+001, 7.9359525E+002
 1.9470167E+001, 7.9452902E+002
 1.9500559E+001, 7.9536481E+002
 1.9530952E+001, 7.9666440E+002
 1.9561344E+001, 7.9780267E+002
 1.9591736E+001, 7.9895044E+002
 1.9622129E+001, 8.0023767E+002
 1.9652521E+001, 8.0139179E+002
 1.9682913E+001, 8.0254627E+002
 1.9713306E+001, 8.0371597E+002
 1.9743698E+001, 8.0484226E+002
 1.9774090E+001, 8.0596869E+002
 1.9804483E+001, 8.0713910E+002
 1.9836395E+001, 8.0836122E+002
 1.9869826E+001, 8.0944705E+002
 1.9903258E+001, 8.1060751E+002
 1.9936690E+001, 8.1172183E+002
 1.9953405E+001, 8.1257809E+002
 1.9986837E+001, 8.1343945E+002
 2.0020269E+001, 8.1455035E+002
 2.0053700E+001, 8.1580258E+002
 2.0070416E+001, 8.1662222E+002
 2.0103847E+001, 8.1751056E+002
 2.0137279E+001, 8.1861295E+002
 2.0170711E+001, 8.1971655E+002
 2.0201130E+001, 8.2092931E+002
 2.0228537E+001, 8.2215668E+002
 2.0257314E+001, 8.2325274E+002
 2.0287462E+001, 8.2434015E+002
 2.0317610E+001, 8.2536224E+002
 2.0347757E+001, 8.2637671E+002
 2.0377905E+001, 8.2742612E+002
 2.0408053E+001, 8.2844568E+002
 2.0435935E+001, 8.2955677E+002
 2.0461552E+001, 8.3079501E+002
 2.0499978E+001, 8.3218265E+002
 2.0525595E+001, 8.3358334E+002
 2.0551212E+001, 8.3471259E+002
 2.0589637E+001, 8.3619111E+002
 2.0615255E+001, 8.3778165E+002
 2.0640872E+001, 8.3892999E+002
 2.0679297E+001, 8.4038233E+002
 2.0704914E+001, 8.4191422E+002
 2.0730531E+001, 8.4312256E+002
 2.0771519E+001, 8.4459987E+002
 2.0799698E+001, 8.4604623E+002
 2.0827876E+001, 8.4723148E+002
 2.0856055E+001, 8.4844659E+002
 2.0884234E+001, 8.4961694E+002
 2.0912413E+001, 8.5079031E+002
