s,s
Time,"cpu"
 0.0000000E+000, 6.2286519E+000
 1.5811388E-001, 7.4417761E+000
 3.1622777E-001, 8.2697657E+000
 4.7434165E-001, 9.7798670E+000
 5.3823403E-001, 1.2105546E+001
 6.0851565E-001, 1.4103173E+001
 6.8582543E-001, 1.6467522E+001
 7.7086619E-001, 1.8743627E+001
 8.4602762E-001, 2.2131885E+001
 9.2118905E-001, 2.3675175E+001
 9.6750107E-001, 2.6162882E+001
 1.0184443E+000, 2.8162502E+001
 1.0744818E+000, 2.9996282E+001
 1.1305194E+000, 3.2749273E+001
 1.1767848E+000, 3.6188337E+001
 1.2176777E+000, 3.9606542E+001
 1.2585706E+000, 4.1664301E+001
 1.2994635E+000, 4.3839010E+001
 1.3359245E+000, 4.8244947E+001
 1.3723856E+000, 5.1022947E+001
 1.4044833E+000, 5.5147062E+001
 1.4365809E+000, 5.7326208E+001
 1.4686786E+000, 5.9782690E+001
 1.5007763E+000, 6.2466997E+001
 1.5328739E+000, 6.5187345E+001
 1.5649716E+000, 6.8149389E+001
 1.5970693E+000, 7.0858686E+001
 1.6291669E+000, 7.3414617E+001
 1.6612646E+000, 7.6136289E+001
 1.6933622E+000, 7.8904432E+001
 1.7214813E+000, 8.2949385E+001
 1.7496003E+000, 8.5776731E+001
 1.7777194E+000, 8.8184553E+001
 1.8058384E+000, 9.0750639E+001
 1.8339574E+000, 9.4107260E+001
 1.8556583E+000, 9.8176672E+001
 1.8773592E+000, 1.0039480E+002
 1.9012302E+000, 1.0289276E+002
 1.9251012E+000, 1.0581205E+002
 1.9489722E+000, 1.0857798E+002
 1.9728432E+000, 1.1174392E+002
 1.9967142E+000, 1.1468313E+002
 2.0205852E+000, 1.1759673E+002
 2.0444562E+000, 1.2037297E+002
 2.0683272E+000, 1.2316268E+002
 2.0862224E+000, 1.2793655E+002
 2.1041177E+000, 1.3130954E+002
 2.1220129E+000, 1.3390726E+002
 2.1416977E+000, 1.3684241E+002
 2.1613824E+000, 1.4033510E+002
 2.1810672E+000, 1.4346588E+002
 2.2007520E+000, 1.4621095E+002
 2.2204367E+000, 1.4941415E+002
