,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-01T12:58:05.582+02:00,   0.158E+00,   0.15811,  36.36408
      2,2020-07-01T12:58:07.640+02:00,   0.158E+00,   0.31623,  40.46967
      3,2020-07-01T12:58:12.380+02:00,   0.158E+00,   0.47434,  49.94309
      4,2020-07-01T12:58:20.048+02:00,   0.639E-01,   0.53823,  65.26057
      5,2020-07-01T12:58:27.186+02:00,   0.703E-01,   0.60852,  79.53066
      6,2020-07-01T12:58:35.871+02:00,   0.773E-01,   0.68583,  96.80201
      7,2020-07-01T12:58:43.646+02:00,   0.850E-01,   0.77087, 112.33418
      8,2020-07-01T12:58:55.258+02:00,   0.752E-01,   0.84603, 135.53216
      9,2020-07-01T12:59:00.299+02:00,   0.752E-01,   0.92119, 145.57280
     10,2020-07-01T12:59:07.774+02:00,   0.463E-01,   0.96750, 160.51722
     20,2020-07-01T13:00:51.880+02:00,   0.321E-01,   1.40448, 368.47507
     30,2020-07-01T13:02:34.498+02:00,   0.281E-01,   1.72148, 573.40734
     40,2020-07-01T13:04:22.378+02:00,   0.239E-01,   1.97284, 788.93450
     50,2020-07-01T13:06:22.439+02:00,   0.197E-01,   2.18107,1028.84437
     60,2020-07-01T13:08:18.339+02:00,   0.163E-01,   2.37456,1260.38700
     70,2020-07-01T13:10:18.304+02:00,   0.120E-01,   2.51753,1500.13386
     80,2020-07-01T13:12:32.125+02:00,   0.132E-01,   2.64383,1767.39285
     90,2020-07-01T13:14:35.419+02:00,   0.132E-01,   2.77615,2013.76497
    100,2020-07-01T13:16:30.587+02:00,   0.132E-01,   2.90848,2243.86476
    200,2020-07-01T13:36:37.728+02:00,   0.113E-01,   4.18672,4655.36222
    300,2020-07-01T13:56:18.696+02:00,   0.122E-01,   5.40894,7014.22599
    400,2020-07-01T14:14:27.296+02:00,   0.123E-01,   6.61635,9188.84899
    500,2020-07-01T14:33:04.695+02:00,   0.130E-01,   7.82962,**********
    600,2020-07-01T14:51:25.136+02:00,   0.130E-01,   9.03635,**********
