s,m/s,Pa,kg/m/s,,,
Time,"UVEL","PRES","VISC","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 1.1960343E+000,-1.9612058E+000, 1.0000000E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0552887E-002, 1.2168822E+000,-3.9510902E+000, 1.0000000E-010, 6.2000000E+001, 5.3033839E-001, 6.5211832E-015
 2.2161063E-002, 1.2397545E+000,-3.9443133E+000, 1.0000000E-010, 6.2000000E+001, 5.2365452E-001, 2.9484123E-015
 3.2714982E-002, 1.2604840E+000,-3.9338386E+000, 1.0000000E-010, 6.2000000E+001, 5.2943879E-001, 5.7825789E-015
 4.4324292E-002, 1.2832040E+000,-3.9254038E+000, 1.0000000E-010, 6.2000000E+001, 5.3039517E-001, 6.4098632E-015
 5.4878718E-002, 1.3037740E+000,-3.9127745E+000, 1.0000000E-010, 6.2000000E+001, 5.3173054E-001, 7.4252222E-015
 6.6488586E-002, 1.3262964E+000,-3.9026869E+000, 1.0000000E-010, 6.2000000E+001, 5.3324206E-001, 8.7625012E-015
 7.7041687E-002, 1.3466634E+000,-3.8879265E+000, 1.0000000E-010, 6.4000000E+001, 5.3695337E-001, 3.8443193E-015
 8.8650098E-002, 1.3689407E+000,-3.8761956E+000, 1.0000000E-010, 6.4000000E+001, 5.3716078E-001, 3.8939086E-015
 9.9202833E-002, 1.3890670E+000,-3.8593408E+000, 1.0000000E-010, 6.4000000E+001, 5.3732536E-001, 3.9252395E-015
 1.1081084E-001, 1.4110580E+000,-3.8459762E+000, 1.0000000E-010, 6.4000000E+001, 5.3750775E-001, 3.9579304E-015
 1.2136417E-001, 1.4309065E+000,-3.8270617E+000, 1.0000000E-010, 6.4000000E+001, 5.3767556E-001, 3.9856861E-015
 1.3297283E-001, 1.4525706E+000,-3.8120752E+000, 1.0000000E-010, 6.4000000E+001, 5.3786348E-001, 4.0152353E-015
 1.4352771E-001, 1.4721045E+000,-3.7911401E+000, 1.0000000E-010, 6.4000000E+001, 5.3804335E-001, 4.0433939E-015
 1.5513807E-001, 1.4934015E+000,-3.7745453E+000, 1.0000000E-010, 6.4000000E+001, 5.3821938E-001, 4.0611362E-015
 1.6569166E-001, 1.5125776E+000,-3.7516263E+000, 1.0000000E-010, 6.4000000E+001, 5.3843386E-001, 4.1005068E-015
 1.7730061E-001, 1.5334605E+000,-3.7334458E+000, 1.0000000E-010, 6.4000000E+001, 5.3862108E-001, 4.1173298E-015
 1.8785339E-001, 1.5522425E+000,-3.7086048E+000, 1.0000000E-010, 6.4000000E+001, 5.3882594E-001, 4.1463410E-015
 1.9946145E-001, 1.5726720E+000,-3.6888594E+000, 1.0000000E-010, 6.4000000E+001, 5.3902528E-001, 4.1624969E-015
 2.1001439E-001, 1.5910253E+000,-3.6621518E+000, 1.0000000E-010, 6.4000000E+001, 5.3923682E-001, 4.1888300E-015
 2.2162262E-001, 1.6109635E+000,-3.6408639E+000, 1.0000000E-010, 6.4000000E+001, 5.3944645E-001, 4.2032514E-015
 2.3217667E-001, 1.6288541E+000,-3.6123470E+000, 1.0000000E-010, 6.4000000E+001, 5.3965969E-001, 4.2242052E-015
 2.4378612E-001, 1.6482641E+000,-3.5895418E+000, 1.0000000E-010, 6.4000000E+001, 5.3988387E-001, 4.2388507E-015
 2.5434040E-001, 1.6656558E+000,-3.5592728E+000, 1.0000000E-010, 6.4000000E+001, 5.4009294E-001, 4.2512640E-015
