s,m/s,Pa,kg/m/s,,,
Time,"UVEL","PRES","VISC","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 1.3901806E+000,-1.8421861E+000, 1.0000000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0438901E-002, 1.4273666E+000,-3.8043686E+000, 1.0000000E-001, 4.2000000E+001, 4.0780042E-001, 7.3722629E-015
 4.2921693E-002, 1.4674920E+000,-3.7559972E+000, 1.0000000E-001, 4.2000000E+001, 4.0986350E-001, 8.8424216E-015
 6.3386090E-002, 1.5032430E+000,-3.6938626E+000, 1.0000000E-001, 4.2000000E+001, 4.1063820E-001, 9.2963516E-015
 8.5896926E-002, 1.5416584E+000,-3.6409194E+000, 1.0000000E-001, 4.2000000E+001, 4.1117608E-001, 9.4972521E-015
 1.0646721E-001, 1.5758688E+000,-3.5736221E+000, 1.0000000E-001, 4.2000000E+001, 4.1176007E-001, 9.7594811E-015
 1.2909452E-001, 1.6124577E+000,-3.5162217E+000, 1.0000000E-001, 4.3000000E+001, 4.1314800E-001, 4.4761897E-015
 1.4973813E-001, 1.6448305E+000,-3.4438913E+000, 1.0000000E-001, 4.3000000E+001, 4.1366052E-001, 4.5587001E-015
 1.7244611E-001, 1.6792761E+000,-3.3824516E+000, 1.0000000E-001, 4.3000000E+001, 4.1414041E-001, 4.6061902E-015
 1.9317634E-001, 1.7096051E+000,-3.3058767E+000, 1.0000000E-001, 4.3000000E+001, 4.1456191E-001, 4.6367932E-015
 2.1597959E-001, 1.7416873E+000,-3.2407296E+000, 1.0000000E-001, 4.3000000E+001, 4.1490754E-001, 4.6112726E-015
 2.3681007E-001, 1.7697755E+000,-3.1604996E+000, 1.0000000E-001, 4.3000000E+001, 4.1527650E-001, 4.6106465E-015
 2.5972360E-001, 1.7992848E+000,-3.0920010E+000, 1.0000000E-001, 4.2000000E+001, 4.1456790E-001, 9.9077200E-015
 2.8066823E-001, 1.8249445E+000,-3.0087225E+000, 1.0000000E-001, 4.2000000E+001, 4.1479074E-001, 9.7514645E-015
 3.0370731E-001, 1.8516818E+000,-2.9372550E+000, 1.0000000E-001, 4.2000000E+001, 4.1503969E-001, 9.5936033E-015
 3.2474251E-001, 1.8746951E+000,-2.8515004E+000, 1.0000000E-001, 4.2000000E+001, 4.1514133E-001, 9.3396883E-015
 3.4788122E-001, 1.8984346E+000,-2.7776115E+000, 1.0000000E-001, 4.2000000E+001, 4.1528629E-001, 9.1135055E-015
 3.6899690E-001, 1.9186274E+000,-2.6902086E+000, 1.0000000E-001, 4.2000000E+001, 4.1526973E-001, 8.7927351E-015
 3.9222415E-001, 1.9391906E+000,-2.6144399E+000, 1.0000000E-001, 4.2000000E+001, 4.1518582E-001, 8.4177413E-015
 4.1343434E-001, 1.9564341E+000,-2.5261773E+000, 1.0000000E-001, 4.2000000E+001, 4.1489611E-001, 7.9348708E-015
 4.3676555E-001, 1.9736894E+000,-2.4490109E+000, 1.0000000E-001, 4.2000000E+001, 4.1441950E-001, 7.3403591E-015
 4.5808459E-001, 1.9878690E+000,-2.3605411E+000, 1.0000000E-001, 4.2000000E+001, 4.1397493E-001, 6.8481484E-015
 4.8153552E-001, 2.0017007E+000,-2.2824809E+000, 1.0000000E-001, 4.2000000E+001, 4.1333465E-001, 6.2690992E-015
 5.0297259E-001, 2.0127139E+000,-2.1944465E+000, 1.0000000E-001, 3.9000000E+001, 3.9064745E-001, 9.6400196E-015
 5.2655335E-001, 2.0230210E+000,-2.1160381E+000, 1.0000000E-001, 3.9000000E+001, 3.8542783E-001, 5.6078704E-015
 5.4806549E-001, 2.0307667E+000,-2.0290913E+000, 1.0000000E-001, 3.8000000E+001, 3.7753577E-001, 6.5413845E-015
 5.7172883E-001, 2.0374592E+000,-1.9510961E+000, 1.0000000E-001, 3.8000000E+001, 3.7724412E-001, 6.2774392E-015
 5.9333046E-001, 2.0418980E+000,-1.8661131E+000, 1.0000000E-001, 3.8000000E+001, 3.8127082E-001, 9.3125619E-015
 6.1709225E-001, 2.0449444E+000,-1.7890835E+000, 1.0000000E-001, 3.8000000E+001, 3.8074824E-001, 8.7697361E-015
 6.3879816E-001, 2.0460540E+000,-1.7066432E+000, 1.0000000E-001, 3.8000000E+001, 3.8034749E-001, 8.3730442E-015
 6.6267467E-001, 2.0454418E+000,-1.6311356E+000, 1.0000000E-001, 3.8000000E+001, 3.8109766E-001, 8.9734278E-015
 6.8449992E-001, 2.0432175E+000,-1.5517863E+000, 1.0000000E-001, 3.8000000E+001, 3.8081510E-001, 8.6817937E-015
 7.0850771E-001, 2.0389536E+000,-1.4783582E+000, 1.0000000E-001, 3.8000000E+001, 3.8212053E-001, 9.8410347E-015
 7.3042559E-001, 2.0334207E+000,-1.4026513E+000, 1.0000000E-001, 3.8000000E+001, 3.8116961E-001, 8.9112973E-015
 7.5453527E-001, 2.0255523E+000,-1.3319959E+000, 1.0000000E-001, 3.8000000E+001, 3.8214892E-001, 9.7764433E-015
 7.7653846E-001, 2.0167708E+000,-1.2605451E+000, 1.0000000E-001, 4.2000000E+001, 4.1073333E-001, 4.2920528E-015
 8.0074197E-001, 2.0053797E+000,-1.1932582E+000, 1.0000000E-001, 4.2000000E+001, 4.0992982E-001, 3.9308220E-015
 8.2284570E-001, 1.9934277E+000,-1.1265258E+000, 1.0000000E-001, 4.2000000E+001, 4.1017601E-001, 4.0071142E-015
 8.4715980E-001, 1.9786118E+000,-1.0631018E+000, 1.0000000E-001, 4.2000000E+001, 4.1041012E-001, 4.0763592E-015
 8.6937961E-001, 1.9635854E+000,-1.0014425E+000, 1.0000000E-001, 4.2000000E+001, 4.1044702E-001, 4.0628128E-015
 8.9382140E-001, 1.9454623E+000,-9.4234964E-001, 1.0000000E-001, 4.2000000E+001, 4.1076211E-001, 4.1622576E-015
 9.1615293E-001, 1.9274923E+000,-8.8610023E-001, 1.0000000E-001, 4.1000000E+001, 4.0973221E-001, 9.0676695E-015
 9.4071762E-001, 1.9062205E+000,-8.3182404E-001, 1.0000000E-001, 4.2000000E+001, 4.1134154E-001, 4.3405549E-015
 9.6313114E-001, 1.8854904E+000,-7.8132664E-001, 1.0000000E-001, 4.2000000E+001, 4.1153722E-001, 4.3885451E-015
 9.8778600E-001, 1.8612887E+000,-7.3234982E-001, 1.0000000E-001, 4.1000000E+001, 4.0997196E-001, 9.0318508E-015
 1.0102972E+000, 1.8379713E+000,-6.8782355E-001, 1.0000000E-001, 4.2000000E+001, 4.1170680E-001, 4.3795225E-015
 1.0350595E+000, 1.8110400E+000,-6.4445250E-001, 1.0000000E-001, 3.8000000E+001, 3.8274687E-001, 9.4387092E-015
 1.0576844E+000, 1.7853237E+000,-6.0601016E-001, 1.0000000E-001, 4.2000000E+001, 4.1186017E-001, 4.3605521E-015
 1.0825718E+000, 1.7558797E+000,-5.6850094E-001, 1.0000000E-001, 3.8000000E+001, 3.8279152E-001, 9.2923099E-015
 1.1053236E+000, 1.7279722E+000,-5.3621308E-001, 1.0000000E-001, 3.8000000E+001, 3.8338416E-001, 9.7602382E-015
 1.1303506E+000, 1.6962536E+000,-5.0477239E-001, 1.0000000E-001, 3.8000000E+001, 3.8172621E-001, 8.1944917E-015
 1.1531820E+000, 1.6664591E+000,-4.7872681E-001, 1.0000000E-001, 3.8000000E+001, 3.8140480E-001, 7.8622594E-015
 1.1782965E+000, 1.6328145E+000,-4.5355900E-001, 1.0000000E-001, 3.8000000E+001, 3.7971337E-001, 6.5757148E-015
 1.2012237E+000, 1.6013808E+000,-4.3369350E-001, 1.0000000E-001, 3.8000000E+001, 3.7951348E-001, 6.3876629E-015
