s,m3/s,m3/s,m/s,,s
Time,"flow_in","flow_out","error","iter","cpu"
 5.7233731E+000, 9.9985570E-001, 9.6554176E-001, 9.9726684E-004, 2.2000000E+001, 2.0364389E+001
 5.8220526E+000, 9.9987588E-001, 9.6573232E-001, 9.9944158E-004, 2.1000000E+001, 2.0438596E+001
 5.9207321E+000, 9.9989237E-001, 9.6650126E-001, 9.7405397E-004, 2.1000000E+001, 2.0510312E+001
 6.0194116E+000, 9.9990668E-001, 9.6779677E-001, 9.8334076E-004, 2.1000000E+001, 2.0581798E+001
 6.1180911E+000, 9.9992001E-001, 9.6953753E-001, 9.9636227E-004, 1.9000000E+001, 2.0674938E+001
 6.2167706E+000, 9.9993195E-001, 9.7159322E-001, 9.9418170E-004, 1.7000000E+001, 2.0741914E+001
 6.3154502E+000, 9.9994112E-001, 9.7382896E-001, 9.9852791E-004, 1.5000000E+001, 2.0806041E+001
 6.4141297E+000, 9.9994672E-001, 9.7609379E-001, 9.9590321E-004, 1.2000000E+001, 2.0863872E+001
 6.5128092E+000, 9.9994896E-001, 9.7828917E-001, 9.2585487E-004, 1.0000000E+001, 2.0916334E+001
 6.6114887E+000, 9.9994952E-001, 9.8035986E-001, 9.9341789E-004, 9.0000000E+000, 2.0968391E+001
 6.7101682E+000, 9.9995123E-001, 9.8231881E-001, 9.4768277E-004, 8.0000000E+000, 2.1029332E+001
 6.8088477E+000, 9.9995667E-001, 9.8412950E-001, 9.9390027E-004, 8.0000000E+000, 2.1199033E+001
 6.8967552E+000, 9.9996386E-001, 9.8564025E-001, 9.3267660E-004, 8.0000000E+000, 2.1273284E+001
 6.9846628E+000, 9.9996976E-001, 9.8713637E-001, 9.0888449E-004, 8.0000000E+000, 2.1323079E+001
 7.0725703E+000, 9.9996813E-001, 9.8848600E-001, 8.6746643E-004, 9.0000000E+000, 2.1370790E+001
 7.1604779E+000, 9.9995625E-001, 9.8959682E-001, 8.2076867E-004, 9.0000000E+000, 2.1418037E+001
 7.2483854E+000, 9.9993570E-001, 9.9035378E-001, 9.5629478E-004, 8.0000000E+000, 2.1464649E+001
 7.3362930E+000, 9.9991034E-001, 9.9063258E-001, 8.2969821E-004, 8.0000000E+000, 2.1511493E+001
 7.4242005E+000, 9.9988524E-001, 9.9038730E-001, 9.0572585E-004, 8.0000000E+000, 2.1582033E+001
 7.5121081E+000, 9.9986371E-001, 9.8960526E-001, 9.5221079E-004, 8.0000000E+000, 2.1628763E+001
 7.6000156E+000, 9.9984568E-001, 9.8828449E-001, 9.2545667E-004, 8.0000000E+000, 2.1683601E+001
 7.6879232E+000, 9.9982846E-001, 9.8650696E-001, 9.6359756E-004, 8.0000000E+000, 2.1730380E+001
 7.7758307E+000, 9.9981022E-001, 9.8362874E-001, 9.9960428E-004, 5.0000000E+001, 2.1856590E+001
 7.8637382E+000, 9.9980633E-001, 9.8058817E-001, 9.9905817E-004, 3.5000000E+001, 2.1965555E+001
 7.9516458E+000, 9.9980697E-001, 9.7756390E-001, 9.9633979E-004, 1.0000000E+001, 2.2020803E+001
 8.0395533E+000, 9.9981053E-001, 9.7463075E-001, 9.9054478E-004, 9.0000000E+000, 2.2070442E+001
 8.1274609E+000, 9.9981937E-001, 9.7191791E-001, 9.6138310E-004, 1.2000000E+001, 2.2124292E+001
 8.2153684E+000, 9.9983946E-001, 9.6975288E-001, 9.9414885E-004, 1.6000000E+001, 2.2187341E+001
 8.3032760E+000, 9.9987178E-001, 9.6857847E-001, 9.9344770E-004, 2.0000000E+001, 2.2260312E+001
 8.3911835E+000, 9.9990769E-001, 9.6833290E-001, 9.8744169E-004, 1.9000000E+001, 2.2330715E+001
 8.4790911E+000, 9.9994007E-001, 9.6868224E-001, 9.8509516E-004, 1.5000000E+001, 2.2392806E+001
 8.5669986E+000, 9.9996513E-001, 9.6938621E-001, 9.9098200E-004, 1.3000000E+001, 2.2450712E+001
 8.6549062E+000, 9.9997885E-001, 9.7048339E-001, 9.9516178E-004, 1.7000000E+001, 2.2549489E+001
 8.7428137E+000, 9.9998363E-001, 9.7190516E-001, 9.9975769E-004, 1.7000000E+001, 2.2625917E+001
 8.8307213E+000, 9.9998231E-001, 9.7345701E-001, 9.9243103E-004, 1.5000000E+001, 2.2688234E+001
 8.9186288E+000, 9.9997710E-001, 9.7498691E-001, 9.7297564E-004, 1.3000000E+001, 2.2744563E+001
 9.0065363E+000, 9.9996990E-001, 9.7638593E-001, 9.9222191E-004, 1.1000000E+001, 2.2796731E+001
 9.0944439E+000, 9.9996168E-001, 9.7758527E-001, 9.5116703E-004, 1.0000000E+001, 2.2854040E+001
 9.1823514E+000, 9.9995221E-001, 9.7855739E-001, 9.6103351E-004, 1.0000000E+001, 2.2906221E+001
 9.2702590E+000, 9.9994106E-001, 9.7930497E-001, 9.7661033E-004, 9.0000000E+000, 2.2957017E+001
 9.3581665E+000, 9.9992726E-001, 9.7985586E-001, 9.8191818E-004, 9.0000000E+000, 2.3007623E+001
 9.4460741E+000, 9.9991187E-001, 9.8021640E-001, 9.9637261E-004, 8.0000000E+000, 2.3056764E+001
 9.5339816E+000, 9.9989602E-001, 9.8041712E-001, 9.5728469E-004, 9.0000000E+000, 2.3106351E+001
 9.6218892E+000, 9.9988222E-001, 9.8048261E-001, 9.6091205E-004, 9.0000000E+000, 2.3179885E+001
 9.7097967E+000, 9.9987205E-001, 9.8042480E-001, 9.2457586E-004, 9.0000000E+000, 2.3229129E+001
 9.7977043E+000, 9.9986546E-001, 9.8021643E-001, 8.6459020E-004, 8.0000000E+000, 2.3277070E+001
 9.8856118E+000, 9.9986130E-001, 9.7982536E-001, 7.8943796E-004, 8.0000000E+000, 2.3346868E+001
 9.9735193E+000, 9.9985822E-001, 9.7923163E-001, 7.9263171E-004, 8.0000000E+000, 2.3393476E+001
 1.0061427E+001, 9.9985581E-001, 9.7839729E-001, 9.5541769E-004, 7.0000000E+000, 2.3439098E+001
 1.0149334E+001, 9.9985434E-001, 9.7734631E-001, 9.4420426E-004, 8.0000000E+000, 2.3486198E+001
 1.0237242E+001, 9.9985580E-001, 9.7610668E-001, 9.8527108E-004, 8.0000000E+000, 2.3534057E+001
 1.0325150E+001, 9.9986202E-001, 9.7464238E-001, 9.0870120E-004, 9.0000000E+000, 2.3582792E+001
 1.0413057E+001, 9.9987353E-001, 9.7294073E-001, 9.8900356E-004, 8.0000000E+000, 2.3631116E+001
 1.0500965E+001, 9.9988812E-001, 9.7113367E-001, 9.9536947E-004, 8.0000000E+000, 2.3679822E+001
 1.0588872E+001, 9.9990365E-001, 9.6947595E-001, 9.1122531E-004, 1.0000000E+001, 2.3730037E+001
 1.0676780E+001, 9.9991725E-001, 9.6824234E-001, 9.8918880E-004, 1.3000000E+001, 2.3784847E+001
 1.0764687E+001, 9.9992635E-001, 9.6796388E-001, 9.8921028E-004, 2.1000000E+001, 2.3860660E+001
 1.0852595E+001, 9.9993059E-001, 9.6864630E-001, 9.9682934E-004, 2.3000000E+001, 2.3943851E+001
 1.0940502E+001, 9.9993115E-001, 9.7029774E-001, 9.9942059E-004, 2.4000000E+001, 2.4025810E+001
 1.1028410E+001, 9.9993170E-001, 9.7269730E-001, 9.9607872E-004, 2.3000000E+001, 2.4103868E+001
 1.1116317E+001, 9.9993514E-001, 9.7569949E-001, 9.8826354E-004, 2.2000000E+001, 2.4203536E+001
 1.1204225E+001, 9.9994209E-001, 9.7923771E-001, 9.8775878E-004, 2.0000000E+001, 2.4275068E+001
 1.1292133E+001, 9.9995166E-001, 9.8331736E-001, 9.9471108E-004, 1.8000000E+001, 2.4343364E+001
 1.1380040E+001, 9.9996282E-001, 9.8802064E-001, 9.7308351E-004, 1.7000000E+001, 2.4412774E+001
 1.1467948E+001, 9.9997497E-001, 9.9331879E-001, 9.9993724E-004, 1.4000000E+001, 2.4473703E+001
 1.1555855E+001, 9.9998817E-001, 9.9933843E-001, 9.7669239E-004, 1.3000000E+001, 2.4533037E+001
 1.1643763E+001, 1.0000030E+000, 1.0060490E+000, 9.5500208E-004, 1.2000000E+001, 2.4588121E+001
 1.1731670E+001, 1.0000201E+000, 1.0132956E+000, 9.9230678E-004, 1.3000000E+001, 2.4644155E+001
 1.1819578E+001, 1.0000416E+000, 1.0207387E+000, 9.9719823E-004, 1.7000000E+001, 2.4712177E+001
 1.1907485E+001, 1.0000662E+000, 1.0280712E+000, 9.9632910E-004, 1.6000000E+001, 2.4782459E+001
 1.1995393E+001, 1.0000923E+000, 1.0349860E+000, 9.9239893E-004, 1.3000000E+001, 2.4843532E+001
 1.2083300E+001, 1.0001193E+000, 1.0413004E+000, 9.5294787E-004, 1.2000000E+001, 2.4897415E+001
 1.2171208E+001, 1.0001559E+000, 1.0435520E+000, 9.9996468E-004, 9.4000000E+001, 2.5018312E+001
 1.2259116E+001, 1.0001880E+000, 1.0435871E+000, 9.9974276E-004, 6.5000000E+001, 2.5159423E+001
 1.2347023E+001, 1.0001867E+000, 1.0364012E+000, 9.9989416E-004, 3.7200000E+002, 2.5848319E+001
 1.2434931E+001, 1.0001856E+000, 1.0294001E+000, 9.9991689E-004, 2.6000000E+001, 2.5938039E+001
 1.2522838E+001, 1.0001844E+000, 1.0228041E+000, 9.9934980E-004, 1.4000000E+001, 2.6012992E+001
 1.2610746E+001, 1.0001827E+000, 1.0166504E+000, 9.9337216E-004, 1.0000000E+001, 2.6065156E+001
 1.2698653E+001, 1.0001799E+000, 1.0109169E+000, 9.8010983E-004, 8.0000000E+000, 2.6112411E+001
 1.2786561E+001, 1.0001756E+000, 1.0058312E+000, 9.5967516E-004, 9.0000000E+000, 2.6161445E+001
 1.2874468E+001, 1.0001680E+000, 1.0014907E+000, 8.8944273E-004, 1.0000000E+001, 2.6210973E+001
 1.2962376E+001, 1.0001564E+000, 9.9777153E-001, 9.6767061E-004, 1.0000000E+001, 2.6260335E+001
 1.3050283E+001, 1.0001402E+000, 9.9446835E-001, 9.1849126E-004, 1.2000000E+001, 2.6312871E+001
 1.3138191E+001, 1.0001170E+000, 9.9128165E-001, 9.7332512E-004, 1.2000000E+001, 2.6366515E+001
 1.3226099E+001, 1.0000860E+000, 9.8812158E-001, 9.9531794E-004, 1.2000000E+001, 2.6420225E+001
 1.3314006E+001, 1.0000469E+000, 9.8502378E-001, 9.6207346E-004, 1.3000000E+001, 2.6474447E+001
 1.3401914E+001, 1.0000012E+000, 9.8208266E-001, 9.7063902E-004, 1.2000000E+001, 2.6526992E+001
 1.3489821E+001, 9.9995098E-001, 9.7933188E-001, 9.4682141E-004, 1.2000000E+001, 2.6578946E+001
 1.3577729E+001, 9.9989909E-001, 9.7676255E-001, 9.6292956E-004, 1.0000000E+001, 2.6656326E+001
 1.3665636E+001, 9.9984756E-001, 9.7438291E-001, 9.8619405E-004, 1.0000000E+001, 2.6716365E+001
 1.3753544E+001, 9.9981152E-001, 9.7302803E-001, 9.9990530E-004, 2.0900000E+002, 2.7090108E+001
