s,m3/s,m3/s,m/s,,s
Time,"flow_in","flow_out","error","iter","cpu"
 3.1550641E+000, 1.0026147E+000, 1.9213694E-001, 3.3306691E-016, 1.0000000E+000, 3.4811069E+002
 3.2023004E+000, 9.9988508E-001, 1.8812658E-001, 4.4408921E-016, 1.0000000E+000, 3.5000104E+002
 3.2495367E+000, 9.9698710E-001, 1.8652122E-001, 4.4408921E-016, 1.0000000E+000, 3.5126459E+002
 3.3440092E+000, 9.9377362E-001, 1.8346189E-001, 3.3306691E-016, 1.0000000E+000, 3.5315537E+002
 3.3912455E+000, 9.9263422E-001, 1.7840712E-001, 4.4408921E-016, 1.0000000E+000, 3.5504508E+002
 3.4384818E+000, 9.9314474E-001, 1.7257998E-001, 4.4408921E-016, 1.0000000E+000, 3.5630747E+002
 3.4857181E+000, 9.9438371E-001, 1.6429682E-001, 4.4408921E-016, 1.0000000E+000, 3.5757938E+002
 3.5801906E+000, 9.9765221E-001, 1.4863720E-001, 4.4408921E-016, 1.0000000E+000, 3.5947330E+002
 3.6274269E+000, 1.0011248E+000, 1.3545842E-001, 4.4408921E-016, 1.0000000E+000, 3.6136243E+002
 3.6746632E+000, 1.0021557E+000, 1.2611369E-001, 4.4408921E-016, 1.0000000E+000, 3.6262741E+002
 3.7218995E+000, 1.0022092E+000, 1.1606773E-001, 2.2204460E-016, 1.0000000E+000, 3.6391754E+002
 3.8163721E+000, 1.0012052E+000, 1.0365318E-001, 3.3306691E-016, 1.0000000E+000, 3.6581210E+002
 3.8636083E+000, 9.9984211E-001, 9.5898627E-002, 4.4408921E-016, 1.0000000E+000, 3.6770627E+002
 3.9108446E+000, 9.9912763E-001, 9.2367961E-002, 2.2204460E-016, 1.0000000E+000, 3.6896866E+002
 4.0053172E+000, 9.9834465E-001, 8.7939421E-002, 4.4408921E-016, 1.0000000E+000, 3.7089453E+002
 4.0525535E+000, 9.9860116E-001, 8.5875249E-002, 4.4408921E-016, 1.0000000E+000, 3.7278439E+002
 4.0997898E+000, 9.9881783E-001, 8.4644890E-002, 4.4408921E-016, 1.0000000E+000, 3.7404514E+002
 4.1470261E+000, 9.9926906E-001, 8.2976178E-002, 4.4408921E-016, 1.0000000E+000, 3.7531070E+002
 4.2414986E+000, 1.0002151E+000, 8.1723536E-002, 4.4408921E-016, 1.0000000E+000, 3.7720242E+002
 4.2887349E+000, 1.0010312E+000, 8.5150315E-002, 4.4408921E-016, 2.0000000E+000, 3.7950430E+002
 4.3359712E+000, 1.0044940E+000, 8.5348190E-002, 4.4408921E-016, 2.0000000E+000, 3.8125430E+002
 4.3832075E+000, 1.0059430E+000, 8.5043203E-002, 4.4408921E-016, 2.0000000E+000, 3.8295722E+002
 4.4776800E+000, 1.0049388E+000, 8.4947236E-002, 4.4408921E-016, 2.0000000E+000, 3.8546715E+002
 4.5249163E+000, 1.0019689E+000, 8.5610125E-002, 4.4408921E-016, 2.0000000E+000, 3.8797257E+002
 4.5721526E+000, 9.9976334E-001, 8.6756406E-002, 4.4408921E-016, 2.0000000E+000, 3.8967417E+002
 4.6666252E+000, 9.9692374E-001, 8.9171539E-002, 4.4408921E-016, 2.0000000E+000, 3.9217435E+002
 4.7138615E+000, 9.9566941E-001, 9.1097466E-002, 4.4408921E-016, 2.0000000E+000, 3.9468817E+002
 4.7610977E+000, 9.9652669E-001, 9.0055371E-002, 4.4408921E-016, 1.0000000E+000, 3.9596051E+002
 4.8083340E+000, 9.9320008E-001, 9.2688069E-002, 4.4408921E-016, 1.0000000E+000, 3.9722614E+002
 4.9028066E+000, 9.9551258E-001, 9.6934946E-002, 6.6613381E-016, 1.0000000E+000, 3.9914511E+002
 4.9500429E+000, 1.0008304E+000, 1.0190239E-001, 2.2204460E-016, 1.0000000E+000, 4.0104636E+002
 4.9972792E+000, 1.0036540E+000, 1.0524816E-001, 4.4408921E-016, 1.0000000E+000, 4.0230896E+002
 5.0445155E+000, 1.0048583E+000, 1.0966779E-001, 4.4408921E-016, 1.0000000E+000, 4.0358081E+002
 5.1389880E+000, 1.0053900E+000, 1.2339274E-001, 4.4408921E-016, 2.0000000E+000, 4.0609108E+002
 5.1862243E+000, 1.0053095E+000, 1.3554136E-001, 4.4408921E-016, 2.0000000E+000, 4.0859986E+002
 5.2334606E+000, 1.0030744E+000, 1.4365820E-001, 4.4408921E-016, 2.0000000E+000, 4.1027725E+002
 5.2806969E+000, 1.0000073E+000, 1.5115909E-001, 4.4408921E-016, 2.0000000E+000, 4.1195471E+002
 5.3751694E+000, 9.9608109E-001, 1.6110689E-001, 4.4408921E-016, 2.0000000E+000, 4.1445957E+002
 5.4224057E+000, 9.9468366E-001, 1.7089012E-001, 4.4408921E-016, 2.0000000E+000, 4.1699252E+002
 5.4696420E+000, 9.9531163E-001, 1.7795407E-001, 4.4408921E-016, 2.0000000E+000, 4.1866321E+002
 5.5641146E+000, 9.9850398E-001, 1.8817914E-001, 4.4408921E-016, 2.0000000E+000, 4.2116528E+002
 5.6113509E+000, 1.0014824E+000, 1.9837290E-001, 2.2204460E-016, 2.0000000E+000, 4.2370575E+002
 5.6585871E+000, 1.0020360E+000, 2.0358678E-001, 2.2204460E-016, 2.0000000E+000, 4.2538318E+002
 5.7058234E+000, 1.0016460E+000, 2.0704247E-001, 4.4408921E-016, 2.0000000E+000, 4.2705826E+002
 5.8002960E+000, 1.0002283E+000, 2.0830033E-001, 4.4408921E-016, 2.0000000E+000, 4.2956360E+002
 5.8475323E+000, 9.9877194E-001, 2.1030314E-001, 4.4408921E-016, 2.0000000E+000, 4.3206949E+002
 5.8947686E+000, 9.9861485E-001, 2.1409405E-001, 4.4408921E-016, 2.0000000E+000, 4.3373663E+002
 5.9420049E+000, 9.9814883E-001, 2.1375632E-001, 4.4408921E-016, 1.0000000E+000, 4.3500000E+002
 6.0364774E+000, 9.9331106E-001, 2.1601066E-001, 4.4408921E-016, 1.0000000E+000, 4.3688591E+002
 6.0837137E+000, 9.9548503E-001, 2.1629695E-001, 4.4408921E-016, 1.0000000E+000, 4.3881580E+002
 6.1309500E+000, 9.9828990E-001, 2.1413342E-001, 4.4408921E-016, 1.0000000E+000, 4.4007849E+002
 6.2254226E+000, 1.0020622E+000, 2.0787286E-001, 4.4408921E-016, 1.0000000E+000, 4.4192319E+002
 6.2726588E+000, 1.0045596E+000, 2.0244808E-001, 4.4408921E-016, 2.0000000E+000, 4.4427561E+002
 6.3198951E+000, 1.0075342E+000, 1.9545026E-001, 2.2204460E-016, 2.0000000E+000, 4.4595505E+002
 6.3671314E+000, 1.0081262E+000, 1.8766942E-001, 4.4408921E-016, 3.0000000E+000, 4.4803510E+002
 6.4616040E+000, 1.0059792E+000, 1.7770829E-001, 3.3306691E-016, 3.5000000E+000, 4.5136742E+002
 6.5088403E+000, 1.0001148E+000, 1.7165310E-001, 4.4408921E-016, 4.0000000E+000, 4.5510745E+002
 6.5560765E+000, 9.9768461E-001, 1.6751271E-001, 4.4408921E-016, 4.0000000E+000, 4.5763358E+002
 6.6033128E+000, 9.9546742E-001, 1.6231973E-001, 4.4408921E-016, 4.0000000E+000, 4.6011441E+002
 6.6977854E+000, 9.9555319E-001, 1.5435374E-001, 4.4408921E-016, 4.0000000E+000, 4.6385678E+002
 6.7450217E+000, 9.9733179E-001, 1.4821155E-001, 4.4408921E-016, 4.0000000E+000, 4.6758151E+002
 6.7922580E+000, 9.9901276E-001, 1.4457899E-001, 4.4408921E-016, 4.0000000E+000, 4.7008679E+002
 6.8867305E+000, 1.0005043E+000, 1.4122253E-001, 2.2204460E-016, 4.0000000E+000, 4.7384096E+002
 6.9339668E+000, 1.0006501E+000, 1.4104701E-001, 4.4408921E-016, 4.0000000E+000, 4.7757779E+002
 6.9761791E+000, 1.0003555E+000, 1.4475201E-001, 4.4408921E-016, 4.0000000E+000, 4.8089493E+002
 7.0606037E+000, 1.0001378E+000, 1.4967563E-001, 3.3306691E-016, 4.0000000E+000, 4.8463846E+002
 7.1028160E+000, 9.9972801E-001, 1.5391331E-001, 4.4408921E-016, 4.0000000E+000, 4.8840497E+002
 7.1450283E+000, 9.9869810E-001, 1.5568009E-001, 4.4408921E-016, 4.0000000E+000, 4.9089939E+002
 7.2294529E+000, 9.9772827E-001, 1.5478106E-001, 4.4408921E-016, 4.0000000E+000, 4.9463834E+002
 7.2716651E+000, 9.9806761E-001, 1.5311497E-001, 2.2204460E-016, 4.0000000E+000, 4.9836579E+002
 7.3560897E+000, 9.9852627E-001, 1.5611447E-001, 3.3306691E-016, 4.0000000E+000, 5.0209802E+002
 7.3983020E+000, 9.9883966E-001, 1.5933579E-001, 4.4408921E-016, 4.0000000E+000, 5.0587558E+002
 7.4405143E+000, 9.9842382E-001, 1.6137088E-001, 4.4408921E-016, 4.0000000E+000, 5.0837113E+002
 7.5249389E+000, 9.9888789E-001, 1.6174116E-001, 4.4408921E-016, 4.0000000E+000, 5.1210547E+002
