,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-03-04T13:43:06.525+01:00,   0.289E-01,  48.02887
      2,2020-03-04T13:43:07.453+01:00,   0.289E-01,  48.05774
      3,2020-03-04T13:43:08.391+01:00,   0.289E-01,  48.08660
      4,2020-03-04T13:43:09.364+01:00,   0.289E-01,  48.11547
      5,2020-03-04T13:43:10.293+01:00,   0.289E-01,  48.14434
      6,2020-03-04T13:43:11.240+01:00,   0.289E-01,  48.17321
      7,2020-03-04T13:43:12.660+01:00,   0.221E-01,  48.19533
      8,2020-03-04T13:43:13.650+01:00,   0.221E-01,  48.21745
      9,2020-03-04T13:43:14.679+01:00,   0.221E-01,  48.23958
     10,2020-03-04T13:43:15.692+01:00,   0.243E-01,  48.26391
     20,2020-03-04T13:43:27.648+01:00,   0.128E-01,  48.43831
     30,2020-03-04T13:43:39.455+01:00,   0.719E-02,  48.52714
     40,2020-03-04T13:43:49.991+01:00,   0.625E-02,  48.59250
     50,2020-03-04T13:44:00.781+01:00,   0.561E-02,  48.64925
     60,2020-03-04T13:44:11.525+01:00,   0.488E-02,  48.70244
     70,2020-03-04T13:44:22.753+01:00,   0.384E-02,  48.74578
     80,2020-03-04T13:44:33.779+01:00,   0.340E-02,  48.78198
     90,2020-03-04T13:44:45.157+01:00,   0.255E-02,  48.80973
    100,2020-03-04T13:44:56.240+01:00,   0.224E-02,  48.83461
    200,2020-03-04T13:46:43.570+01:00,   0.229E-02,  49.04378
    300,2020-03-04T13:48:31.448+01:00,   0.178E-02,  49.25166
    400,2020-03-04T13:50:18.620+01:00,   0.210E-02,  49.44850
    500,2020-03-04T13:52:06.305+01:00,   0.184E-02,  49.63594
    600,2020-03-04T13:53:54.744+01:00,   0.170E-02,  49.83016
    693,2020-03-04T13:55:35.524+01:00,   0.837E-03,  50.00000
