s,kW,
Time,"MY NET HF","TOTAL ENERGY ABORBED"
 5.0100002E+001, 0.0000000E+000, 0.0000000E+000
 5.0120529E+001, 0.0000000E+000, 0.0000000E+000
 5.0140268E+001, 0.0000000E+000, 0.0000000E+000
 5.0160088E+001, 0.0000000E+000, 0.0000000E+000
 5.0180293E+001, 0.0000000E+000, 0.0000000E+000
 5.0200975E+001, 0.0000000E+000, 0.0000000E+000
 5.0220758E+001, 0.0000000E+000, 0.0000000E+000
 5.0240540E+001, 0.0000000E+000, 0.0000000E+000
 5.0260323E+001, 0.0000000E+000, 0.0000000E+000
 5.0280106E+001, 0.0000000E+000, 0.0000000E+000
 5.0300988E+001, 0.0000000E+000, 0.0000000E+000
 5.0320770E+001, 0.0000000E+000, 0.0000000E+000
 5.0340553E+001, 0.0000000E+000, 0.0000000E+000
 5.0360336E+001, 0.0000000E+000, 0.0000000E+000
 5.0380118E+001, 0.0000000E+000, 0.0000000E+000
 5.0401000E+001, 0.0000000E+000, 0.0000000E+000
 5.0420783E+001, 0.0000000E+000, 0.0000000E+000
 5.0440565E+001, 0.0000000E+000, 0.0000000E+000
 5.0460348E+001, 0.0000000E+000, 0.0000000E+000
 5.0480131E+001, 0.0000000E+000, 0.0000000E+000
 5.0501012E+001, 0.0000000E+000, 0.0000000E+000
 5.0520795E+001, 0.0000000E+000, 0.0000000E+000
 5.0540578E+001, 0.0000000E+000, 0.0000000E+000
 5.0560360E+001, 0.0000000E+000, 0.0000000E+000
 5.0580143E+001, 0.0000000E+000, 0.0000000E+000
 5.0601025E+001, 0.0000000E+000, 0.0000000E+000
 5.0620807E+001, 0.0000000E+000, 0.0000000E+000
 5.0640590E+001, 0.0000000E+000, 0.0000000E+000
 5.0660373E+001, 0.0000000E+000, 0.0000000E+000
 5.0680155E+001, 0.0000000E+000, 0.0000000E+000
 5.0701037E+001, 0.0000000E+000, 0.0000000E+000
 5.0720820E+001, 0.0000000E+000, 0.0000000E+000
 5.0740602E+001, 0.0000000E+000, 0.0000000E+000
 5.0760385E+001, 0.0000000E+000, 0.0000000E+000
 5.0780168E+001, 0.0000000E+000, 0.0000000E+000
 5.0801050E+001, 0.0000000E+000, 0.0000000E+000
 5.0820832E+001, 0.0000000E+000, 0.0000000E+000
 5.0840615E+001, 0.0000000E+000, 0.0000000E+000
 5.0860398E+001, 0.0000000E+000, 0.0000000E+000
 5.0880180E+001, 0.0000000E+000, 0.0000000E+000
 5.0901062E+001, 0.0000000E+000, 0.0000000E+000
 5.0920845E+001, 0.0000000E+000, 0.0000000E+000
 5.0940627E+001, 0.0000000E+000, 0.0000000E+000
 5.0960410E+001, 0.0000000E+000, 0.0000000E+000
 5.0980193E+001, 0.0000000E+000, 0.0000000E+000
 5.1001074E+001, 0.0000000E+000, 0.0000000E+000
 5.1020857E+001, 0.0000000E+000, 0.0000000E+000
 5.1040640E+001, 0.0000000E+000, 0.0000000E+000
 5.1060422E+001, 0.0000000E+000, 0.0000000E+000
 5.1080205E+001, 0.0000000E+000, 0.0000000E+000
 5.1101087E+001, 0.0000000E+000, 0.0000000E+000
 5.1120869E+001, 0.0000000E+000, 0.0000000E+000
 5.1140652E+001, 0.0000000E+000, 0.0000000E+000
 5.1160435E+001, 0.0000000E+000, 0.0000000E+000
 5.1180217E+001, 0.0000000E+000, 0.0000000E+000
 5.1200000E+001, 0.0000000E+000, 0.0000000E+000
 5.1220882E+001, 0.0000000E+000, 0.0000000E+000
 5.1240665E+001, 0.0000000E+000, 0.0000000E+000
 5.1260447E+001, 0.0000000E+000, 0.0000000E+000
 5.1280230E+001, 0.0000000E+000, 0.0000000E+000
 5.1300013E+001, 0.0000000E+000, 0.0000000E+000
 5.1320894E+001, 0.0000000E+000, 0.0000000E+000
 5.1340677E+001, 0.0000000E+000, 0.0000000E+000
 5.1360460E+001, 0.0000000E+000, 0.0000000E+000
 5.1380242E+001, 0.0000000E+000, 0.0000000E+000
 5.1400025E+001, 0.0000000E+000, 0.0000000E+000
 5.1420907E+001, 0.0000000E+000, 0.0000000E+000
 5.1440909E+001, 0.0000000E+000, 0.0000000E+000
 5.1460252E+001, 0.0000000E+000, 0.0000000E+000
 5.1480804E+001, 0.0000000E+000, 0.0000000E+000
 5.1500147E+001, 0.0000000E+000, 0.0000000E+000
 5.1520699E+001, 0.0000000E+000, 0.0000000E+000
 5.1540042E+001, 0.0000000E+000, 0.0000000E+000
 5.1560594E+001, 0.0000000E+000, 0.0000000E+000
 5.1581146E+001, 0.0000000E+000, 0.0000000E+000
 5.1600962E+001, 0.0000000E+000, 0.0000000E+000
 5.1620534E+001, 0.0000000E+000, 0.0000000E+000
 5.1640106E+001, 0.0000000E+000, 0.0000000E+000
 5.1660589E+001, 0.0000000E+000, 0.0000000E+000
 5.1680330E+001, 0.0000000E+000, 0.0000000E+000
 5.1700336E+001, 0.0000000E+000, 0.0000000E+000
 5.1720605E+001, 0.0000000E+000, 0.0000000E+000
 5.1740055E+001, 0.0000000E+000, 0.0000000E+000
 5.1760450E+001, 0.0000000E+000, 0.0000000E+000
 5.1780117E+001, 0.0000000E+000, 0.0000000E+000
 5.1800518E+001, 0.0000000E+000, 0.0000000E+000
 5.1820572E+001, 0.0000000E+000, 0.0000000E+000
 5.1840430E+001, 0.0000000E+000, 0.0000000E+000
 5.1860188E+001, 0.0000000E+000, 0.0000000E+000
 5.1880532E+001, 0.0000000E+000, 0.0000000E+000
 5.1900321E+001, 0.0000000E+000, 0.0000000E+000
 5.1920133E+001, 0.0000000E+000, 0.0000000E+000
 5.1940404E+001, 0.0000000E+000, 0.0000000E+000
 5.1960192E+001, 0.0000000E+000, 0.0000000E+000
 5.1980140E+001, 0.0000000E+000, 0.0000000E+000
 5.2000051E+001, 0.0000000E+000, 0.0000000E+000
 5.2020019E+001, 0.0000000E+000, 0.0000000E+000
 5.2040044E+001, 0.0000000E+000, 0.0000000E+000
 5.2060422E+001, 0.0000000E+000, 0.0000000E+000
 5.2080252E+001, 0.0000000E+000, 0.0000000E+000
 5.2100222E+001, 0.0000000E+000, 0.0000000E+000
 5.2120354E+001, 0.0000000E+000, 0.0000000E+000
 5.2140210E+001, 0.0000000E+000, 0.0000000E+000
 5.2160132E+001, 0.0000000E+000, 0.0000000E+000
 5.2180038E+001, 0.0000000E+000, 0.0000000E+000
 5.2200253E+001, 0.0000000E+000, 0.0000000E+000
 5.2220630E+001, 0.0000000E+000, 0.0000000E+000
 5.2240328E+001, 0.0000000E+000, 0.0000000E+000
 5.2260137E+001, 0.0000000E+000, 0.0000000E+000
 5.2280074E+001, 0.0000000E+000, 0.0000000E+000
 5.2300623E+001, 0.0000000E+000, 0.0000000E+000
 5.2320199E+001, 0.0000000E+000, 0.0000000E+000
 5.2340355E+001, 0.0000000E+000, 0.0000000E+000
 5.2360470E+001, 0.0000000E+000, 0.0000000E+000
 5.2380149E+001, 0.0000000E+000, 0.0000000E+000
 5.2400148E+001, 0.0000000E+000, 0.0000000E+000
 5.2420686E+001, 0.0000000E+000, 0.0000000E+000
 5.2440215E+001, 0.0000000E+000, 0.0000000E+000
 5.2460223E+001, 0.0000000E+000, 0.0000000E+000
 5.2480524E+001, 0.0000000E+000, 0.0000000E+000
 5.2500024E+001, 0.0000000E+000, 0.0000000E+000
 5.2520425E+001, 0.0000000E+000, 0.0000000E+000
 5.2540505E+001, 0.0000000E+000, 0.0000000E+000
