,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-03-03T20:44:32.026+01:00,   0.289E-01,  48.02887
      2,2020-03-03T20:44:47.722+01:00,   0.289E-01,  48.05774
      3,2020-03-03T20:45:02.804+01:00,   0.289E-01,  48.08660
      4,2020-03-03T20:45:17.885+01:00,   0.289E-01,  48.11547
      5,2020-03-03T20:45:32.492+01:00,   0.289E-01,  48.14434
      6,2020-03-03T20:45:46.859+01:00,   0.289E-01,  48.17321
      7,2020-03-03T20:46:07.701+01:00,   0.222E-01,  48.19540
      8,2020-03-03T20:46:21.853+01:00,   0.222E-01,  48.21759
      9,2020-03-03T20:46:36.185+01:00,   0.222E-01,  48.23978
     10,2020-03-03T20:46:50.782+01:00,   0.222E-01,  48.26197
     20,2020-03-03T20:49:45.767+01:00,   0.121E-01,  48.44276
     30,2020-03-03T20:52:39.527+01:00,   0.666E-02,  48.53112
     40,2020-03-03T20:55:13.314+01:00,   0.580E-02,  48.59173
     50,2020-03-03T20:57:42.132+01:00,   0.580E-02,  48.64976
     60,2020-03-03T21:00:27.703+01:00,   0.452E-02,  48.70134
     70,2020-03-03T21:03:03.299+01:00,   0.401E-02,  48.74555
     80,2020-03-03T21:05:43.980+01:00,   0.356E-02,  48.78388
     90,2020-03-03T21:08:28.353+01:00,   0.261E-02,  48.81467
    100,2020-03-03T21:11:01.110+01:00,   0.261E-02,  48.84080
    200,2020-03-03T21:38:07.789+01:00,   0.203E-02,  49.02941
    300,2020-03-03T22:05:27.599+01:00,   0.198E-02,  49.24449
    400,2020-03-03T22:32:52.947+01:00,   0.196E-02,  49.43191
    500,2020-03-03T23:00:17.972+01:00,   0.190E-02,  49.63422
    600,2020-03-03T23:29:14.785+01:00,   0.178E-02,  49.82744
    700,2020-03-03T23:58:36.265+01:00,   0.176E-02,  50.00150
    800,2020-03-04T00:29:30.530+01:00,   0.521E-03,  50.12902
