Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 1.247E+00, 2.338E+01, 7.718E+00, 7.890E+00, 9.993E+02, 4.391E+00, 2.008E+00, 1.023E-01, 5.479E+00, 7.491E-01, 8.031E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.060E+03
    1, 1.215E+00, 2.187E+01, 7.484E+00, 7.360E+00, 9.995E+02, 4.520E+00, 2.099E+00, 9.238E-02, 5.517E+00, 8.973E-01, 9.792E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.060E+03
    2, 1.309E+00, 2.402E+01, 8.369E+00, 8.836E+00, 9.995E+02, 6.350E+00, 1.598E+00, 1.141E-01, 5.964E+00, 1.975E+00, 2.265E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.060E+03
    3, 1.338E+00, 2.291E+01, 8.091E+00, 8.102E+00, 9.995E+02, 5.522E+00, 1.886E+00, 1.035E-01, 5.931E+00, 2.002E+00, 4.900E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.060E+03
    4, 1.225E+00, 2.280E+01, 7.490E+00, 7.553E+00, 9.995E+02, 4.711E+00, 2.007E+00, 9.807E-02, 5.735E+00, 9.882E-01, 8.228E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.060E+03
    5, 1.275E+00, 2.085E+01, 7.193E+00, 6.943E+00, 9.993E+02, 4.207E+00, 2.338E+00, 9.193E-02, 5.364E+00, 7.548E-01, 1.198E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.060E+03
    6, 1.209E+00, 2.143E+01, 7.027E+00, 7.035E+00, 9.993E+02, 4.178E+00, 2.165E+00, 9.335E-02, 5.291E+00, 5.889E-01, 1.198E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.060E+03
    7, 1.214E+00, 2.133E+01, 7.246E+00, 6.929E+00, 9.994E+02, 4.208E+00, 2.172E+00, 8.740E-02, 5.503E+00, 4.669E-01, 1.176E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.060E+03
    8, 1.255E+00, 2.217E+01, 7.172E+00, 7.016E+00, 9.994E+02, 4.160E+00, 2.210E+00, 9.861E-02, 5.431E+00, 3.455E-01, 1.110E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.060E+03
    9, 1.212E+00, 2.165E+01, 7.150E+00, 6.569E+00, 9.992E+02, 3.640E+00, 2.316E+00, 7.621E-02, 5.244E+00, 2.582E-01, 1.303E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.060E+03
